cell_line,drug,n_treated_G1,n_treated_G2M,n_control_G1,n_control_G2M,induced_cosine_G1_vs_G2M,norm_delta_G1,norm_delta_G2M,norm_delta_mean
KATO III,BI-78D3,1179,580,1004,679,0.8516029778721663,1.0635405764235555,1.0187477220840866,1.0344274285539217
KATO III,Belumosudil (mesylate),506,156,1004,679,0.8700600691717768,2.069184340520263,2.078602155767489,2.0682784575975015
KATO III,Belzutifan,470,95,1004,679,0.761598486446976,1.8717046590479067,1.5825453481480423,1.7229126799949293
KATO III,Bentamapimod,863,612,1004,679,0.8829941230859095,1.546413192809209,1.4686508925571253,1.471346663942047
KATO III,Bimiralisib,2508,704,1004,679,0.9131210546433873,2.274180256453642,2.0340317683193163,2.2109231976324932
KATO III,Binimetinib,565,240,1004,679,0.8251022112982697,1.8376301324147006,1.6665233898108207,1.7139410242698743
KATO III,Bortezomib,351,106,1004,679,0.9218759292863824,3.440977534976715,3.584621991775792,3.4188222462361533
KATO III,Brivudine,946,988,1004,679,0.9128569919776122,2.2552554787467063,2.453426238157753,2.3128314815688826
KATO III,CP21R7,417,172,1004,679,0.8100051057967569,1.7639108436718738,1.7459742748810878,1.7098829033702543
KATO III,Capivasertib,426,292,1004,679,0.7423105173768998,0.9984492700583978,1.0227559642391248,0.9437052823392769
KATO III,Capmatinib,480,224,1004,679,0.8131637743379677,1.3514826713048347,1.4096030901483412,1.314163575417387
KATO III,Celecoxib,388,309,1004,679,0.6611082638490539,0.9446494085750944,0.8605037411195613,0.8328012328269214
KATO III,DT-061,340,261,1004,679,0.7592923860561782,1.126552816634028,1.0919047307274432,1.0495816808148684
KATO III,DTP3,361,197,1004,679,0.7757863375901516,1.4503383825313376,1.3807904421967856,1.3436896337486328
KATO III,Dabrafenib,2293,648,1004,679,0.84336519124563,1.514140535709509,1.417124950855583,1.5117407132510636
KATO III,ERK5-IN-2,1691,637,1004,679,0.8725540273883796,2.2545444519899718,1.87669286853193,2.119834996790596
KATO III,ETC-206,547,381,1004,679,0.648417470850005,0.8854988725341354,0.8743991793742267,0.8029622439797197
KATO III,EX229,816,152,1004,679,0.8708181803165898,2.0357133258634117,2.1432130206225395,2.01469267903989
KATO III,Elimusertib hydrochloride,429,136,1004,679,0.7825572210295859,1.7470592631537467,1.699557856439281,1.668095499452405
KATO III,Encorafenib,2227,1067,1004,679,0.8756903662891916,1.5635807566832707,1.5231781407201928,1.5209703036084046
KATO III,Erdafitinib ,817,395,1004,679,0.6969346750098655,1.165380354748118,1.0761358529256284,1.0648927248817797
KATO III,Everolimus,1343,917,1004,679,0.8020736280540302,1.0480472036653885,1.0089880995332068,0.9822702657817243
KATO III,Futibatinib,355,146,1004,679,0.6828665888464907,1.5310439627984815,1.1284580158664654,1.3152588991785503
KATO III,GSK1059615,1856,897,1004,679,0.8697166736965858,1.9995258836557772,1.9214360938948034,1.9296688029662616
KATO III,Gemcitabine,1039,611,1004,679,0.706808042665954,1.0605349138313276,1.0303262115819996,0.9735150680337689
KATO III,HI-TOPK-032,246,279,1004,679,0.8726437819484539,1.9177244961502622,1.9121106000272419,1.8518295123008122
KATO III,Hydroxyfasudil,299,154,1004,679,0.8346078244294479,1.8950969756392473,1.8477222919094132,1.8170773270012455
KATO III,IQ 1,522,187,1004,679,0.7880276798477995,1.390973939346454,1.4721875264345265,1.3844424549725192
KATO III,Infigratinib,890,408,1004,679,0.7836162130320291,1.5223000231532038,1.6090651483457417,1.4801293458302256
KATO III,Ipatasertib,1543,670,1004,679,0.898821711677985,2.309623840897724,2.1505325347858673,2.2262168830712206
KATO III,Irinotecan,838,705,1004,679,0.7418153488326008,1.1490216617352207,1.1520709492188401,1.0861778708515504
KATO III,Ixazomib,496,170,1004,679,0.8460602216758023,2.2876407736811997,2.1713254270489055,2.196721342352368
KATO III,LB-100,498,273,1004,679,0.7570764850599239,0.9966894727240533,0.9679053661655914,0.9392004636442992
KATO III,LJI308,450,211,1004,679,0.8117798355120341,1.8497687917499845,1.8418246347296088,1.793611632950649
KATO III,LY-2584702 (tosylate salt),151,64,1004,679,0.7739935398651285,1.986524391233752,2.068409778395021,1.9244519756089762
KATO III,LY2090314,645,468,1004,679,0.7190003627019128,1.0978020645201263,0.9589581877787747,0.9711623099759521
KATO III,Lapatinib ditosylate,1133,663,1004,679,0.7362027678848799,1.16778021111634,1.006970154355685,1.0373434789157323
KATO III,MK-3903,504,211,1004,679,0.8170926782046681,1.6079427990942134,1.5710388000390942,1.5446049969713234
KATO III,MK-8353,502,306,1004,679,0.6319603114542602,1.0432657057055648,0.9060582566459486,0.905887623817945
KATO III,ML264,994,512,1004,679,0.8651158617521759,1.27334062163631,1.2266205313324174,1.2396861772115344
KATO III,Methylprednisolone succinate,373,242,1004,679,0.7181177282600868,0.9669924909438556,1.1102551272957204,0.9501106764944277
KATO III,Minodronic acid,542,351,1004,679,0.7458051858582693,0.9695852204022445,0.9066825351440548,0.8868353713548787
KATO III,NG25,526,415,1004,679,0.8909754666866018,2.4504791271337365,2.505689648025204,2.4164225025070625
KATO III,NVP-BHG712,567,341,1004,679,0.8369766162769197,1.312195992774375,1.2937192166376135,1.2528308509166415
KATO III,OTS514,265,160,1004,679,0.6337552882985329,1.6881753144657867,1.320612099996475,1.4186912003637646
KATO III,Oleic acid,394,261,1004,679,0.7201619345931826,0.9579824333899629,1.0554512784787458,0.9267622236806031
KATO III,Oxaliplatin,566,394,1004,679,0.7892238318791254,1.0523442123991555,1.106039485690406,1.0181590739088104
KATO III,PF-06260933,266,212,1004,679,0.8572866345230185,1.9257935449530315,1.8589404915953063,1.820702200216456
KATO III,PH-797804,552,392,1004,679,0.9377650792010812,2.655953750828237,2.7984420607419223,2.674375122560599
KATO III,Paclitaxel,1491,1076,1004,679,0.8625556294355589,1.5172167851836906,1.2470758958268535,1.3547314560546622
