predictor,scorer,n_query_seed,n_queries,n_contexts,MRR,MRR_lo,MRR_hi,Hit@1,Hit@1_lo,Hit@1_hi,Hit@5,Hit@5_lo,Hit@5_hi,Hit@10,Hit@10_lo,Hit@10_hi,median_rank
nearest_context_cells,energy,19960,3992,44,0.36859407212621315,0.32288622706159215,0.42001413132750115,0.2569639278557114,0.2146313981346151,0.30570269923371934,0.47790581162324647,0.4222316454037673,0.5392441901163288,0.5962424849699399,0.540576521943569,0.6549325542921273,6.0
nearest_context_cells,energy_v_statistic,19960,3992,44,0.36375637906605174,0.316998006453193,0.41479134948305924,0.2522545090180361,0.209422734077025,0.29992899772996995,0.47274549098196395,0.41626378991683705,0.5350006144924612,0.5884268537074149,0.5321882129076643,0.6480091732164578,6.0
nearest_context_cells,mean_cosine,19960,3992,44,0.7084454246230316,0.6638091458558141,0.7525900310321932,0.5982965931863727,0.5455586551818862,0.6514262838212314,0.8483967935871743,0.8117102912700794,0.8837325649002296,0.9157815631262525,0.8916287088183538,0.9394986347297808,1.0
nearest_context_cells,mean_l2,19960,3992,44,0.40070166566053067,0.3483300077069931,0.45662291626595347,0.2939879759519038,0.2448442137926194,0.347043065760801,0.5064629258517034,0.44467227615250693,0.571017682679553,0.6144288577154309,0.5547300014674362,0.6769158546234076,5.0
nearest_context_cells,mmd,19960,3992,44,0.36849741568915456,0.32240110874277456,0.4204657901010858,0.25781563126252505,0.21573141656956812,0.30576929065086955,0.47570140280561124,0.41895394115103374,0.538703002646425,0.5960921843687375,0.5393557123626203,0.6550276732641992,6.0
nearest_context_cells,sliced_wasserstein,19960,3992,44,0.30665405682869745,0.27106667278504476,0.3453440009109379,0.19103206412825652,0.16095515046542774,0.22506327663236053,0.41312625250501,0.3651471583175866,0.46500002944120955,0.5455911823647295,0.4961902368987796,0.5986981080488296,8.0
ot_map,energy,19960,3992,44,0.667371460950043,0.6207777036575857,0.7118855047240572,0.5426853707414829,0.4932258100961988,0.5929023051986817,0.8250501002004008,0.7800502466802613,0.8669171276609676,0.8978957915831663,0.8607976767676768,0.9309056540005015,1.0
ot_map,energy_v_statistic,19960,3992,44,0.668166675781054,0.6220915897715702,0.712385189913076,0.5435370741482966,0.49419026858091336,0.5931280155142834,0.8252004008016032,0.7802167042910664,0.8672185099421007,0.8986472945891784,0.8619691712162744,0.9315843193066878,1.0
ot_map,mean_cosine,19960,3992,44,0.6646541451695969,0.6292216567427146,0.7011271100206816,0.5397795591182365,0.5001518108728944,0.5818693737769081,0.8212925851703406,0.7882483033546072,0.8533092068160252,0.9016032064128257,0.8773572676889986,0.9249374123529434,1.0
ot_map,mean_l2,19960,3992,44,0.656329952524987,0.609677612347545,0.7009889973901567,0.5288577154308617,0.4798708973003164,0.577600657402669,0.8166332665330661,0.770095094419951,0.8591152026404805,0.8948897795591182,0.857440326979594,0.9285648177662045,1.0
ot_map,mmd,19960,3992,44,0.6677202184744475,0.6211809252634054,0.7123112286558244,0.5429859719438878,0.49302932043658787,0.5934001236572571,0.8248496993987976,0.7795737195051275,0.8666503922550493,0.8977454909819639,0.860681680304279,0.9310724457827811,1.0
ot_map,sliced_wasserstein,19960,3992,44,0.5385158979871035,0.49986749442200795,0.5766239794918926,0.39498997995991986,0.3571431587808607,0.4325392378278754,0.7149799599198396,0.6705451896677312,0.7567229209100629,0.8312124248496994,0.792450795519074,0.8668859779554529,2.0
