split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,seed,recommendation_mode,structure_reliability_score,preference_conflict,information_condition_mode,true_divergence,true_div_min_cos,true_div_minority_frac,minority_state_coverage_gap,moa_ndcg_gap,minority_state_coverage_dart,moa_ndcg_dart,minority_state_coverage_mean,moa_ndcg_mean
leave_MoA_out,K562,TGX-221,PI3K/Akt/mTOR,0.9840425531914894,4,mean_or_no_call,0.3537114763324339,0.728813559322034,observed,1.730871361386022,-0.730871361386022,0.5,0.0018023687560874135,,0.9859557985938442,,0.9841534298377568,
leave_MoA_out,K562,Tanespimycin (17-AAG),Cytoskeletal Signaling,0.9361702127659576,1,DART_recommended,0.5008702623457276,0.5932203389830508,observed,1.2287124694848452,-0.2287124694848452,0.47,0.007882044978855363,,0.9702580381229642,,0.9623759931441088,
leave_MoA_out,K562,"Temsirolimus (CCI-779, NSC 683864)",PI3K/Akt/mTOR,0.9840425531914894,0,DART_recommended,0.4478065425060489,0.7214689265536722,observed,1.5705924879997497,-0.5705924879997497,0.375,0.0013084081338458065,,0.9755014320483338,,0.974193023914488,
leave_MoA_out,K562,"Tozasertib (VX-680, MK-0457)",Cell Cycle,0.8882978723404256,3,DART_recommended,0.604953034849808,0.6943502824858757,observed,1.3990932093756647,-0.3990932093756647,0.43,0.018416743939820845,,0.9809652931762884,,0.9625485492364676,
leave_MoA_out,K562,Trichostatin A (TSA),Others,0.9787234042553192,1,DART_recommended,0.4989108917127712,0.7310734463276836,observed,1.6347380331921124,-0.6347380331921124,0.42,0.06984700290015122,,0.9877440175468276,,0.9178970146466764,
leave_MoA_out,K562,Trichostatin A (TSA),Others,0.9787234042553192,4,DART_recommended,0.5953346638884182,0.7706214689265536,observed,1.565106985898029,-0.5651069858980293,0.495,-0.006599344003304641,,0.9718710015590414,,0.978470345562346,
leave_MoA_out,K562,Valproic acid sodium salt (Sodium valproate),Neuronal Signaling,0.9787234042553192,2,DART_recommended,0.4205663535909809,0.7056497175141243,observed,1.7416747652775326,-0.7416747652775325,0.465,-0.0007553710500149968,,0.9905407064894982,,0.9912960775395132,
leave_MoA_out,K562,Zileuton,Metabolism,0.973404255319149,0,mean_or_no_call,0.3784418336224301,0.5265536723163842,observed,1.6291924850837027,-0.6291924850837027,0.305,-0.00035432392598222506,,0.9844086762683082,,0.9847630001942904,
leave_MoA_out,MCF7,AT9283,JAK/STAT,0.8936170212765957,0,DART_recommended,0.5502656286182606,0.6774011299435028,observed,1.6437539682901396,-0.6437539682901396,0.455,0.009961510152273423,,0.986986274399396,,0.9770247642471226,
leave_MoA_out,MCF7,AZD1480,JAK/STAT,0.8936170212765957,4,DART_recommended,0.4531686239683793,0.6649717514124294,observed,1.627070390043443,-0.6270703900434429,0.49,0.0033092167183595977,,0.9821493434602496,,0.97884012674189,
