dataset,task_id,information_condition_mode,structure_reliability_score,preference_conflict,mean_vs_DART_disagreement,subpop_variance_ratio,response_diversity,bootstrap_rank_stability,observed_best_method,observed_dart_minority_cov,observed_mean_minority_cov,seed,HIR_predicted_regime,prediction_correct
sciplex3_within_line,K562:Sirtinol:s0,observed,0.3600187792552897,0.655367231638418,0.3730665286642516,0.0258528065633271,0.7188707453282035,0.2,mean_sufficient,0.9895807968774589,0.9890301053158423,0,mean_sufficient,True
sciplex3_within_line,K562:Zileuton:s0,observed,0.39520982825627815,0.727683615819209,0.3770340980967167,0.037387344980005066,0.7108585898241206,0.2,mean_sufficient,0.9913659981431202,0.992062734008071,0,mean_sufficient,True
sciplex3_within_line,K562:Ofloxacin:s0,observed,0.6042957872191319,0.7587570621468926,0.26467713184980735,0.040492560146805946,0.7018111063128141,0.8,mean_sufficient,0.983586564308147,0.983586564308147,0,DART_recommended,False
sciplex3_within_line,K562:Lapatinib (GW-572016) Ditosylate:s0,observed,0.4485368874051566,0.6401129943502825,0.37007647633833596,0.02979383956413077,0.6962860199434673,0.4,mean_sufficient,0.9900602014429203,0.9901884565381869,0,DART_recommended,False
sciplex3_within_line,K562:Curcumin:s0,observed,0.3160713017145649,0.6412429378531074,0.22310390431832555,0.029517177613257187,0.694334023633794,0.2,mean_sufficient,0.9912753848517942,0.9911077614842663,0,mean_sufficient,True
sciplex3_within_line,K562:AICAR (Acadesine):s0,observed,0.4441286630356927,0.7446327683615819,0.5135997700052342,0.03782670036765208,0.7088864243090452,0.2,mean_sufficient,0.9911980526461495,0.9918910651769,0,DART_recommended,False
sciplex3_within_line,K562:ABT-737:s0,observed,0.47221246307672315,0.684180790960452,0.3842217238801679,0.035713381808179165,0.7059471429412689,0.4,mean_sufficient,0.9897259860675691,0.9884262089350416,0,DART_recommended,False
sciplex3_within_line,K562:Disulfiram:s0,observed,0.6441560698315357,0.5875706214689266,0.4529929273762291,0.03144925705486179,0.712607740852701,0.8,mean_sufficient,0.9887942658605817,0.9881133604001955,0,DART_recommended,False
sciplex3_within_line,K562:Belinostat (PXD101):s0,observed,0.45323015452876436,0.792090395480226,0.27180725662699096,0.04118735937991697,0.7453553656956659,0.4,mean_sufficient,0.9881600971763869,0.9881600971763869,0,DART_recommended,False
sciplex3_within_line,K562:Abexinostat (PCI-24781):s0,observed,0.48724043853468046,0.5440677966101695,0.1404174573055028,0.040502942577279134,0.7658550074591708,0.6,mean_sufficient,0.9519105449412872,0.9786072461820883,0,DART_recommended,False
sciplex3_within_line,K562:Droxinostat:s1,observed,0.3950611383903743,0.6655367231638418,0.4042895750675637,0.03398379949797518,0.716083886228015,0.2,mean_sufficient,0.9873447223965095,0.9857024348248793,1,mean_sufficient,True
sciplex3_within_line,K562:ITSA-1 (ITSA1):s1,observed,0.4546727238854113,0.7045197740112994,0.3774941061468575,0.030782153510897362,0.7020332620131909,0.4,mean_sufficient,0.977446673825268,0.9720937426177337,1,DART_recommended,False
sciplex3_within_line,K562:Sirtinol:s1,observed,0.3979729046695382,0.5491525423728814,0.48174343051003393,0.025728606195815316,0.721768854035804,0.2,mean_sufficient,0.9819295839778014,0.980255000306828,1,mean_sufficient,True
sciplex3_within_line,K562:AG-490 (Tyrphostin B42):s1,observed,0.4159036122654438,0.7045197740112994,0.48815445213851566,0.03169456563311466,0.6996585711761935,0.2,mean_sufficient,0.9921231198376271,0.9875625141934318,1,DART_recommended,False
sciplex3_within_line,K562:UNC0379:s1,observed,0.5621708471094111,0.7242937853107344,0.42613995744925537,0.03339298862698021,0.7284289612123116,0.6,mean_sufficient,0.9908077709065032,0.9901425553261154,1,DART_recommended,False
sciplex3_within_line,K562:Lapatinib (GW-572016) Ditosylate:s1,observed,0.5059256659439852,0.696045197740113,0.263699614743258,0.03470523525918786,0.6951509500628141,0.6,mean_sufficient,0.9917744934940103,0.9915806051299334,1,DART_recommended,False
sciplex3_within_line,K562:BMS-536924:s1,observed,0.34832188739878245,0.6802259887005649,0.33793341383474207,0.026928699746156498,0.6925909331815326,0.2,mean_sufficient,0.9856922075517711,0.9857906469016284,1,mean_sufficient,True
sciplex3_within_line,K562:Resveratrol:s1,observed,0.38969741891821086,0.6824858757062147,0.4025070438732678,0.0323211604198821,0.7185647230292085,0.2,mean_sufficient,0.9898673024801263,0.9898673024801263,1,mean_sufficient,True
sciplex3_within_line,K562:Triamcinolone Acetonide:s1,observed,0.46836195186438023,0.6887005649717515,0.4280641729382673,0.029666914302112813,0.6953874842964824,0.4,mean_sufficient,0.9880365819429402,0.9867869381811546,1,DART_recommended,False
sciplex3_within_line,K562:Clevudine:s1,observed,0.40982818714111435,0.6853107344632768,0.27128974757058244,0.02738412571080937,0.7272439835898241,0.4,mean_sufficient,0.9774537715883908,0.9774537715883908,1,DART_recommended,False
sciplex3_within_line,K562:Nintedanib (BIBF 1120):s2,observed,0.5947747058448721,0.6265536723163841,0.33344833534586854,0.028789156825862302,0.7170031799623116,0.8,mean_sufficient,0.9884191025476421,0.9841899790183419,2,DART_recommended,False
sciplex3_within_line,K562:Dasatinib:s2,observed,0.6181868750189174,0.3672316384180791,0.14593755390719337,0.031375528847210725,0.7298214460976759,1.0,mean_sufficient,0.978172863992858,0.978172863992858,2,DART_recommended,False
sciplex3_within_line,K562:GSK J1:s2,observed,0.4967528607725132,0.7209039548022599,0.4916336035880628,0.03126221150530201,0.7089446500078518,0.4,mean_sufficient,0.9829501912391476,0.9834002773241406,2,DART_recommended,False
sciplex3_within_line,K562:Amisulpride:s2,observed,0.4448451737472654,0.7225988700564971,0.3552987177275602,0.029631548202020505,0.7159597793655779,0.4,mean_sufficient,0.9810292910738303,0.9810292910738303,2,DART_recommended,False
sciplex3_within_line,K562:SRT2104 (GSK2245840):s2,observed,0.3617004048726776,0.7146892655367232,0.31573802541544477,0.03351261851226277,0.7065424044048367,0.2,mean_sufficient,0.9838546001624229,0.9838546001624229,2,mean_sufficient,True
sciplex3_within_line,K562:WP1066:s2,observed,0.36621638303826465,0.5384180790960452,0.3640388706802369,0.029387633072422367,0.7063987908291458,0.2,mean_sufficient,0.9656197547552053,0.971063762086613,2,mean_sufficient,True
sciplex3_within_line,K562:Costunolide:s2,observed,0.36801739646893866,0.7367231638418079,0.35055058790292304,0.030966014435257882,0.7242664739714195,0.2,mean_sufficient,0.9918826431347965,0.9918036772219108,2,mean_sufficient,True
sciplex3_within_line,K562:Alvespimycin (17-DMAG) HCl:s2,observed,0.4805284478653242,0.6677966101694915,0.2025760450807889,0.03210507998221958,0.7331159214038945,0.6,mean_sufficient,0.9873555966600202,0.9873555966600202,2,DART_recommended,False
sciplex3_within_line,K562:IOX2:s2,observed,0.4122561890632003,0.6406779661016949,0.4947386579265137,0.0292952613284048,0.7121187480370603,0.2,mean_sufficient,0.9886656729518575,0.9874365155959443,2,DART_recommended,False
sciplex3_within_line,K562:Ellagic acid:s2,observed,0.46364887723916376,0.6435028248587571,0.3925593697889713,0.03161679370149369,0.7140271670854271,0.4,mean_sufficient,0.9908726035657239,0.988630733608253,2,DART_recommended,False
sciplex3_within_line,MCF7:Sirtinol:s0,observed,0.48481853616174975,0.6276836158192091,0.3983669714219999,0.04202756333085578,0.5930740617148241,0.4,mean_sufficient,0.9890740145037407,0.9896322879221566,0,DART_recommended,False
sciplex3_within_line,MCF7:Zileuton:s0,observed,0.5259739893943925,0.6214689265536724,0.29670519234086595,0.04151581575974506,0.5757972479585427,0.6,mean_sufficient,0.9793694092839816,0.9781173586520266,0,DART_recommended,False
sciplex3_within_line,MCF7:Ofloxacin:s0,observed,0.4780233136751624,0.6570621468926554,0.33597837962164334,0.04619551315733435,0.6184434133558416,0.4,mean_sufficient,0.9896538664015173,0.9869495311352834,0,DART_recommended,False
sciplex3_within_line,MCF7:Lapatinib (GW-572016) Ditosylate:s0,observed,0.503713491729718,0.6531073446327683,0.4232649071358749,0.04434350641543166,0.6254025498586684,0.4,mean_sufficient,0.9887694669866336,0.9883769519671222,0,DART_recommended,False
sciplex3_within_line,MCF7:Curcumin:s0,observed,0.44760891397498215,0.631638418079096,0.22908400897015696,0.05293529696212316,0.5742951083542713,0.4,mean_sufficient,0.9805728994708938,0.9805998184078765,0,DART_recommended,False
sciplex3_within_line,MCF7:AICAR (Acadesine):s0,observed,0.45534352188915317,0.6711864406779661,0.263031540110791,0.04846816148666229,0.5787799839038945,0.4,mean_sufficient,0.9771387320761125,0.975633338234623,0,DART_recommended,False
sciplex3_within_line,MCF7:ABT-737:s0,observed,0.50364772532948,0.6536723163841808,0.4679431890058076,0.03975974833108167,0.6058836418420226,0.4,mean_sufficient,0.9789043604538936,0.9796401819870976,0,DART_recommended,False
sciplex3_within_line,MCF7:Disulfiram:s0,observed,0.5028459053966903,0.6610169491525424,0.42556494738657924,0.04495193949334778,0.5904235533134422,0.4,mean_sufficient,0.9907531584724351,0.9903974211362799,0,DART_recommended,False
sciplex3_within_line,MCF7:Belinostat (PXD101):s0,observed,0.6277702148225568,0.6406779661016949,0.26113395234657266,0.12259900521821802,0.6637333150125628,0.8,mean_sufficient,0.9120799967422126,0.9698462358387276,0,DART_recommended,False
sciplex3_within_line,MCF7:Abexinostat (PCI-24781):s0,observed,0.6723980580448967,0.4519774011299435,0.1585492077597372,0.09236700556600361,0.6690583532898869,1.0,mean_sufficient,0.9333789355968081,0.9333789355968081,0,DART_recommended,False
sciplex3_within_line,MCF7:Droxinostat:s1,observed,0.4529339668002995,0.511864406779661,0.3400276012104393,0.038763968697994144,0.5763240028266332,0.4,mean_sufficient,0.9863612148589205,0.9873902168019826,1,DART_recommended,False
sciplex3_within_line,MCF7:ITSA-1 (ITSA1):s1,observed,0.4738382279297416,0.6265536723163841,0.33868092691622104,0.04501361811901807,0.6025904915201006,0.4,mean_sufficient,0.9817082977644089,0.9824697965221897,1,DART_recommended,False
sciplex3_within_line,MCF7:Sirtinol:s1,observed,0.40364238299064925,0.6700564971751413,0.37318153067678683,0.044733055541354254,0.5882968062971106,0.2,mean_sufficient,0.9830510865440956,0.9830330497545486,1,DART_recommended,False
sciplex3_within_line,MCF7:AG-490 (Tyrphostin B42):s1,observed,0.556520334655655,0.6497175141242938,0.40405957104249324,0.03800904688273148,0.6107234414258794,0.6,mean_sufficient,0.9832470576461961,0.9832470576461961,1,DART_recommended,False
sciplex3_within_line,MCF7:UNC0379:s1,observed,0.4901227399973792,0.6757062146892655,0.37852912425967455,0.044665414764099035,0.6364130221419597,0.4,mean_sufficient,0.9923558323311503,0.9911444270336156,1,DART_recommended,False
