split_type,recommendation_mode,method,method_family,moa_hit@1,moa_hit@5,moa_mrr,moa_ndcg,target_hit@5,target_mrr,decision_regret,minority_state_coverage,n_queries
leave_drug_out,mean_or_no_call,DART_sliced_wasserstein,DART_distributional,0.14563106796116504,0.42718446601941745,0.28054083406494096,0.1410508158622921,-0.4563106796116505,-0.510607946912003,0.19948472328556394,0.983016691755743,103
leave_drug_out,mean_or_no_call,cmap_match,cmap_signature,0.13592233009708737,0.36893203883495146,0.2662170657537437,0.1656293512849406,-0.5339805825242718,-0.5518168827229887,0.36715763980902516,0.9805784651626265,103
leave_drug_out,mean_or_no_call,cmap_reverse,cmap_signature,0.038834951456310676,0.14563106796116504,0.12109424520467206,0.04963445492671647,-0.5728155339805825,-0.5751484592628817,0.72888082670934,0.9734630543839844,103
leave_drug_out,mean_or_no_call,mean_cosine,mean_signature,0.13592233009708737,0.36893203883495146,0.2662170657537437,0.1656293512849406,-0.5339805825242718,-0.5518168827229887,0.36715763980902516,0.9805784651626265,103
leave_drug_out,mean_or_no_call,mean_l2,mean_signature,0.1650485436893204,0.4174757281553398,0.3037164060805014,0.1465157639891729,-0.5145631067961165,-0.5402617360155045,0.18332473977098188,0.9835004385315274,103
leave_drug_out,mean_sufficient,DART_coverage_mean,DART_coverage,0.5454545454545454,0.9090909090909091,0.6818181818181818,0.40143753171476165,0.6363636363636364,0.37536075036075034,1.19479699568315,0.9199511001217161,11
leave_drug_out,mean_sufficient,DART_coverage_worst,DART_coverage,0.7272727272727273,1.0,0.8484848484848485,0.5227310810823044,0.7272727272727273,0.39718614718614714,0.3487971912730824,0.9292859651072237,11
leave_drug_out,mean_sufficient,DART_energy,DART_distributional,0.8181818181818182,1.0,0.8863636363636364,0.5068075201947686,0.7272727272727273,0.45833333333333337,0.41885740106756036,0.910241576559497,11
leave_drug_out,mean_sufficient,DART_mmd,DART_distributional,0.8181818181818182,1.0,0.893939393939394,0.508149159498258,0.7272727272727273,0.45833333333333337,0.24676461653275925,0.9166516931248485,11
leave_drug_out,mean_sufficient,DART_sliced_wasserstein,DART_distributional,0.7272727272727273,1.0,0.8484848484848485,0.501342226571283,0.7272727272727273,0.44480519480519476,0.7342905564741655,0.8954147235745439,11
leave_drug_out,mean_sufficient,cmap_match,cmap_signature,0.8181818181818182,1.0,0.8787878787878788,0.5135254183104342,0.7272727272727273,0.395021645021645,0.3944670937278054,0.9227215224804646,11
leave_drug_out,mean_sufficient,cmap_reverse,cmap_signature,0.0,0.2727272727272727,0.14655222228751638,0.054297683210184536,0.0,0.036067697219129446,4.405924190174449,0.8808736588822165,11
leave_drug_out,mean_sufficient,mean_cosine,mean_signature,0.8181818181818182,1.0,0.8787878787878788,0.5135254183104342,0.7272727272727273,0.395021645021645,0.3944670937278054,0.9227215224804646,11
leave_drug_out,mean_sufficient,mean_l2,mean_signature,0.8181818181818182,1.0,0.893939393939394,0.5075482311160885,0.7272727272727273,0.4419191919191919,0.41885740106756036,0.910241576559497,11
partial_library,DART_recommended,DART_coverage_mean,DART_coverage,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07987215352612873,0.9793103707551278,43
