split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,information_condition_mode,subpopulation_variance_ratio,isotropy_index,response_diversity,mean_energy_disagreement,bootstrap_rank_stability,preference_conflict_topk,structure_reliability_score,recommendation_mode,seed
leave_drug_out,A549,SL-327,MAPK,1.0,observed,0.027212658754209605,6.908401429121348e-42,0.6160761326162061,0.37619677404963187,1.0,0.5542372881355933,0.6749144604416205,DART_recommended,0
leave_drug_out,A549,Ofloxacin,DNA Damage,1.0,observed,0.03203385803014936,8.724484238886311e-42,0.6080230252826633,0.4239549192110862,0.2,0.6344632768361582,0.3852880983425946,mean_or_no_call,0
leave_drug_out,A549,TG101209,JAK/STAT,1.0,observed,0.028623182318938054,3.507450056205017e-42,0.5998332973461056,0.46989822321890634,0.6,0.6440677966101696,0.550317254818042,DART_recommended,0
leave_drug_out,A549,BMS-754807,Protein Tyrosine Kinase,1.0,observed,0.02992994021940295,4.559825202912955e-42,0.5747545343907035,0.30009775171065495,0.4,0.6107344632768361,0.41229948719600845,DART_recommended,0
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",Cell Cycle,1.0,observed,0.02729686204934746,2.534948921963594e-42,0.5913698129318468,0.4391926858720028,0.4,0.5983050847457627,0.454745007496428,DART_recommended,0
leave_drug_out,A549,Ki16425,GPCR & G Protein,1.0,observed,0.02500078977332819,8.364350533554833e-42,0.5955609100188441,0.3332997900463924,0.2,0.5485875706214689,0.3312133868381063,mean_or_no_call,0
leave_drug_out,A549,(+)-JQ1,Epigenetics,1.0,observed,0.029742558897913923,5.605193857299268e-45,0.6428110277952261,0.23451022098799368,0.6,0.4101694915254237,0.4755873568190621,DART_recommended,0
leave_drug_out,A549,Decitabine,Epigenetics,1.0,observed,0.026756183110271906,4.282368106976641e-42,0.6268695528423367,0.32212063711114947,0.4,0.5740112994350283,0.4156977276039517,DART_recommended,0
leave_drug_out,A549,Costunolide,DNA Damage,1.0,observed,0.03087443678165247,9.65494641919799e-43,0.5953403737437186,0.35725375194065895,0.4,0.5338983050847458,0.43719616089855995,DART_recommended,0
leave_drug_out,A549,Pirarubicin,DNA Damage,1.0,observed,0.03778828788135712,2.214051573633211e-43,0.5819586212311558,0.2760271411627107,0.6,0.607909604519774,0.5081702251741357,DART_recommended,0
leave_drug_out,A549,Lomustine,DNA Damage,1.0,observed,0.02598700034598761,5.184804318001823e-44,0.5988131821215452,0.3971594502903801,0.4,0.5694915254237288,0.43684812685175045,DART_recommended,0
leave_drug_out,A549,Mercaptopurine (6-MP),PPAT,1.0,observed,0.02785589150984127,1.5974802493302915e-43,0.5990757498429649,0.3970702394560339,0.8,0.6067796610169491,0.6024498333234323,DART_recommended,0
leave_MoA_out,A549,SRT3025 HCl,DNA Damage,0.8723404255319149,observed,0.03602050294462817,2.3261554507791963e-43,0.5960548837939699,0.42503366751458926,0.4,0.5977401129943503,0.47642878084338774,DART_recommended,0
leave_MoA_out,A549,Zileuton,Metabolism,0.973404255319149,observed,0.036934796114039964,6.127878184492425e-42,0.5890308966708543,0.39382975524414027,0.4,0.6785310734463277,0.46754789234465444,DART_recommended,0
leave_MoA_out,A549,Droxinostat,Cytoskeletal Signaling,0.9361702127659575,observed,0.028594941927238115,1.2303400516771894e-42,0.588640026303392,0.32814377081106644,0.4,0.5875706214689266,0.4194991481959268,DART_recommended,0
leave_MoA_out,A549,"Temsirolimus (CCI-779, NSC 683864)",PI3K/Akt/mTOR,0.9840425531914894,observed,0.024693366193199548,2.532566714574242e-41,0.5888653717807789,0.28519388954171565,0.4,0.47062146892655365,0.39278449709727703,mean_or_no_call,0
leave_MoA_out,A549,CEP-33779,JAK/STAT,0.8936170212765957,observed,0.030063479391211637,1.624104920152463e-42,0.5866066661432161,0.24985742800114058,0.2,0.5836158192090395,0.31630120458835576,mean_or_no_call,0
leave_MoA_out,A549,Sorafenib Tosylate,MAPK,0.9787234042553191,observed,0.027817220480226102,0.0,0.6064069124921483,0.42040864813494894,0.2,0.6299435028248588,0.37123537953712527,mean_or_no_call,0
