outcome,model,term,beta,ci_lo,ci_hi,p,r2,n,n_clusters
G_oracle_vs_l2,plus interaction term,interaction_share,-0.000230398960750447,-0.0018622595323530894,0.0014014616108521953,0.7819926629123288,0.3482879650793177,3618,44
G_oracle_vs_l2,plus interaction term,A_sup,0.003560462656558307,0.0013973017317314707,0.005723623581385144,0.0012552901158818404,0.3482879650793177,3618,44
G_oracle_vs_l2,plus interaction term,H_x_share,-0.0034065383767051234,-0.004974522623023447,-0.0018385541303867995,2.0613714393062458e-05,0.3482879650793177,3618,44
G_oracle_vs_cos,absolute interaction instead of share,const,0.02997686825462085,0.027429714088996453,0.03252402242024524,1.0079025179500649e-117,0.6874825247872425,3620,44
G_oracle_vs_cos,absolute interaction instead of share,H,0.08084824428162712,0.0753319107879994,0.08636457777525484,1.8309793834012347e-181,0.6874825247872425,3620,44
G_oracle_vs_cos,absolute interaction instead of share,log_S_int,0.001509797890169228,-0.0015419505341658776,0.004561546314504334,0.3322174471508892,0.6874825247872425,3620,44
G_oracle_vs_cos,absolute interaction instead of share,A_sup,0.007545147182217453,0.004230561622332575,0.010859732742102331,8.136580093207902e-06,0.6874825247872425,3620,44
G_oracle_vs_cos,"the old statistic, for contrast",const,0.02997686825462085,0.027547138637196322,0.032406597872045376,3.5153575605049774e-129,0.6910245442012317,3620,44
G_oracle_vs_cos,"the old statistic, for contrast",H,0.0814971759780678,0.07635944688735301,0.08663490506878259,3.297330420702952e-212,0.6910245442012317,3620,44
G_oracle_vs_cos,"the old statistic, for contrast",D_old,-0.009589550257168934,-0.016749532026299082,-0.0024295684880387865,0.008664111311229725,0.6910245442012317,3620,44
G_oracle_vs_cos,"the old statistic, for contrast",A_sup,0.0007999693100793461,-0.0038645288778968176,0.00546446749805551,0.7367674596231877,0.6910245442012317,3620,44
RR_pop_oracle_vs_cos,conditional: mean route only,const,0.9755154333475421,0.9731107788938794,0.9779200878012048,0.0,0.5077838013086311,3992,44
RR_pop_oracle_vs_cos,conditional: mean route only,RR_ref_oracle_vs_cos,0.05402641438176395,0.04871940970413303,0.05933341905939487,1.4160550641943842e-88,0.5077838013086311,3992,44
RR_pop_oracle_vs_cos,conditional: plus interaction share,const,0.9756208632153142,0.9729742759617785,0.9782674504688498,0.0,0.49324539390923916,3618,44
RR_pop_oracle_vs_cos,conditional: plus interaction share,RR_ref_oracle_vs_cos,0.05161266897565428,0.045506669725752555,0.057718668225556005,1.2040939708586786e-61,0.49324539390923916,3618,44
RR_pop_oracle_vs_cos,conditional: plus interaction share,interaction_share,0.00048030680861220953,-0.002126831771120384,0.0030874453883448032,0.7180400887844889,0.49324539390923916,3618,44
RR_pop_oracle_vs_cos,conditional: plus recoverability,const,0.9756208632153146,0.9730643219965188,0.9781774044341104,0.0,0.5032772390937814,3618,44
RR_pop_oracle_vs_cos,conditional: plus recoverability,RR_ref_oracle_vs_cos,0.047693794569007686,0.04209873725164911,0.05328885188636626,1.1603188908877575e-62,0.5032772390937814,3618,44
RR_pop_oracle_vs_cos,conditional: plus recoverability,interaction_share,0.0010612679801920446,-0.0010885768662549193,0.0032111128266390085,0.33327737712819305,0.5032772390937814,3618,44
RR_pop_oracle_vs_cos,conditional: plus recoverability,A_sup,0.008363810638425681,0.005171247725264451,0.011556373551586912,2.826345190216464e-07,0.5032772390937814,3618,44
RR_pop_oracle_vs_cos,conditional: plus interaction reproducibility,const,0.9756208632153146,0.9730624673268442,0.978179259103785,0.0,0.5033909125180187,3618,44
RR_pop_oracle_vs_cos,conditional: plus interaction reproducibility,RR_ref_oracle_vs_cos,0.047653302551820695,0.04203745566180237,0.05326914944183902,4.136192301903195e-62,0.5033909125180187,3618,44
RR_pop_oracle_vs_cos,conditional: plus interaction reproducibility,interaction_share,0.0015061510921252133,-0.0008534654947140315,0.0038657676789644584,0.2109156847653033,0.5033909125180187,3618,44
RR_pop_oracle_vs_cos,conditional: plus interaction reproducibility,A_sup,0.009064993308605638,0.006049339202182499,0.012080647415028777,3.824490109973524e-09,0.5033909125180187,3618,44
RR_pop_oracle_vs_cos,conditional: plus interaction reproducibility,R_int,-0.0011088398400587586,-0.002857851130655436,0.0006401714505379187,0.21402270655780709,0.5033909125180187,3618,44
RR_pop_oracle_vs_cos,conditional: the old statistic,const,0.9753335562401203,0.9729038266226957,0.9777632858575449,0.0,0.515711041856185,3620,44
RR_pop_oracle_vs_cos,conditional: the old statistic,RR_ref_oracle_vs_cos,0.048229879514556,0.04309215042384082,0.05336760860527118,1.3393196755810962e-75,0.515711041856185,3620,44
RR_pop_oracle_vs_cos,conditional: the old statistic,D_old,-0.009589550257169017,-0.016749532026299474,-0.00242956848803856,0.008664111311232039,0.515711041856185,3620,44
RR_pop_oracle_vs_cos,conditional: the old statistic,A_sup,0.0007999693100792793,-0.003864528877896879,0.005464467498055438,0.7367674596232086,0.515711041856185,3620,44
RR_pop_oracle_vs_l2,"conditional, magnitude-controlled",const,0.9756208632153146,0.9744252073402306,0.9768165190903986,0.0,0.7510339701139845,3618,44
RR_pop_oracle_vs_l2,"conditional, magnitude-controlled",RR_ref_oracle_vs_l2,0.06219784415449545,0.05766330037248892,0.06673238793650198,3.4020279701257384e-159,0.7510339701139845,3618,44
RR_pop_oracle_vs_l2,"conditional, magnitude-controlled",interaction_share,-0.0027466349183732793,-0.004311730611589434,-0.0011815392251571242,0.0005825712546368497,0.7510339701139845,3618,44
RR_pop_oracle_vs_l2,"conditional, magnitude-controlled",A_sup,0.003304461808385152,0.001256647085562166,0.005352276531208138,0.0015631266531529338,0.7510339701139845,3618,44
