cell_line,drug,G_oracle_vs_cos,corrected_flip_oracle_vs_cos,reverse_flip_oracle_vs_cos,RR_ref_oracle_vs_cos,RR_pop_oracle_vs_cos,G_oracle_vs_l2,corrected_flip_oracle_vs_l2,reverse_flip_oracle_vs_l2,RR_ref_oracle_vs_l2,RR_pop_oracle_vs_l2,A_sup,A_unsup,G_gap,S_int,S_main,interaction_share,R_int,D_old,norm_r_G1,norm_r_G2M,n_treated_G1,n_treated_G2M,G_pred_average_effect,G_pred_linear_latent,G_pred_nearest_context,G_pred_nearest_context_cells,G_pred_ot_map,H,H_l2,log_S_int
A-172,Lapatinib ditosylate,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7433333333333333,0.5333333333333333,0.2099999999999999,9.74299302065952e-05,0.0002776836459007,0.2597344815339693,0.1693299447763662,0.400436466186957,1.0152562856674194,0.9642412662506104,1249,819,0.0,0.0,-0.5132467532467533,-0.4575396825396826,0.11666666666666667,0.0,0.0,-4.0113076085545805
A-172,Lonafarnib,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9928909952606636,0.9597156398104264,0.0331753554502369,0.0008251011992494,0.0073220283620887,0.1012750801417112,0.4005894643064506,0.0876909746467428,4.461500644683838,4.019863605499268,87,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.08349278165588
A-172,MK-3903,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8966666666666666,0.5133333333333333,0.3833333333333333,0.0003723540783135,0.0008990913629531,0.2928588724519473,0.4161939133921109,0.2767903914449552,1.7008428573608398,1.5121797323226929,681,300,0.0,0.0,-0.7716666666666667,-0.5892063492063493,0.03128205128205126,0.0,0.0,-3.429043885061249
A-172,MK-8353,0.13333333333333336,0.2,0.0,0.6,0.7333333333333333,0.11666666666666665,0.2,0.0,0.6166666666666667,0.7333333333333333,0.7233333333333334,0.5116666666666667,0.2116666666666666,5.903756860384925e-05,0.0003100421202058,0.1599588663202976,0.1040651359143835,0.3487438515260134,0.9998374581336976,1.039842128753662,473,309,0.0,0.0,-0.13333333333333336,-0.15,-0.1,0.4,0.3833333333333333,-4.228871536748619
A-172,ML264,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8633333333333333,0.5283333333333333,0.3349999999999999,0.0001009722194996,0.0006587128258413,0.1329132646731626,0.1946327965650827,0.1981768145001659,1.3470488786697388,1.3498262166976929,969,550,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,-3.995798097282578
A-172,Methylprednisolone succinate,-0.1,0.0,0.2,1.0,0.9,0.0,0.0,0.0,0.9,0.9,0.725,0.5283333333333333,0.1966666666666666,-5.613933333532057e-06,0.0002646316334398,-0.0216739370754518,-0.0072757357569538,0.3401001322525644,0.9410125613212584,0.9656485319137572,468,341,0.0,0.1,-0.1,0.05,-0.022864357864357875,0.0,0.09999999999999998,-8.0
A-172,Minodronic acid,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7616666666666667,0.5183333333333333,0.2433333333333334,0.0001071177680084,0.0002871787951638,0.2716680235470961,0.185638255024862,0.404536917717478,1.0585105419158936,0.9333330988883972,678,522,0.0,0.0,-0.6747619047619049,-0.850873015873016,0.1,0.0,0.0,-3.970138485209401
A-172,NG25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9666666666666668,0.7566666666666667,0.2099999999999999,0.0012660344441731,0.0031056744770871,0.2895971499877893,0.7387812577667631,0.2103580486500361,2.8161253929138184,2.8924031257629395,780,428,0.0,0.0,-0.6369855742839614,-0.7628260628260628,0.0,0.0,0.0,-2.897554478591317
A-172,NVP-BHG712,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8133333333333334,0.5033333333333334,0.3099999999999999,0.0001385263251399,0.0004721061067862,0.2268571367933535,0.2387625259019517,0.2904703542142614,1.165701389312744,1.224843978881836,596,388,0.0,0.0,-0.611111111111111,-0.7433333333333334,-0.04,0.0,0.0,-3.858467686696348
A-172,OTS514,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8133333333333334,0.6616666666666666,0.1516666666666667,8.175424009095877e-05,0.0008326219498283,0.0894098523039787,0.1306039675549591,0.1825486016220616,1.528084397315979,1.5028727054595947,344,322,0.0,0.0,-0.5333333333333334,-0.4,0.1,0.0,0.0,-4.087489713892715
A-172,Oleic acid,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7316666666666667,0.5116666666666667,0.2199999999999999,1.3714739907300111e-06,0.0002699602653996,0.0050546021405797,0.0082814218802351,0.3302589808050757,0.9899863004684448,0.9367437958717346,398,321,0.15,0.05,-0.23888888888888893,-0.12253968253968255,0.1358543417366947,0.0,0.0,-5.862812424143697
A-172,Oxaliplatin,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7416666666666667,0.5283333333333333,0.2133333333333333,2.6163905082891385e-05,0.00036137893589,0.0675122910726588,0.0564045971332326,0.2766091951724569,1.02727472782135,1.0972071886062622,763,443,0.0,0.0,-0.43809523809523815,-0.8584126984126984,0.0,0.0,0.0,-4.5822974350656525
A-172,PF-06260933,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8966666666666666,0.5083333333333333,0.3883333333333333,0.0013234900310635,0.0014432608667347,0.4783553272239884,0.6322536193195274,0.4138059978408512,1.8148863315582275,2.3981051445007324,379,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8782793255907535
