subpop_variance_ratio,split_half_stability,response_diversity,isotropy_index,n_cells,pair,drug,seed,source,predictor,synth,score_disagreement
0.009005236560604129,0.9778700172901154,0.056819367563393564,0.9975734442197449,200,K562+A549,A-366,3,predicted,average_effect,gaussian,0.5
0.009005052695505012,0.9782046914100647,0.056723311381287056,0.997573865259827,200,K562+A549,A-366,3,predicted,nearest_neighbor,gaussian,1.0
0.008394520837688766,0.9819312274456025,0.04943024484095826,0.9981269452097835,200,K562+A549,A-366,3,predicted,scgen,gaussian,1.0
0.13666285805082629,0.9649309933185577,0.24695921153922096,0.8097569845292694,200,K562+A549,ABT-737,0,real_blend,real_blend,real,0.5
0.02931252552462208,0.9861747086048126,0.13198958562259078,0.9808807326505926,200,K562+A549,ABT-737,0,real_single,real_single,real,
0.1395417097848702,0.9651396095752716,0.23030484854594246,0.8123362239235592,200,K562+A549,ABT-737,0,predicted,average_effect,cells,0.5
0.13954165513568956,0.9655000388622283,0.22649493878925608,0.8123361390390985,200,K562+A549,ABT-737,0,predicted,nearest_neighbor,cells,0.5
0.46396555995782873,0.9907252669334412,0.5797133049050892,0.6370966862184084,200,K562+A549,ABT-737,0,predicted,scgen,cells,1.0
0.008638667178549176,0.9785350263118744,0.059385524538759005,0.9975260483709173,200,K562+A549,ABT-737,0,predicted,average_effect,gaussian,0.5
0.008638775211356451,0.9787682890892029,0.05934416475418802,0.9975259115041251,200,K562+A549,ABT-737,0,predicted,nearest_neighbor,gaussian,1.0
0.007959214194069761,0.9823988437652588,0.05317367598247558,0.9980027042206724,200,K562+A549,ABT-737,0,predicted,scgen,gaussian,1.0
0.1442812397529858,0.9610954701900483,0.24604146769858193,0.8009870048763233,200,K562+A549,ABT-737,1,real_blend,real_blend,real,0.5
0.02931252552462208,0.9868616580963134,0.13789141399348204,0.9808807326505926,200,K562+A549,ABT-737,1,real_single,real_single,real,
0.15007586280124807,0.9718021392822266,0.2645182027219265,0.7948875151579377,200,K562+A549,ABT-737,1,predicted,average_effect,cells,0.5
0.15007586280124807,0.9721065104007721,0.26191565233128156,0.7948875934411403,200,K562+A549,ABT-737,1,predicted,nearest_neighbor,cells,0.5
0.4836628157749931,0.9938082933425904,0.6184618324540871,0.6141158880783019,200,K562+A549,ABT-737,1,predicted,scgen,cells,1.0
0.008948312449782813,0.9790411651134491,0.057557913708119246,0.9979524717785897,200,K562+A549,ABT-737,1,predicted,average_effect,gaussian,0.5
0.008905238792635814,0.9792398154735565,0.056912498002531176,0.9979530154635372,200,K562+A549,ABT-737,1,predicted,nearest_neighbor,gaussian,1.0
0.008434258240087145,0.982906174659729,0.05087128182955958,0.9981045978609759,200,K562+A549,ABT-737,1,predicted,scgen,gaussian,1.0
0.13831985103612843,0.9647269785404206,0.23711758621420398,0.8057445966917363,200,K562+A549,ABT-737,2,real_blend,real_blend,real,0.5
0.02931252552462208,0.9857493340969086,0.13368516978731482,0.9808807326505926,200,K562+A549,ABT-737,2,real_single,real_single,real,
0.14201314819526262,0.9660974562168121,0.23844323859111238,0.8089566529568883,200,K562+A549,ABT-737,2,predicted,average_effect,cells,0.5
0.14201314819526262,0.9664453744888306,0.23552454608016737,0.8089565955246555,200,K562+A549,ABT-737,2,predicted,nearest_neighbor,cells,0.5
0.4729114764007391,0.9914239168167114,0.6097737227958693,0.6323490232770724,200,K562+A549,ABT-737,2,predicted,scgen,cells,0.5
0.009127493915047245,0.9793786764144897,0.06222678368889656,0.9974243548708119,200,K562+A549,ABT-737,2,predicted,average_effect,gaussian,0.5
0.009127234838806201,0.9796199679374695,0.06204163471136115,0.9974245207843472,200,K562+A549,ABT-737,2,predicted,nearest_neighbor,gaussian,1.0
0.00815282128956068,0.983199805021286,0.054171878098969284,0.9977902183038767,200,K562+A549,ABT-737,2,predicted,scgen,gaussian,1.0
0.14652525404842076,0.9693323791027069,0.25428417192298736,0.7905365060154836,200,K562+A549,ABT-737,3,real_blend,real_blend,real,0.5
0.02931252552462208,0.9860651969909668,0.1320869072850973,0.9808807326505926,200,K562+A549,ABT-737,3,real_single,real_single,real,
0.1428349695434991,0.9683936536312103,0.25310345352921804,0.8051622986194238,200,K562+A549,ABT-737,3,predicted,average_effect,cells,0.5
0.1428349695434991,0.9686815500259399,0.2505294106884808,0.8051623334856579,200,K562+A549,ABT-737,3,predicted,nearest_neighbor,cells,0.5
0.4867975945238115,0.9929154813289642,0.6161965439918886,0.6224156439551491,200,K562+A549,ABT-737,3,predicted,scgen,cells,0.5
0.009005150981940475,0.9787318348884583,0.05635434962845243,0.9975734469975563,200,K562+A549,ABT-737,3,predicted,average_effect,gaussian,0.5
0.009005052695505012,0.9789521992206573,0.055721609096212044,0.9975738653541896,200,K562+A549,ABT-737,3,predicted,nearest_neighbor,gaussian,1.0
0.008394520837688766,0.982621693611145,0.048670576604112115,0.9981269373910361,200,K562+A549,ABT-737,3,predicted,scgen,gaussian,1.0
0.13175267368078647,0.9652497351169587,0.2548572986815716,0.8111321043093989,200,K562+A549,AC480 (BMS-599626),0,real_blend,real_blend,real,0.5
0.02838776234616276,0.9851915955543518,0.12940770239700072,0.9806287109677914,200,K562+A549,AC480 (BMS-599626),0,real_single,real_single,real,
0.13954165513568956,0.9643144905567169,0.23010794596497464,0.8123362183674302,200,K562+A549,AC480 (BMS-599626),0,predicted,average_effect,cells,0.5
0.1395417097848702,0.9641902565956115,0.22976240516047208,0.8123361734562746,200,K562+A549,AC480 (BMS-599626),0,predicted,nearest_neighbor,cells,0.5
0.46396555995782873,0.9905003070831299,0.5856975552217186,0.6370968188420534,200,K562+A549,AC480 (BMS-599626),0,predicted,scgen,cells,1.0
0.008638623857415942,0.978015124797821,0.060042410274294356,0.9975260528974356,200,K562+A549,AC480 (BMS-599626),0,predicted,average_effect,gaussian,0.5
0.008638775211356451,0.9779546320438385,0.059702368674606765,0.9975258939352827,200,K562+A549,AC480 (BMS-599626),0,predicted,nearest_neighbor,gaussian,1.0
0.007959214194069761,0.9819788575172425,0.05333643917787123,0.9980027073186178,200,K562+A549,AC480 (BMS-599626),0,predicted,scgen,gaussian,1.0
