pair,drug,seed,predictor,synth,induced_response_cosine
K562+A549,2-Methoxyestradiol (2-MeOE2),7,average_effect,cells,0.16178298112443185
K562+A549,2-Methoxyestradiol (2-MeOE2),7,nearest_neighbor,cells,0.2513944777064998
K562+A549,2-Methoxyestradiol (2-MeOE2),7,scgen,cells,0.3184104216841139
K562+A549,2-Methoxyestradiol (2-MeOE2),7,average_effect,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),7,nearest_neighbor,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),7,scgen,gaussian,
K562+A549,A-366,0,real_blend,real,0.01361878846913904
K562+A549,A-366,0,average_effect,cells,0.03144554487578794
K562+A549,A-366,0,nearest_neighbor,cells,0.10655725620017302
K562+A549,A-366,0,scgen,cells,-0.02758187400296727
K562+A549,A-366,0,average_effect,gaussian,
K562+A549,A-366,0,nearest_neighbor,gaussian,
K562+A549,A-366,0,scgen,gaussian,
K562+A549,A-366,1,real_blend,real,0.02877069667722869
K562+A549,A-366,1,average_effect,cells,0.06974367064589233
K562+A549,A-366,1,nearest_neighbor,cells,0.15122270820431666
K562+A549,A-366,1,scgen,cells,0.1245502196836537
K562+A549,A-366,1,average_effect,gaussian,
K562+A549,A-366,1,nearest_neighbor,gaussian,
K562+A549,A-366,1,scgen,gaussian,
K562+A549,A-366,2,real_blend,real,-0.01941757772609118
K562+A549,A-366,2,average_effect,cells,0.09283263011602413
K562+A549,A-366,2,nearest_neighbor,cells,0.14039244181933408
K562+A549,A-366,2,scgen,cells,-0.022239119903311653
K562+A549,A-366,2,average_effect,gaussian,
K562+A549,A-366,2,nearest_neighbor,gaussian,
K562+A549,A-366,2,scgen,gaussian,
K562+A549,A-366,3,real_blend,real,0.010437736791923627
K562+A549,A-366,3,average_effect,cells,0.07404445366102624
K562+A549,A-366,3,nearest_neighbor,cells,0.11353198428365596
K562+A549,A-366,3,scgen,cells,0.1487370158720941
K562+A549,A-366,3,average_effect,gaussian,
K562+A549,A-366,3,nearest_neighbor,gaussian,
K562+A549,A-366,3,scgen,gaussian,
K562+A549,A-366,4,real_blend,real,0.030576737932721577
K562+A549,A-366,4,average_effect,cells,0.12806584261150533
K562+A549,A-366,4,nearest_neighbor,cells,0.13193563096858546
K562+A549,A-366,4,scgen,cells,-0.04130943908561788
K562+A549,A-366,4,average_effect,gaussian,
K562+A549,A-366,4,nearest_neighbor,gaussian,
K562+A549,A-366,4,scgen,gaussian,
K562+A549,A-366,5,real_blend,real,0.007396758948608939
K562+A549,A-366,5,average_effect,cells,0.018378801926273804
K562+A549,A-366,5,nearest_neighbor,cells,0.08842601226027176
K562+A549,A-366,5,scgen,cells,-0.20837155137716865
K562+A549,A-366,5,average_effect,gaussian,
K562+A549,A-366,5,nearest_neighbor,gaussian,
K562+A549,A-366,5,scgen,gaussian,
K562+A549,A-366,6,real_blend,real,0.03191874585976981
K562+A549,A-366,6,average_effect,cells,0.0992637687364909
K562+A549,A-366,6,nearest_neighbor,cells,0.14439706548830175
K562+A549,A-366,6,scgen,cells,0.16137013753133436
K562+A549,A-366,6,average_effect,gaussian,
K562+A549,A-366,6,nearest_neighbor,gaussian,
K562+A549,A-366,6,scgen,gaussian,
K562+A549,A-366,7,real_blend,real,0.010089701098991254
K562+A549,A-366,7,average_effect,cells,0.10385743845522016
K562+A549,A-366,7,nearest_neighbor,cells,0.16452345273650093
K562+A549,A-366,7,scgen,cells,0.17975112712801342
K562+A549,A-366,7,average_effect,gaussian,
K562+A549,A-366,7,nearest_neighbor,gaussian,
K562+A549,A-366,7,scgen,gaussian,
K562+A549,ABT-737,0,real_blend,real,0.015545957369554093
K562+A549,ABT-737,0,average_effect,cells,0.07239258999864084
K562+A549,ABT-737,0,nearest_neighbor,cells,0.16458112654635826
K562+A549,ABT-737,0,scgen,cells,0.09305819800837922
K562+A549,ABT-737,0,average_effect,gaussian,
K562+A549,ABT-737,0,nearest_neighbor,gaussian,
K562+A549,ABT-737,0,scgen,gaussian,
K562+A549,ABT-737,1,real_blend,real,-0.016172143835350816
K562+A549,ABT-737,1,average_effect,cells,0.11491324377333777
K562+A549,ABT-737,1,nearest_neighbor,cells,0.20937725654691902
K562+A549,ABT-737,1,scgen,cells,0.3291878612676986
K562+A549,ABT-737,1,average_effect,gaussian,
K562+A549,ABT-737,1,nearest_neighbor,gaussian,
K562+A549,ABT-737,1,scgen,gaussian,
K562+A549,ABT-737,2,real_blend,real,-0.009976534758316905
K562+A549,ABT-737,2,average_effect,cells,0.10652025399534312
K562+A549,ABT-737,2,nearest_neighbor,cells,0.1793786741385602
K562+A549,ABT-737,2,scgen,cells,0.06692405471390234
K562+A549,ABT-737,2,average_effect,gaussian,
K562+A549,ABT-737,2,nearest_neighbor,gaussian,
K562+A549,ABT-737,2,scgen,gaussian,
K562+A549,ABT-737,3,real_blend,real,0.06277183063180394
K562+A549,ABT-737,3,average_effect,cells,0.07324834864092492
K562+A549,ABT-737,3,nearest_neighbor,cells,0.14014432693219736
K562+A549,ABT-737,3,scgen,cells,0.2507741653215092
K562+A549,ABT-737,3,average_effect,gaussian,
K562+A549,ABT-737,3,nearest_neighbor,gaussian,
K562+A549,ABT-737,3,scgen,gaussian,
K562+A549,ABT-737,4,real_blend,real,-0.07390948431671021
K562+A549,ABT-737,4,average_effect,cells,0.06718485524621182
K562+A549,ABT-737,4,nearest_neighbor,cells,0.17626901306725762
K562+A549,ABT-737,4,scgen,cells,-0.07937820645817222
K562+A549,ABT-737,4,average_effect,gaussian,
K562+A549,ABT-737,4,nearest_neighbor,gaussian,
K562+A549,ABT-737,4,scgen,gaussian,
K562+A549,ABT-737,5,real_blend,real,-0.021359909274637646
K562+A549,ABT-737,5,average_effect,cells,0.03750291004341673
K562+A549,ABT-737,5,nearest_neighbor,cells,0.14397579652446685
K562+A549,ABT-737,5,scgen,cells,-0.06296854841978233
K562+A549,ABT-737,5,average_effect,gaussian,
K562+A549,ABT-737,5,nearest_neighbor,gaussian,
K562+A549,ABT-737,5,scgen,gaussian,
K562+A549,ABT-737,6,real_blend,real,0.08949899342510774
K562+A549,ABT-737,6,average_effect,cells,0.0476574969852537
K562+A549,ABT-737,6,nearest_neighbor,cells,0.1112499158628969
K562+A549,ABT-737,6,scgen,cells,0.12562564277397417
K562+A549,ABT-737,6,average_effect,gaussian,
K562+A549,ABT-737,6,nearest_neighbor,gaussian,
K562+A549,ABT-737,6,scgen,gaussian,
K562+A549,ABT-737,7,real_blend,real,0.049882600936554444
K562+A549,ABT-737,7,average_effect,cells,0.09037999257706227
K562+A549,ABT-737,7,nearest_neighbor,cells,0.1407238928723345
K562+A549,ABT-737,7,scgen,cells,0.057289436384615325
K562+A549,ABT-737,7,average_effect,gaussian,
K562+A549,ABT-737,7,nearest_neighbor,gaussian,
K562+A549,ABT-737,7,scgen,gaussian,
K562+A549,AC480 (BMS-599626),0,real_blend,real,0.04172421597055105
K562+A549,AC480 (BMS-599626),0,average_effect,cells,0.0598130406207001
K562+A549,AC480 (BMS-599626),0,nearest_neighbor,cells,0.20274146370010077
K562+A549,AC480 (BMS-599626),0,scgen,cells,0.030094219157294284
K562+A549,AC480 (BMS-599626),0,average_effect,gaussian,
