context,drug,n_treated_0,n_treated_1,n_control_0,n_control_1,silhouette,cos_old,S_int_additive_null_sd,cos_old_additive_null_mean,cos_old_additive_null_sd,S_int,S_int_se,S_main,interaction_share,R_int
MCF7,(+)-JQ1,76,404,194,206,0.08741095630104305,0.4011110811524069,0.0002544279616712962,0.8262625606359194,0.021612867907377598,0.002988547547938777,3.494156643919724e-05,0.002037044199019771,0.5946658022405867,0.5332310135711259
MCF7,2-Methoxyestradiol (2-MeOE2),198,282,194,206,0.08741095630104305,0.33779253125117326,0.0002544279616712962,0.3543488571759883,0.06124745986955676,6.816933751026598e-05,2.33351386251333e-05,0.00027686771155303224,0.1975710657604195,0.03510390810887252
MCF7,A-366,231,249,194,206,0.08741095630104305,0.24992460997693874,0.0002544279616712962,0.2656382480995302,0.06622450941443614,-3.310702594890759e-05,2.168536078562077e-05,0.0001524806254304709,-0.27733959680105663,-0.014288823321190147
MCF7,ABT-737,232,248,194,206,0.08741095630104305,0.30677547353420365,0.0002544279616712962,0.312401211487617,0.06108119590516802,6.762986199540488e-05,2.8432915550082482e-05,0.0002629029504310471,0.20460861812457254,0.03577709563678018
MCF7,AC480 (BMS-599626),261,219,194,206,0.08741095630104305,0.31081142527935846,0.0002544279616712962,0.3267187904444345,0.07375435489655705,7.217615501623037e-05,2.3745141893749734e-05,0.00024517451539094023,0.22743344113193822,0.03833116615502486
MCF7,AG-14361,236,244,194,206,0.08741095630104305,0.16392640371423545,0.0002544279616712962,0.22937408885711713,0.062077309523265255,-6.814838551704739e-05,3.343970640082342e-05,8.27662537845464e-05,-4.661992040834487,-0.029673431537337935
MCF7,AG-490 (Tyrphostin B42),230,250,194,206,0.08741095630104305,0.05686358072675186,0.0002544279616712962,0.1995828623990148,0.05682591854902013,3.0337970136381382e-05,2.6855270840001572e-05,1.9417550331494918e-05,0.6097407855670711,0.01886607125840625
MCF7,AICAR (Acadesine),258,222,194,206,0.08741095630104305,0.04194319058096758,0.0002544279616712962,0.21992415169276508,0.06137532375346396,-1.876930672080831e-05,3.130501036982799e-05,1.5933461894601497e-05,,-0.004805182068885026
MCF7,AMG-900,271,209,194,206,0.08741095630104305,0.26796606941604245,0.0002544279616712962,0.357812925526692,0.06721984203106322,0.0001473580266106521,3.339984198263651e-05,0.0002455201267198361,0.3750730992840288,0.07233785701454179
MCF7,AR-42,188,292,194,206,0.08741095630104305,0.5168155326090116,0.0002544279616712962,0.8648163398627189,0.0168954079472383,0.008758109575141896,2.874403407304489e-05,0.005554402694783736,0.611919795069451,0.7955914750460773
MCF7,AT9283,244,236,194,206,0.08741095630104305,0.3257821583193916,0.0002544279616712962,0.3311173939143607,0.0676177890169213,0.00013015039680245498,3.199211728809668e-05,0.0003029238633487862,0.3005267428200488,0.06596371248534365
MCF7,AZ 960,253,227,194,206,0.08741095630104305,0.21190889198194185,0.0002544279616712962,0.28183412621255977,0.06989702556390015,9.737285710125143e-06,2.9183543661046644e-05,0.00015418008289658225,0.059403623867877904,0.008364710468758137
