cell_line,drug,n_per_arm,A_sup,A_unsup,G
A-172,ML264,300,0.8633333333333333,0.5283333333333333,0.33499999999999996
A-172,Methylprednisolone succinate,300,0.725,0.5283333333333333,0.19666666666666666
A-172,Minodronic acid,300,0.7616666666666667,0.5183333333333333,0.2433333333333334
A-172,NG25,300,0.9666666666666667,0.7566666666666667,0.20999999999999996
A-172,NVP-BHG712,300,0.8133333333333334,0.5033333333333334,0.30999999999999994
A-172,OTS514,300,0.8133333333333334,0.6616666666666666,0.15166666666666673
A-172,Oleic acid,300,0.7316666666666667,0.5116666666666667,0.21999999999999997
A-172,Oxaliplatin,300,0.7416666666666667,0.5283333333333333,0.21333333333333337
A-172,PF-06260933,300,0.8966666666666666,0.5083333333333333,0.3883333333333333
A-172,PH-797804,300,0.995,0.9533333333333334,0.04166666666666663
A-172,Paclitaxel,300,0.865,0.5666666666666667,0.29833333333333334
A-172,Pemigatinib,300,0.7283333333333334,0.5166666666666667,0.21166666666666667
A-172,Pimitespib,300,0.7166666666666667,0.5116666666666667,0.20499999999999996
A-172,Pralsetinib,300,0.935,0.7150000000000001,0.21999999999999997
A-172,RMC-6236,300,0.9716666666666667,0.9183333333333333,0.053333333333333344
A-172,Ralimetinib dimesylate,300,0.8366666666666667,0.5483333333333333,0.28833333333333333
A-172,Regorafenib,300,0.8183333333333334,0.57,0.2483333333333334
A-172,SBI-0640756,300,0.77,0.6483333333333333,0.1216666666666667
A-172,Sapanisertib,300,0.9483333333333334,0.6166666666666667,0.33166666666666667
A-172,Sonidegib,300,0.8733333333333333,0.6516666666666666,0.22166666666666668
A-172,TAK-733,300,0.945,0.5183333333333333,0.42666666666666664
A-172,TAK-901,300,0.99,0.9833333333333333,0.00666666666666671
A-172,Temuterkib,300,0.795,0.5133333333333333,0.28166666666666673
A-172,Tomivosertib,300,0.7716666666666666,0.6583333333333333,0.11333333333333329
A-172,Torkinib,300,0.7316666666666667,0.5816666666666667,0.15000000000000002
A-172,Trametinib,300,0.9816666666666667,0.8683333333333333,0.1133333333333334
A-172,Tubulin inhibitor 6,300,0.7366666666666667,0.515,0.22166666666666668
A-172,Tucatinib,300,0.7283333333333334,0.5216666666666666,0.20666666666666678
A-172,ULK-101,300,0.785,0.54,0.245
A-172,Vemurafenib,300,0.775,0.5166666666666666,0.2583333333333334
A-172,Volasertib,300,0.7283333333333334,0.5466666666666666,0.18166666666666675
A-172,XRK3F2,300,0.8533333333333334,0.505,0.3483333333333334
A-172,c-Kit-IN-1,300,0.9416666666666667,0.6433333333333333,0.29833333333333334
A-172,olaparib,300,0.8783333333333333,0.5683333333333334,0.30999999999999994
A-172,palbociclib,300,0.8833333333333333,0.53,0.3533333333333333
A-172,venetoclax,300,0.95,0.8316666666666667,0.11833333333333329
A-172,vincristine,300,0.9283333333333333,0.52,0.4083333333333333
A-427,4EGI-1,300,0.76,0.6283333333333333,0.1316666666666667
A-427,9-ING-41,300,0.825,0.6,0.22499999999999998
A-427,APTO-253,300,0.6483333333333333,0.52,0.1283333333333333
A-427,AT7519,300,0.6616666666666666,0.5016666666666667,0.15999999999999992
A-427,AZD-7648,300,0.8783333333333333,0.525,0.3533333333333333
A-427,AZD-8055,300,0.8033333333333333,0.6316666666666666,0.17166666666666675
A-427,AZD1390,300,0.7883333333333333,0.5133333333333333,0.275
A-427,AZD2858,241,0.6410788381742739,0.5,0.1410788381742739
A-427,Abemaciclib,300,0.88,0.61,0.27
