cell_line,drug,n_treated_G1,n_treated_G2M,n_vehicle_G1,n_vehicle_G2M,induced_cosine,D,norm_r_G1,norm_r_G2M
RKO,Volasertib,359,209,585,527,0.5972338512886657,0.4027661487113343,1.0386993885040283,1.0452091693878174
RKO,XRK3F2,1211,430,585,527,0.825651826931491,0.17434817306850903,1.4105907678604126,1.4640710353851318
RKO,c-Kit-IN-1,282,197,585,527,0.9220242832888867,0.07797571671111325,2.3569929599761963,2.3353230953216553
RKO,olaparib,510,290,585,527,0.48513686731729133,0.5148631326827087,1.0148346424102783,0.9458736777305603
RKO,palbociclib,561,188,585,527,0.7766463151047254,0.22335368489527463,1.4717559814453125,1.315812349319458
RKO,venetoclax,58,146,585,527,0.9264153504682974,0.07358464953170263,3.518139362335205,3.238416910171509
RKO,vincristine,99,143,585,527,0.7450197775108162,0.25498022248918384,1.52522873878479,1.4848906993865967
RPMI-7951,4EGI-1,213,47,612,126,,,,
RPMI-7951,9-ING-41,1237,192,612,126,0.7188141710323618,0.2811858289676382,1.4451555013656616,1.5445088148117065
RPMI-7951,APTO-253,498,84,612,126,0.525566481201934,0.47443351879806595,1.1253752708435059,1.4285664558410645
RPMI-7951,AT7519,360,63,612,126,0.49982692312723315,0.5001730768727668,1.1037546396255493,1.5900753736495972
RPMI-7951,AZD-7648,257,59,612,126,0.5856400324078519,0.4143599675921481,1.645861029624939,1.8313654661178589
RPMI-7951,AZD-8055,649,104,612,126,0.7455297493312779,0.2544702506687221,2.066056489944458,2.0496511459350586
RPMI-7951,AZD1390,247,59,612,126,0.5710249564690897,0.4289750435309103,1.8429081439971924,2.237679958343506
RPMI-7951,AZD2858,156,40,612,126,,,,
RPMI-7951,Abemaciclib,424,82,612,126,0.8510952037179786,0.14890479628202136,2.6000430583953857,2.5590453147888184
RPMI-7951,Adagrasib,190,47,612,126,,,,
RPMI-7951,Afatinib,1078,135,612,126,0.8204293012641924,0.17957069873580755,2.1267237663269043,2.0105295181274414
RPMI-7951,Alpelisib,222,31,612,126,,,,
RPMI-7951,Anastrozole,440,108,612,126,0.5078814021965743,0.4921185978034257,1.0796167850494385,1.5126218795776367
RPMI-7951,BAY1125976,1294,142,612,126,0.81064358226431,0.18935641773569,2.307187557220459,1.9846471548080444
RPMI-7951,BI-3406,637,132,612,126,0.647605209492877,0.35239479050712297,1.3824793100357056,1.4327017068862915
RPMI-7951,BI-78D3,876,161,612,126,0.5954783969528802,0.4045216030471198,1.038308024406433,1.365403413772583
RPMI-7951,Belumosudil (mesylate),303,52,612,126,0.669602567520544,0.33039743247945597,1.8717334270477295,1.919417381286621
RPMI-7951,Belzutifan,138,32,612,126,,,,
RPMI-7951,Bentamapimod,730,144,612,126,0.6064643498052151,0.39353565019478487,1.3899949789047241,1.4423679113388062
RPMI-7951,Bimiralisib,903,134,612,126,0.8602174916451442,0.13978250835485584,2.6412124633789062,2.5806779861450195
RPMI-7951,Binimetinib,229,37,612,126,,,,
RPMI-7951,Brivudine,664,148,612,126,0.8628277475017251,0.13717225249827492,2.6045162677764893,2.3512794971466064
RPMI-7951,CP21R7,219,73,612,126,0.4038243482518108,0.5961756517481892,1.148242712020874,1.5352224111557007
RPMI-7951,Capivasertib,238,51,612,126,0.4069340133421646,0.5930659866578354,1.1875101327896118,1.6711859703063965
RPMI-7951,Capmatinib,227,40,612,126,,,,
