file,row,column,arm_v,arm_u,delta,rel,max_abs_cell_delta,sign_flips,n,keyed
upgrade/class_c_protein_oracle.csv,Control | SDC3,energy_rho_partial_magmatch,-0.0983132093104095,0.330813999619644,0.42912720893005346,4.364898795798105,0.42912720893005346,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | TYR,energy_rho_partial_magmatch,0.0247200239106987,0.1321258430470547,0.10740581913635598,4.344891393485719,0.10740581913635598,0,1,True
upgrade/class_c_protein_oracle.csv,Control | TMEM173,energy_rho,0.0941129203909858,0.5014250755359304,0.4073121551449446,4.327908999665441,0.4073121551449446,0,1,True
upgrade/oracle_shape_test.csv,Control | IRF3,energy_vs_oracleMEAN,-0.0960247760370683,0.3190652559485116,0.4150900319855799,4.322738871323619,0.4150900319855799,1,1,True
upgrade/class_c_protein_oracle.csv,Control | LGALS3BP,energy_rho,-0.0180920990487321,0.0598972723617468,0.0779893714104789,4.31068673681313,0.0779893714104789,1,1,True
upgrade/class_c_protein_oracle.csv,Control | SERPINF1,energy_rho,-0.1179267694824727,0.3900525571384131,0.5079793266208857,4.307582823223068,0.5079793266208857,1,1,True
upgrade/oracle_shape_test.csv,Control | SLC25A13,energy_vs_oracleMEAN,0.0900209447690344,0.4757132619557099,0.3856923171866755,4.284473109855061,0.3856923171866755,0,1,True
upgrade/oracle_shape_test.csv,IFNγ | TXNDC17,magmatch_vs_oracleDIST,-0.0425095837719127,0.1396202877080815,0.18212987147999418,4.2844425966911635,0.18212987147999418,1,1,True
upgrade/oracle_shape_test.csv,Control | VAT1,magmatch_vs_oracleDIST,-0.0537460657713607,0.1763113780600081,0.2300574438313688,4.2804517973473315,0.2300574438313688,1,1,True
upgrade/class_c_protein_oracle.csv,Control | GPATCH4,energy_rho,-0.0473064623995425,0.1550920962439595,0.202398558643502,4.278454747558114,0.202398558643502,1,1,True
upgrade/oracle_shape_test.csv,Co-culture | ST6GALNAC2,energy_vs_oracleMEAN,-0.0078990240746778,0.0258839493510201,0.0337829734256979,4.276854090620796,0.0337829734256979,1,1,True
upgrade/class_c_protein_oracle.csv,Control | TYR,energy_rho,-0.1132402930504425,0.3669566356378456,0.4801969286882881,4.240512945991636,0.4801969286882881,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | SEC11C,energy_rho_partial_magmatch,0.0426717606850934,0.2232172884747833,0.1805455277896899,4.231030660348641,0.1805455277896899,0,1,True
upgrade/oracle_shape_test.csv,Control | SET,energy_vs_oracleMEAN,-0.1165564431928241,0.3726644945232514,0.4892209377160755,4.197287805932249,0.4892209377160755,1,1,True
upgrade/class_c_protein_oracle.csv,Control | P2RX4,energy_rho,-0.1149002573070543,0.3666135490532054,0.48151380636025976,4.1907112973079235,0.48151380636025976,1,1,True
upgrade/oracle_shape_test.csv,IFNγ | PFN1,magmatch_vs_oracleDIST,0.0404501448936363,0.2098543266669265,0.1694041817732902,4.187974659144947,0.1694041817732902,0,1,True
upgrade/oracle_shape_test.csv,Co-culture | PTMA,energy_vs_oracleMEAN,-0.0278252600310957,0.0883209231184436,0.1161461831495393,4.174127502123677,0.1161461831495393,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | NDUFA13,energy_rho_partial_magmatch,0.003835587956285,-0.012141956778813,-0.015977544735098,-4.165605095541395,0.015977544735098,1,1,True
upgrade/class_c_protein_oracle.csv,Control | CD58,energy_rho,-0.0400847362634179,0.1258468669896607,0.1659316032530786,4.139520893006622,0.1659316032530786,1,1,True
upgrade/class_c_protein_oracle.csv,Control | MC1R,energy_rho,0.0714401764247291,0.3657563731670178,0.2943161967422887,4.119757417626013,0.2943161967422887,0,1,True
upgrade/class_c_protein_oracle.csv,Control | SET,energy_rho,-0.1181660291715418,0.3675347263766809,0.4857007555482227,4.110324760453194,0.4857007555482227,1,1,True
upgrade/oracle_shape_test.csv,IFNγ | RTP4,energy_vs_oracleMEAN,0.0239756734630228,0.1221951378621116,0.0982194643990888,4.0966300508959925,0.0982194643990888,0,1,True
upgrade/oracle_shape_test.csv,Control | SERPINF1,energy_vs_oracleMEAN,-0.1236295923357044,0.3826003503809227,0.5062299427166271,4.0947311493352485,0.5062299427166271,1,1,True
