file,column,arm_v,arm_u,delta,rel,sign_flips,n,category
exp03_crossline_semireal/crossline_divergence.csv,rel_a,0.4058263323544206,0.4058263323544206,0.0,0.0,0,564,unchanged
exp03_crossline_semireal/crossline_divergence.csv,rel_b,0.4599720366867863,0.4599720366867863,0.0,0.0,0,564,unchanged
exp03_crossline_semireal/crossline_divergence.csv,reliable,0.2907801418439716,0.2907801418439716,0.0,0.0,0,564,unchanged
exp03_crossline_semireal/crossline_divergence.csv,clears_gate,0.2907801418439716,0.2907801418439716,0.0,0.0,0,564,unchanged
exp03_crossline_semireal/crossline_retrieval.csv,alpha,0.7,0.7,0.0,0.0,0,15,unchanged
exp03_crossline_semireal/crossline_retrieval.csv,mean_cosine_hit@1,0.4448888888888889,0.4448888888888889,0.0,0.0,0,15,unchanged
exp03_crossline_semireal/crossline_retrieval.csv,global_energy_hit@1,0.9235555555555556,0.9204444444444444,-0.003111111111111,-0.003368623676612,0,15,B
exp03_crossline_semireal/crossline_retrieval.csv,coverage_mean_hit@1,0.856,0.8502222222222222,-0.0057777777777777,-0.0067497403946001,0,15,B
exp03_crossline_semireal/crossline_retrieval.csv,coverage_worst_hit@1,0.6635555555555556,0.8693333333333333,0.2057777777777777,0.3101138647019423,0,15,A
exp03_crossline_semireal/per_query_scores.csv,alpha,0.7,0.7,0.0,0.0,0,96750,unchanged
exp03_crossline_semireal/per_query_scores.csv,seed,1004.5,1004.5,0.0,0.0,0,96750,unchanged
exp03_crossline_semireal/per_query_scores.csv,mean_cosine,0.118855964651159,0.118855964651159,0.0,0.0,0,96750,unchanged
exp03_crossline_semireal/per_query_scores.csv,global_energy,-0.5630172184788903,-0.3262750979677343,0.2367421205111559,0.4204882421727078,3558,96750,A
exp03_crossline_semireal/per_query_scores.csv,coverage_mean,-23256.68523980988,-23256.13738653247,0.5478532774068299,2.355680836532268e-05,1960,96750,A
exp03_crossline_semireal/per_query_scores.csv,coverage_worst,-46512.76797390202,-46512.08613738736,0.6818365146609722,1.4659125748945876e-05,757,96750,A
exp04_cd34_negative/cd34_gate_position.csv,majority_lineage_mean_agreement,0.695149791616651,0.695149791616651,0.0,0.0,0,1,unchanged
exp04_cd34_negative/cd34_gate_position.csv,raw_response_cos_noise_floor,0.185737494379282,0.185737494379282,0.0,0.0,0,1,unchanged
exp04_cd34_negative/cd34_gate_position.csv,gate,0.9,0.9,0.0,0.0,0,1,unchanged
exp04_cd34_negative/cd34_gate_position.csv,robust_lineage_divergence,0.0,0.0,0.0,,0,1,unchanged
exp04_cd34_negative/cd34_lineage_mean_agreement.csv,frac,0.2499999999999999,0.2499999999999999,0.0,0.0,0,4,unchanged
exp04_cd34_negative/cd34_lineage_mean_agreement.csv,n_drugs,36.0,36.0,0.0,0.0,0,4,unchanged
exp04_cd34_negative/cd34_lineage_mean_agreement.csv,agree_with_mean,0.5894026775913604,0.5894026775913604,0.0,0.0,0,4,unchanged
exp04_cd34_negative/cd34_lineage_mean_agreement.csv,is_minority,0.25,0.25,0.0,0.0,0,4,unchanged
exp04_cd34_negative/cd34_lineage_response_cosine.csv,n_pairs,6.0,6.0,0.0,0.0,0,36,unchanged
exp04_cd34_negative/cd34_lineage_response_cosine.csv,median_lineage_cos,0.2077372655169003,0.2077372655169003,0.0,0.0,0,36,unchanged
exp04_cd34_negative/cd34_noise_controls.csv,K,2.6666666666666665,2.6666666666666665,0.0,0.0,0,9,unchanged
exp04_cd34_negative/cd34_noise_controls.csv,agreement,0.1901260903789012,0.1901260903789012,0.0,0.0,0,9,unchanged
exp04_cd34_negative/cd34_noise_controls.csv,std,0.0542347454127842,0.0542347454127842,0.0,0.0,0,9,unchanged
exp04_cd34_negative/cd34_retrieval.csv,seed,3.5,3.5,0.0,0.0,0,1152,unchanged
exp04_cd34_negative/cd34_retrieval.csv,hit@1,0.3532986111111111,0.4244791666666667,0.0711805555555555,0.2014742014742015,146,1152,A
exp04_cd34_negative/cd34_retrieval.csv,hit@3,0.5112847222222222,0.578125,0.0668402777777777,0.1307300509337861,181,1152,A
exp04_cd34_negative/cd34_retrieval.csv,mrr,0.4728378539334512,0.5428097401953378,0.0699718862618865,0.1479828352992538,0,1152,A
exp04_cd34_negative/cd34_retrieval.csv,rank,7.013020833333333,5.654513888888889,-1.3585069444444438,-0.1937120930808267,0,1152,A
exp05_frangieh_natural/frangieh_bootstrap_ci.csv,cross_cos,0.6255118802189827,0.6255118802189827,0.0,0.0,0,10,unchanged
exp05_frangieh_natural/frangieh_bootstrap_ci.csv,eff_min,1.903686916828156,1.903686916828156,0.0,0.0,0,10,unchanged
exp05_frangieh_natural/frangieh_bootstrap_ci.csv,mean_cosine,0.655,0.655,0.0,0.0,0,10,unchanged
exp05_frangieh_natural/frangieh_bootstrap_ci.csv,global_energy,0.615,0.62,0.005,0.008130081300813,0,10,B
exp05_frangieh_natural/frangieh_bootstrap_ci.csv,advantage,-0.0399999999999999,-0.0349999999999999,0.005,0.1250000000000001,0,10,A
exp05_frangieh_natural/frangieh_divergence.csv,n_a,217.3427299703264,217.3427299703264,0.0,0.0,0,674,unchanged
exp05_frangieh_natural/frangieh_divergence.csv,n_b,254.419881305638,254.419881305638,0.0,0.0,0,674,unchanged
exp05_frangieh_natural/frangieh_divergence.csv,eff_a,1.106583156907594,1.106583156907594,0.0,0.0,0,674,unchanged
exp05_frangieh_natural/frangieh_divergence.csv,eff_b,1.0519070627958202,1.0519070627958202,0.0,0.0,0,674,unchanged
