cell_line,drug,n_treated_G1,n_treated_G2M,n_vehicle_G1,n_vehicle_G2M,S_int,S_int_se,S_main,interaction_share,R_int,R_int_se,half_norm_mean,n_repeats,D_old,induced_cosine,norm_r_G1,norm_r_G2M,z_perm,p_perm,null_sd
C32,Pimitespib,150,71,400,395,0.0001410606275183252,3.8089392514608063e-05,0.00046216714609828254,0.23384305843977737,0.08335538232260994,0.02259293568994778,2.0241983234882355,10.0,0.5221380036877714,0.4778619963122286,1.3198862075805664,1.558097243309021,,,
C32,Pralsetinib,116,99,400,395,0.0004050307415632738,3.261869369993539e-05,0.0036365435355239437,0.10021608259422649,0.22207484957716864,0.020734333110287932,2.0661727249622346,10.0,0.13733469872207127,0.8626653012779287,3.03700852394104,3.103020429611206,,,
C32,RMC-6236,1833,412,400,395,0.0012461588200595643,4.706160197314645e-06,0.0032922333520319725,0.2745815638680839,0.6840341621845838,0.005279519036055082,2.0501402735710146,10.0,0.15623604784566714,0.8437639521543329,3.3979427814483643,2.39957594871521,,,
C32,Ralimetinib dimesylate,699,281,400,395,0.00015020681829709144,1.4560231073309824e-05,0.0008814314432028266,0.14560027860802968,0.18845973639630395,0.020350936652860464,1.368021935224533,10.0,0.22134534457881272,0.7786546554211873,1.631676435470581,1.5271086692810059,3.691013622569741,0.047619047619047616,3.7523633117144126e-05
C32,Regorafenib,501,240,400,395,0.00022485971890596882,9.58554095417248e-06,0.0008787993186463912,0.2037402053125497,0.23591868299697688,0.01288009133605114,1.4873035669326782,10.0,0.26053159287327177,0.7394684071267282,1.6748096942901611,1.5365489721298218,,,
C32,SBI-0640756,252,128,400,395,0.00012820263218600304,1.5942277034416658e-05,0.000508682331484225,0.2012963713999455,0.11188231534677813,0.015523851445462556,1.6387438476085663,10.0,0.402319330427252,0.597680669572748,1.3800252676010132,1.332106113433838,,,
C32,Sapanisertib,1810,671,400,395,0.0008178274612873793,1.4799560565039835e-05,0.0019273587812980019,0.2979132885778853,0.5843329568332568,0.015743276218787475,1.8023443341255188,10.0,0.2352753419501764,0.7647246580498236,2.4739880561828613,2.093294620513916,,,
C32,Sonidegib,151,96,400,395,-3.380235284566893e-07,2.441982262693421e-05,0.00048026096386214097,-0.0007043287579078131,0.0024723207992747146,0.01651044562142069,1.8306467294692994,10.0,0.43836807112692255,0.5616319288730774,1.4339385032653809,1.3251434564590454,,,
C32,TAK-733,401,173,400,395,0.0003776720595649547,7.487200654399735e-06,0.0033358317903346485,0.10170234765615371,0.33889355079457717,0.00871883331863145,1.6044008553028106,10.0,0.09957241694062413,0.9004275830593759,3.015103816986084,2.7539825439453125,,,
C32,TAK-901,838,331,400,395,0.0012216859911051063,9.457981030211507e-06,0.01838493330611123,0.062309874669650774,0.6860708081285807,0.008821139731964816,2.0275893449783324,10.0,0.03657340521451269,0.9634265947854873,6.853834629058838,6.306995391845703,,,
C32,Temuterkib,835,376,400,395,0.0002704741575548218,1.0034919185684418e-05,0.0008418308260540169,0.2431654640953571,0.31059720341586694,0.014233099490549553,1.4213446795940399,10.0,0.2672116271314535,0.7327883728685465,1.6266753673553467,1.502458095550537,,,
