cell_line,drug_G1,drug_G2M,S_int,S_int_se,S_main,interaction_share,R_int,R_int_se,half_norm_mean,n_repeats,D_old
A498,TAK-901,AZD2858,0.007594717625114654,1.6615502790946768e-05,0.0018915263315041858,0.8006032376824538,0.9019641563394879,0.0026420036020712214,4.4058449268341064,10,1.0001344588353243
A498,AZD-8055,BAY1125976,0.0019823203484217325,6.15975244778332e-06,0.0010410327878263262,0.6556694699851588,0.8363398158789261,0.0036964058899342763,2.3390210628509522,10,0.6638035285520628
A549,Methylprednisolone succinate,Vemurafenib,0.0005602277401420806,3.0821162162763954e-06,0.0002353159891855385,0.7042073483698704,0.5519763903635624,0.00519538034928394,1.529916799068451,10,0.7812049142246663
A549,Tomivosertib,Ixazomib,0.002000482463174396,1.1124560367772348e-05,0.0004152674046862457,0.8280999990061051,0.7639854038886169,0.005958741583679595,2.4584925889968874,10,1.0934657684840843
A549,Abemaciclib,AZD1390,0.0016054928613205752,8.922640248481785e-06,0.0008552993182092905,0.6524292765053019,0.7627836876763182,0.007266227336518158,2.2029750466346742,10,0.6392297888288285
A549,Tubulin inhibitor 6,ERK5-IN-2,0.0008822279671827953,6.929437884918486e-06,0.0003207411099639204,0.7333754324552747,0.6539752824258898,0.008577143985792847,1.764557909965515,10,0.8283660578537526
AN3 CA,AZD-8055,Encorafenib,0.0006390197616484431,2.507865938317177e-05,0.0007906357085125314,0.4469746557724789,0.314996250320376,0.01612367887770043,2.172148334980011,10,0.5045830737074954
AN3 CA,LY2090314,Encorafenib,0.0015451575215491985,3.637282681627356e-05,0.0011644731172257,0.5702465492668802,0.5346556701350133,0.01570459613753975,2.604872941970825,10,0.5369550716836557
AN3 CA,Erdafitinib ,Tomivosertib,0.0004334795935493377,3.7814960818765635e-05,0.00013482252316963342,0.7627625884133316,0.222573993569112,0.02190725738884631,2.1390302658081053,10,0.956254664122926
AN3 CA,Minodronic acid,Tucatinib,0.0006097893592798047,2.0103972136091282e-05,0.000254877128948768,0.7052307075402792,0.28247127656622106,0.010657197932443567,2.238753318786621,10,0.8612137154466518
AsPC-1,Tubulin inhibitor 6,Infigratinib,0.001713670686715179,9.192876041385168e-06,0.0006265047523710463,0.7322829981432164,0.6309651054512547,0.005329713471264572,2.505606782436371,10,0.7961955096768004
AsPC-1,Tucatinib,Methylprednisolone succinate,0.0001418809160693652,2.071498092481662e-05,0.00018144578724685643,0.4388159549277998,0.11230439204350395,0.017837157011120916,1.725063109397888,10,0.6952030008046028
AsPC-1,RMC-6236,Temuterkib,0.004508822618259325,1.4090909921774784e-05,0.0011843801269100771,0.7919659320204245,0.8165957425412893,0.004752781358055707,3.5693806648254394,10,0.9678340866342815
AsPC-1,Ixazomib,LB-100,0.0009011289104819298,1.8372057595355087e-05,0.0004192326140279571,0.6824864961256921,0.42758284990782824,0.011472720636348795,2.207518517971039,10,0.7836749048787337
BT-474,Oxaliplatin,HI-TOPK-032,0.0007913805130455229,6.067784426419942e-06,0.00023297202359471057,0.7725665576434908,0.6344899473925125,0.007814056351964123,1.6969800293445587,10,0.9285565469655938
BT-474,APTO-253,Afatinib,0.0012252496348487004,5.832834159475605e-06,0.00042821318687250216,0.7410203717633362,0.7344521559079631,0.005131453646110989,1.9615203738212585,10,0.8236376548646369
BT-474,Encorafenib,Hydroxyfasudil,0.0013115070760250092,8.182525543346365e-06,0.0003350389862640036,0.7965201254083135,0.6606759834011321,0.006499639667195672,2.1397197246551514,10,0.9827640389213059
BT-474,HI-TOPK-032,LY2090314,0.0009633446319235696,7.985054539921003e-06,0.00032721788415478333,0.7464532867814074,0.6942100777006094,0.00962688883053544,1.7894011557102203,10,0.8409937734776955
C-33 A,AT7519,c-Kit-IN-1,0.0007927863910380337,1.4992084398514215e-05,0.0002723904041987326,0.7442768135610897,0.4919147903648179,0.0143431308565318,1.9343096911907196,10,0.856301809022566
C-33 A,Sonidegib,9-ING-41,0.0006972040955184236,3.9293599997738306e-05,0.0001350447561384903,0.8377351246930154,0.34844527613779475,0.02172203568962474,2.165489560365677,10,1.0449661148826688
C-33 A,Bortezomib,GSK1059615,0.0015577526866561837,2.0115181202829752e-05,0.0013198365974757408,0.5413394799758949,0.5519962649381356,0.010913052035610356,2.5532278299331663,10,0.5097239850542502
C-33 A,Tomivosertib,Ipatasertib,0.0003243872274955114,1.4302530045057826e-05,0.00016754171293642783,0.6594188729995891,0.31361454689114154,0.01755987448167728,1.5498754382133484,10,0.7951602685623187
C32,Brivudine,Sonidegib,0.0038873749888605536,2.4250704544905076e-05,0.0013679208647873668,0.7397062120036808,0.7811208818817942,0.008939122909600227,3.387570691108704,10,0.78627260005944
C32,LJI308,Hydroxyfasudil,0.000618747068155143,1.398537108864502e-05,0.0004391357380275925,0.5848918845631209,0.37319527453901197,0.01116358338436513,1.9586998760700225,10,0.6558265373608467
C32,PF-06260933,DTP3,0.004232919050587548,2.397327285452754e-05,0.0012666128886242708,0.7696871474473519,0.7979978372453862,0.006923770075679871,3.497853136062622,10,0.9152909509923177
C32,MK-3903,Infigratinib,0.004107763535446591,8.232749719966596e-06,0.0010486540488070912,0.7966312790474147,0.8585799672701014,0.0039896889807553,3.3211220264434815,10,0.987664021077322
CFPAC-1,palbociclib,Pimitespib,0.0030236486552490125,1.3630600976424424e-05,0.00106217743208011,0.740033616366073,0.7782632095385822,0.004652351917373208,2.9952594518661497,10,0.7820626188264199
CFPAC-1,Torkinib,PF-06260933,0.004473794541425175,2.255615630504245e-05,0.0006128884489751525,0.8795111765109392,0.7593858977364175,0.006113072634207963,3.6856635928153993,10,1.2850532818758422
CFPAC-1,AZD2858,LY-2584702 (tosylate salt),0.0003226046890227331,2.4223800101200125e-05,0.000404832887256311,0.4434809247453316,0.19411900992484454,0.016553358073303756,1.968651646375656,10,0.5771229982598916
CFPAC-1,Irinotecan,palbociclib,0.0010244901602466901,1.1957188873644425e-05,0.0009922285978164937,0.5079985278812945,0.5584486384445455,0.009046182214815094,2.058571583032608,10,0.4553750031649926
COLO 205,Temuterkib,XRK3F2,0.0006077211815863848,1.5798001181557395e-05,0.000813361888544427,0.4276464862328165,0.29806733283881787,0.009782760690704505,2.170381987094879,10,0.4725799499129588
COLO 205,9-ING-41,Abemaciclib,0.0022269347682595253,2.808477081834639e-05,0.0005530872485703892,0.8010493279470212,0.5738459351176045,0.009115090223519362,2.9963844537734987,10,0.9957619727864364
COLO 205,Erdafitinib ,TAK-901,0.010632665124204422,1.043463237171862e-05,0.002027863843573464,0.8398278738009645,0.89542835323475,0.0020848820529653107,5.232270812988281,10,1.2713461012438874
COLO 205,Brivudine,NVP-BHG712,0.002681810864143901,2.171318836432897e-05,0.0011581157023708027,0.698401601616574,0.6223891959087606,0.007296985543110952,3.1549944281578064,10,0.7405035422320014
H4,Oleic acid,APTO-253,0.00017377414106805293,1.9278694941760036e-05,0.00025815881478289765,0.40231739373926845,0.08517714937628376,0.01023886890843525,2.1809412837028503,10,0.699183105969682
