cell_line,drug,RR_ref_oracle_vs_cos,RR_pop_oracle_vs_cos,G_oracle_vs_cos
A498,Hydroxyfasudil,0.9,1.0,0.1
A498,IQ 1,1.0,1.0,0.0
A498,Infigratinib,1.0,1.0,0.0
A498,Ipatasertib,1.0,1.0,0.0
A498,Irinotecan,1.0,1.0,0.0
A498,Ixazomib,1.0,1.0,0.0
A498,LB-100,0.8285714285714285,1.0,0.1714285714285714
A498,LJI308,1.0,1.0,0.0
A498,LY-2584702 (tosylate salt),1.0,1.0,0.0
A498,LY2090314,1.0,0.8666666666666666,-0.1333333333333333
A498,Lapatinib ditosylate,0.9,1.0,0.1
A498,Lonafarnib,1.0,1.0,0.0
A498,MK-3903,1.0,1.0,0.0
A498,MK-8353,1.0,1.0,0.0
A498,ML264,1.0,1.0,0.0
A498,Methylprednisolone succinate,0.9,1.0,0.1
A498,Minodronic acid,1.0,1.0,0.0
A498,NG25,1.0,1.0,0.0
A498,NVP-BHG712,1.0,1.0,0.0
A498,OTS514,1.0,1.0,0.0
A498,Oleic acid,1.0,1.0,0.0
A498,Oxaliplatin,1.0,1.0,0.0
A498,PF-06260933,1.0,1.0,0.0
A498,PH-797804,1.0,1.0,0.0
A498,Paclitaxel,1.0,1.0,0.0
A498,Pemigatinib,1.0,1.0,0.0
A498,Pimitespib,1.0,1.0,0.0
A498,Pralsetinib,1.0,1.0,0.0
A498,RMC-6236,1.0,1.0,0.0
A498,Ralimetinib dimesylate,1.0,1.0,0.0
A498,Regorafenib,1.0,1.0,0.0
A498,SBI-0640756,1.0,1.0,0.0
A498,Sapanisertib,1.0,1.0,0.0
A498,Sonidegib,1.0,1.0,0.0
A498,TAK-733,1.0,1.0,0.0
A498,TAK-901,1.0,1.0,0.0
A498,Temuterkib,0.9,1.0,0.1
A498,Tomivosertib,1.0,1.0,0.0
A498,Torkinib,1.0,1.0,0.0
A498,Trametinib,1.0,1.0,0.0
A498,Tubulin inhibitor 6,1.0,1.0,0.0
A498,Tucatinib,1.0,1.0,0.0
A498,ULK-101,1.0,1.0,0.0
A498,Vemurafenib,1.0,1.0,0.0
A498,Volasertib,1.0,1.0,0.0
A498,XRK3F2,1.0,1.0,0.0
A498,c-Kit-IN-1,1.0,1.0,0.0
A498,olaparib,1.0,1.0,0.0
A498,palbociclib,1.0,1.0,0.0
A498,venetoclax,1.0,1.0,0.0
A498,vincristine,1.0,1.0,0.0
A549,4EGI-1,1.0,1.0,0.0
A549,9-ING-41,0.9,1.0,0.1
A549,APTO-253,1.0,1.0,0.0
A549,AT7519,0.8,1.0,0.2
A549,AZD-7648,1.0,1.0,0.0
A549,AZD-8055,1.0,1.0,0.0
A549,AZD1390,1.0,1.0,0.0
A549,AZD2858,0.9,0.85,-0.05
A549,Abemaciclib,1.0,1.0,0.0
A549,Adagrasib,0.7666666666666666,1.0,0.2333333333333333
A549,Afatinib,1.0,1.0,0.0
A549,Alpelisib,1.0,1.0,0.0
A549,Anastrozole,0.9,1.0,0.1
A549,BAY1125976,1.0,1.0,0.0
A549,BI-3406,1.0,1.0,0.0
A549,BI-78D3,0.9,1.0,0.1
A549,Belumosudil (mesylate),1.0,1.0,0.0
A549,Belzutifan,1.0,1.0,0.0
A549,Bentamapimod,1.0,1.0,0.0
A549,Bimiralisib,1.0,1.0,0.0
A549,Binimetinib,1.0,1.0,0.0
A549,Bortezomib,1.0,1.0,0.0
A549,Brivudine,1.0,1.0,0.0
A549,CP21R7,0.85,1.0,0.15
A549,Capivasertib,1.0,1.0,0.0
A549,Capmatinib,0.9,1.0,0.1
A549,Celecoxib,0.2833333333333333,0.4681818181818181,0.1848484848484848
A549,DT-061,0.9,1.0,0.1
A549,DTP3,1.0,1.0,0.0
A549,Dabrafenib,1.0,1.0,0.0
A549,ERK5-IN-2,1.0,1.0,0.0
A549,ETC-206,1.0,1.0,0.0
A549,EX229,1.0,1.0,0.0
A549,Elimusertib hydrochloride,1.0,1.0,0.0
A549,Encorafenib,1.0,1.0,0.0
A549,Erdafitinib ,1.0,1.0,0.0
A549,Everolimus,0.9,0.9,0.0
A549,Futibatinib,1.0,1.0,0.0
A549,GSK1059615,1.0,1.0,0.0
A549,Gemcitabine,1.0,1.0,0.0
A549,HI-TOPK-032,1.0,1.0,0.0
A549,Hydroxyfasudil,0.9,1.0,0.1
A549,IQ 1,1.0,1.0,0.0
A549,Infigratinib,1.0,1.0,0.0
A549,Ipatasertib,1.0,1.0,0.0
A549,Irinotecan,1.0,1.0,0.0
A549,Ixazomib,1.0,1.0,0.0
A549,LB-100,0.9,1.0,0.1
A549,LJI308,1.0,1.0,0.0
A549,LY-2584702 (tosylate salt),1.0,1.0,0.0
A549,LY2090314,1.0,1.0,0.0
A549,Lapatinib ditosylate,0.64,1.0,0.36
A549,Lonafarnib,1.0,1.0,0.0
A549,MK-3903,1.0,1.0,0.0
A549,MK-8353,0.6,0.85,0.25
A549,ML264,1.0,1.0,0.0
A549,Methylprednisolone succinate,1.0,1.0,0.0
A549,Minodronic acid,0.9,0.8,-0.1
A549,NG25,1.0,1.0,0.0
A549,NVP-BHG712,1.0,1.0,0.0
A549,OTS514,1.0,1.0,0.0
A549,Oleic acid,0.6666666666666666,0.8,0.1333333333333333
A549,Oxaliplatin,1.0,1.0,0.0
A549,PF-06260933,1.0,1.0,0.0
A549,PH-797804,1.0,1.0,0.0
A549,Paclitaxel,1.0,1.0,0.0
A549,Pemigatinib,0.7285714285714285,0.9,0.1714285714285714
A549,Pimitespib,1.0,1.0,0.0
A549,Pralsetinib,1.0,1.0,0.0
A549,RMC-6236,1.0,1.0,0.0
A549,Ralimetinib dimesylate,1.0,1.0,0.0
A549,Regorafenib,1.0,1.0,0.0
A549,SBI-0640756,1.0,1.0,0.0
A549,Sapanisertib,1.0,1.0,0.0
A549,Sonidegib,1.0,1.0,0.0
A549,TAK-733,1.0,1.0,0.0
A549,TAK-901,1.0,1.0,0.0
A549,Temuterkib,1.0,1.0,0.0
A549,Tomivosertib,1.0,1.0,0.0
A549,Torkinib,1.0,1.0,0.0
A549,Trametinib,1.0,1.0,0.0
A549,Tubulin inhibitor 6,0.9,1.0,0.1
A549,Tucatinib,0.9,0.9,0.0
A549,ULK-101,1.0,1.0,0.0
A549,Vemurafenib,1.0,1.0,0.0
A549,Volasertib,0.72,1.0,0.2799999999999999
A549,XRK3F2,1.0,1.0,0.0
A549,c-Kit-IN-1,1.0,1.0,0.0
A549,olaparib,1.0,1.0,0.0
A549,palbociclib,1.0,1.0,0.0
A549,venetoclax,1.0,1.0,0.0
A549,vincristine,1.0,1.0,0.0
AN3 CA,4EGI-1,1.0,1.0,0.0
AN3 CA,9-ING-41,1.0,1.0,0.0
AN3 CA,APTO-253,0.8400000000000001,1.0,0.16
AN3 CA,AZD-7648,1.0,1.0,0.0
AN3 CA,AZD-8055,0.6666666666666666,1.0,0.3333333333333333
AN3 CA,AZD1390,0.8400000000000001,0.725,-0.1149999999999999
AN3 CA,AZD2858,0.3819047619047618,0.3771493212669683,-0.0047554406377935
AN3 CA,Abemaciclib,1.0,1.0,0.0
AN3 CA,Adagrasib,0.38,0.7666666666666667,0.3866666666666666
AN3 CA,Afatinib,1.0,1.0,0.0
AN3 CA,Alpelisib,0.8333333333333333,1.0,0.1666666666666666
AN3 CA,Anastrozole,0.6483333333333333,0.7333333333333333,0.0849999999999999
AN3 CA,BAY1125976,1.0,1.0,0.0
AN3 CA,BI-3406,0.6666666666666667,0.9,0.2333333333333333
AN3 CA,BI-78D3,0.1222222222222221,0.9,0.7777777777777778
AN3 CA,Belumosudil (mesylate),1.0,1.0,0.0
AN3 CA,Belzutifan,1.0,1.0,0.0
AN3 CA,Bentamapimod,1.0,0.9,-0.1
AN3 CA,Bimiralisib,1.0,1.0,0.0
AN3 CA,Binimetinib,0.6666666666666666,0.8666666666666666,0.2
AN3 CA,Brivudine,1.0,1.0,0.0
AN3 CA,CP21R7,0.54,0.8133333333333332,0.2733333333333333
AN3 CA,Capivasertib,0.149719887955182,0.2217532467532467,0.0720333587980646
AN3 CA,Capmatinib,0.5785714285714285,0.9,0.3214285714285714
AN3 CA,Celecoxib,0.6433333333333333,0.5333333333333333,-0.11
AN3 CA,DT-061,0.4867532467532467,0.5900000000000001,0.1032467532467532
AN3 CA,DTP3,0.3574603174603174,0.75,0.3925396825396826
AN3 CA,Dabrafenib,1.0,1.0,0.0
AN3 CA,ERK5-IN-2,1.0,1.0,0.0
AN3 CA,ETC-206,0.2046897546897546,0.7066666666666667,0.501976911976912
AN3 CA,EX229,1.0,1.0,0.0
AN3 CA,Elimusertib hydrochloride,1.0,1.0,0.0
AN3 CA,Encorafenib,0.9,1.0,0.1
AN3 CA,Erdafitinib ,0.6685714285714286,0.7666666666666666,0.0980952380952381
AN3 CA,Everolimus,0.74,0.9,0.16
AN3 CA,Futibatinib,1.0,0.9,-0.1
AN3 CA,Gemcitabine,0.9,0.7666666666666666,-0.1333333333333333
AN3 CA,HI-TOPK-032,1.0,1.0,0.0
AN3 CA,Hydroxyfasudil,0.7,1.0,0.3
AN3 CA,Infigratinib,1.0,0.9,-0.1
AN3 CA,Ipatasertib,1.0,1.0,0.0
AN3 CA,Irinotecan,1.0,1.0,0.0
AN3 CA,Ixazomib,1.0,1.0,0.0
AN3 CA,LB-100,0.5088888888888888,0.6666666666666666,0.1577777777777778
AN3 CA,LY2090314,1.0,1.0,0.0
AN3 CA,Lapatinib ditosylate,0.8,1.0,0.2
AN3 CA,MK-3903,0.75,0.8,0.05
AN3 CA,MK-8353,0.1871929824561403,0.6666666666666666,0.4794736842105263
AN3 CA,ML264,1.0,1.0,0.0
AN3 CA,Methylprednisolone succinate,0.5233333333333333,0.6888888888888889,0.1655555555555555
AN3 CA,Minodronic acid,0.8666666666666666,0.7666666666666666,-0.1
AN3 CA,NG25,1.0,1.0,0.0
AN3 CA,NVP-BHG712,0.1207936507936507,0.5666666666666667,0.4458730158730158
AN3 CA,Oleic acid,0.75,1.0,0.25
