dataset,sil_raw_k2
SciPlex3,0.0222351513803005
SciPlex3,0.026692247018218
SciPlex3,0.029248047620058
SciPlex3,0.0241518057882785
SciPlex3,0.0352973788976669
SciPlex3,0.0355083495378494
SciPlex3,0.0174480360001325
SciPlex3,0.0290755983442068
SciPlex3,0.0313003882765769
SciPlex3,0.0254849307239055
SciPlex3,0.022444013506174
SciPlex3,0.0191449094563722
SciPlex3,0.024749469012022
SciPlex3,0.0400891229510307
SciPlex3,0.0247091874480247
SciPlex3,0.0176516938954591
SciPlex3,0.0207329709082841
SciPlex3,0.0311007276177406
SciPlex3,0.0460034348070621
SciPlex3,0.033238623291254
SciPlex3,0.0317702107131481
SciPlex3,0.0334040187299251
SciPlex3,0.0197597183287143
SciPlex3,0.0239327903836965
SciPlex3,0.016450360417366
SciPlex3,0.0360224470496177
SciPlex3,0.0381383746862411
SciPlex3,0.0138104660436511
SciPlex3,0.0220273900777101
SciPlex3,0.0289382562041282
SciPlex3,0.0389871373772621
SciPlex3,0.0229171626269817
SciPlex3,0.0417083427309989
SciPlex3,0.0295071192085742
SciPlex3,0.0269981622695922
SciPlex3,0.0377602651715278
SciPlex3,0.0227101910859346
SciPlex3,0.0306200161576271
SciPlex3,0.0255627743899822
SciPlex3,0.0338982753455638
SciPlex3,0.0532367005944252
SciPlex3,0.0216477792710065
SciPlex3,0.0306371077895164
SciPlex3,0.0308722238987684
SciPlex3,0.0343680381774902
SciPlex3,0.0146623654291033
SciPlex3,0.0473871938884258
SciPlex3,0.0211360529065132
SciPlex3,0.0283604320138692
SciPlex3,0.050580658018589
SciPlex3,0.0232022888958454
SciPlex3,0.0424962043762207
SciPlex3,0.0264347754418849
SciPlex3,0.0230466444045305
SciPlex3,0.0156727340072393
SciPlex3,0.0253646168857812
SciPlex3,0.0298388227820396
SciPlex3,0.0246307030320167
SciPlex3,0.0282292496412992
SciPlex3,0.0231507420539855
SciPlex3,0.0194825921207666
SciPlex3,0.0200045388191938
SciPlex3,0.0352133437991142
SciPlex3,0.0172671992331743
SciPlex3,0.0213343705981969
SciPlex3,0.0193951185792684
SciPlex3,0.0225203149020671
SciPlex3,0.0203230548650026
SciPlex3,0.0314924009144306
SciPlex3,0.0231973323971033
SciPlex3,0.0143684269860386
SciPlex3,0.0571133866906166
SciPlex3,0.0245622489601373
SciPlex3,0.040310151875019
SciPlex3,0.0395628325641155
SciPlex3,0.027430348098278
SciPlex3,0.0292703080922365
SciPlex3,0.0337905958294868
SciPlex3,0.0353960283100605
SciPlex3,0.0254696030169725
SciPlex3,0.0380944088101387
SciPlex3,0.0271003525704145
SciPlex3,0.021438218653202
SciPlex3,0.0286163128912448
SciPlex3,0.0401455014944076
SciPlex3,0.0212197992950677
SciPlex3,0.0338321365416049
SciPlex3,0.021103011444211
SciPlex3,0.0276734922081232
SciPlex3,0.0227384213358163
SciPlex3,0.0207503922283649
SciPlex3,0.0318507216870784
SciPlex3,0.0116565180942416
SciPlex3,0.0276992619037628
SciPlex3,0.0230476688593626
SciPlex3,0.0314552597701549
SciPlex3,0.0208908598870039
SciPlex3,0.0315715335309505
SciPlex3,0.032562967389822
SciPlex3,0.0445145219564437
SciPlex3,0.0281288921833038
SciPlex3,0.0199993383139371
SciPlex3,0.0224569365382194
SciPlex3,0.0230330228805542
SciPlex3,0.0196199528872966
SciPlex3,0.0297444723546504
SciPlex3,0.0357440374791622
SciPlex3,0.0353289060294628
SciPlex3,0.0322370566427707
SciPlex3,0.0239236429333686
SciPlex3,0.0321311727166175
SciPlex3,0.0228172410279512
SciPlex3,0.0216931011527776
SciPlex3,0.0216778591275215
SciPlex3,0.0269123148173093
SciPlex3,0.025636401027441
SciPlex3,0.0330950021743774
SciPlex3,0.0248384661972522
SciPlex3,0.0290918704122304
SciPlex3,0.0418708398938179
SciPlex3,0.0437323004007339
SciPlex3,0.0260458942502737
SciPlex3,0.0393947027623653
SciPlex3,0.0361983701586723
SciPlex3,0.0256925541907548
SciPlex3,0.1014686822891235
SciPlex3,0.0277519803494215
SciPlex3,0.0274847224354743
SciPlex3,0.0303797088563442
SciPlex3,0.0347592830657959
SciPlex3,0.0386074893176555
SciPlex3,0.052374567836523
SciPlex3,0.0332514308393001
SciPlex3,0.0523498430848121
SciPlex3,0.0241078492254018
SciPlex3,0.0578137785196304
SciPlex3,0.0028306813910603
SciPlex3,0.0232776552438735
SciPlex3,0.0577172115445137
SciPlex3,0.0370943583548069
SciPlex3,0.0401453338563442
SciPlex3,0.050911545753479
SciPlex3,0.0454237088561058
SciPlex3,0.0446461774408817
SciPlex3,0.0365352891385555
SciPlex3,0.0322692319750785
SciPlex3,0.0519025102257728
SciPlex3,0.0362453572452068
SciPlex3,0.0297760739922523
SciPlex3,0.0430151931941509
SciPlex3,0.0416252873837947
SciPlex3,0.0403520353138446
SciPlex3,0.0449194349348545
SciPlex3,0.0350163541734218
SciPlex3,0.049768004566431
SciPlex3,0.0393467657268047
SciPlex3,0.0382297039031982
SciPlex3,0.0321484394371509
SciPlex3,0.0487038344144821
SciPlex3,0.0350523926317691
SciPlex3,0.0454174615442752
SciPlex3,0.0512966960668563
SciPlex3,0.0373786613345146
SciPlex3,0.0401523038744926
