cell_line,query_drug,n_cand,query_magnitude,query_auc,energy_rho,mean_cosine_ctrl_rho,mean_cosine_raw_rho,magnitude_only_rho,energydist_vs_candmag_rho
K562,AZ 960,33,2.433860543007289,0.881096,-0.6945187165775402,0.7286096256684492,-0.6570855614973262,0.7259358288770055,0.9575534759358288
K562,Alisertib (MLN8237),33,4.490972121448748,0.889695,0.34358288770053474,0.7683823529411765,0.48629679144385035,0.7212566844919787,-0.04010695187165776
K562,Avagacestat (BMS-708163),33,1.790152630021279,0.980039,-0.7098930481283423,-0.5123663101604279,-0.7449866310160428,0.7002005347593583,0.9649064171122995
K562,BMS-536924,33,2.5106885070407503,0.890638,-0.6627673796791445,0.6878342245989305,-0.6460561497326204,0.7212566844919787,0.9431818181818182
K562,BMS-754807,33,2.4530893634893696,0.933815,-0.6183155080213903,0.05147058823529412,-0.6440508021390375,0.7058823529411765,0.8626336898395722
K562,Bosutinib (SKI-606),33,4.369168171328044,0.612954,0.49298128342245995,0.7974598930481285,0.5056818181818182,0.7142379679144385,-0.09792780748663102
K562,Cediranib (AZD2171),33,3.5934448028466823,0.839265,-0.27540106951871657,0.7239304812834225,-0.2657085561497326,0.71524064171123,0.6169786096256685
K562,Crizotinib (PF-02341066),33,4.905031009850946,0.768596,0.43348930481283426,0.7302807486631017,0.5043449197860963,0.7078877005347595,-0.15006684491978609
K562,Dasatinib,33,4.609340048112013,0.204693,0.5070187165775402,0.7997994652406418,0.5882352941176471,0.7122326203208557,-0.19585561497326204
K562,Entinostat (MS-275),33,7.1461735418378565,0.905502,-0.5320855614973262,0.4545454545454546,-0.5210561497326203,0.741644385026738,0.41209893048128343
K562,"Fluorouracil (5-Fluoracil, 5-FU)",33,1.7699234387773415,0.967441,-0.7366310160427808,-0.3205213903743316,-0.7359625668449199,0.7065508021390374,0.9802807486631017
K562,Fulvestrant,33,1.964256555293525,0.9906,-0.6477272727272727,0.21223262032085563,-0.6470588235294118,0.7022058823529412,0.9274732620320856
K562,GSK-LSD1 2HCl,33,2.736214226146487,0.959105,-0.7459893048128343,-0.20153743315508021,-0.7185828877005348,0.7028743315508021,0.9625668449197861
K562,Lenalidomide (CC-5013),33,1.9971127706666725,0.984845,-0.7282754010695188,-0.4278074866310161,-0.7259358288770055,0.7022058823529412,0.9749331550802139
K562,"Luminespib (AUY-922, NVP-AUY922)",33,5.175200752231986,0.657193,0.4662433155080214,0.7697192513368984,0.5601604278074868,0.7078877005347595,-0.15140374331550802
K562,Navitoclax (ABT-263),33,2.8810810620843426,0.879968,-0.5939171122994653,0.6189839572192514,-0.5828877005347594,0.7199197860962567,0.886697860962567
K562,Nilotinib (AMN-107),33,5.288839706534085,0.411218,0.3933823529411765,0.7533422459893049,0.553475935828877,0.706216577540107,-0.16644385026737968
K562,Obatoclax Mesylate (GX15-070),33,4.25151022873376,0.836853,-0.3185160427807487,0.5207219251336899,-0.35093582887700536,0.7092245989304813,0.5598262032085563
K562,PCI-34051,33,1.8951662133861236,0.985863,-0.652072192513369,0.4217914438502674,-0.6641042780748664,0.7002005347593583,0.9816176470588236
K562,PD173074,33,1.9028871115252644,0.980083,-0.6731283422459894,0.241644385026738,-0.6403743315508021,0.7012032085561498,0.972927807486631
K562,PFI-1 (PF-6405761),33,5.511371016192673,0.951003,-0.37266042780748665,0.3415775401069519,-0.6975267379679144,0.7513368983957219,0.3699866310160428
K562,"Rucaparib (AG-014699,PF-01367338) phosphate",33,1.9651399677625916,0.965869,-0.7232620320855616,0.2556818181818182,-0.7399732620320856,0.6951871657754011,0.9752673796791445
K562,Ruxolitinib (INCB018424),33,1.8887145760751782,0.960993,-0.7172459893048129,-0.11229946524064173,-0.6941844919786097,0.7032085561497327,0.9725935828877007
K562,Sorafenib Tosylate,33,3.9268479106560825,0.811684,0.009692513368983958,0.8315508021390374,0.03442513368983957,0.7092245989304813,0.5076871657754011
K562,Tanespimycin (17-AAG),33,5.413060270758401,0.789399,0.4963235294117648,0.7637032085561497,0.5370989304812834,0.7092245989304813,-0.18181818181818182
K562,"Temsirolimus (CCI-779, NSC 683864)",33,2.2051131933030375,0.955521,-0.7165775401069518,0.017045454545454548,-0.7169117647058824,0.6928475935828877,0.9598930481283423
K562,Trametinib (GSK1120212),33,4.861413409320604,0.892222,0.5250668449197862,0.7897727272727273,0.5584893048128342,0.7286096256684492,-0.241644385026738
K562,UNC0379,33,3.8118266512966414,0.969889,-0.4872994652406417,0.47693850267379684,-0.7239304812834225,0.7372994652406417,0.6544117647058825
K562,Veliparib (ABT-888),33,1.8140531908845492,0.986578,-0.697192513368984,-0.4923128342245989,-0.6935160427807487,0.6955213903743316,0.9799465240641712
K562,XAV-939,33,1.8362427628748192,0.9691,-0.7132352941176471,-0.7476604278074866,-0.733957219251337,0.7042112299465241,0.9906417112299466
K562,ZM 447439,33,3.1965652357777037,0.941913,-0.6320187165775402,-0.26871657754010697,-0.6958556149732621,0.7085561497326204,0.8830213903743317
MCF7,(+)-JQ1,34,5.585752288575289,0.679716,0.10863254392666157,0.32742551566080974,0.13155080213903741,0.5501909854851031,0.033766233766233764
MCF7,A-366,34,1.2397156069228497,0.9825,-0.5440794499618029,0.1816653934300993,-0.5394957983193277,0.5648586707410237,0.9813598166539342
MCF7,ABT-737,34,1.2979756368035975,0.894256,-0.5663865546218487,0.039877769289533994,-0.5660809778456837,0.6149732620320855,0.9550802139037432
MCF7,AZ 960,34,1.6864377240405388,0.969584,-0.4618792971734148,-0.23697478991596635,-0.4823529411764706,0.5859434682964094,0.7155080213903742
