context,ko,n_cells,response_divergence,subpop_separation,minority_frac,seed,prog_IFN_response_minority_minus_majority,prog_antigen_presentation_minority_minus_majority,prog_antigen_presentation_loss_minority_minus_majority,prog_AXL_mesenchymal_minority_minus_majority,prog_quiescence_minority_minus_majority,proliferation_minority_minus_majority
Co-culture,EMP1,299,0.0705293257678101,1.8461410999298096,0.4548494983277591,0,0.0689299255609512,0.0527588278055191,-0.0014755531447008,-0.1107541769742965,0.9898252487182616,0.9563412070274352
Co-culture,ENPP1,278,0.0740008741042469,1.8845911622047424,0.4892086330935252,0,0.1991387605667114,0.182649940252304,0.1140991523861885,-0.1110888943076133,1.024028778076172,0.963006854057312
Co-culture,EVA1A,283,0.0678421125247253,1.8866724371910093,0.4134275618374558,0,0.1817915439605713,0.1477413773536682,0.1351566314697265,-0.050664909183979,0.9985560774803162,0.9413199424743652
Co-culture,FBL,95,0.0903295442790768,1.729760468006134,0.4736842105263157,0,0.080921784043312,-0.0065808892250061,-0.0308997519314289,-0.0633624345064163,0.9794069528579712,1.0263936519622805
Co-culture,FBXO32,390,0.065492099833438,1.8791441917419436,0.4794871794871795,0,0.1259113550186157,0.0035320562310516,-0.0490841455757617,-0.0764388144016265,0.90893816947937,0.9044021368026732
Co-culture,FGFR1,395,0.0735782187736841,1.8934508562088013,0.430379746835443,0,0.2767392992973327,0.2917974293231964,0.2516892850399017,-0.0839744284749031,1.0348550081253052,1.0211877822875977
Co-culture,FKBP4,216,0.079389791971386,1.834032952785492,0.4398148148148148,0,0.1779738962650299,0.1943798065185547,0.1423095464706421,-0.1790994703769683,0.9406114220619202,0.9438909888267516
Co-culture,FMN1,321,0.0714303421434267,1.9213749766349792,0.4610591900311526,0,0.0543738678097724,-0.1136591583490371,-0.1412025243043899,-0.0379296168684959,0.9673577547073364,0.9151723980903624
Co-culture,FOS,222,0.0653121950835225,1.8110222816467283,0.4954954954954955,0,-0.1917715668678283,-0.0438220426440238,-0.0325915999710559,0.154252678155899,-0.970432698726654,-0.9299718737602234
Co-culture,FOXM1,76,0.0741583816511144,1.576619565486908,0.2894736842105263,0,-0.1520599424839019,-0.0195084773004055,0.1060004234313964,0.48542320728302,-0.3732059895992279,-0.5265108346939087
Co-culture,FRZB,226,0.0715520869232407,1.8600313067436216,0.4557522123893805,0,-0.133318230509758,-0.1279198825359344,-0.1513310074806213,-0.0470839813351631,1.0037510395050049,0.9763855934143066
Co-culture,FSTL3,344,0.077965241248765,1.9143590927124023,0.4534883720930232,0,0.1706894189119339,0.0856642723083496,0.0225735940039157,-0.1129586026072502,1.0203789472579956,1.0285687446594238
Co-culture,GAA,330,0.0680790347461251,1.9088231325149536,0.4333333333333333,0,0.0812273696064949,0.0425082370638847,0.0080343233421444,-0.0079302471131086,1.0603166818618774,0.9853997230529784
Co-culture,GAS5,308,0.0658567476807073,1.8959264755249023,0.4253246753246753,0,0.2618176639080047,0.2631112933158874,0.1953710913658142,-0.1417734771966934,0.939338207244873,0.921306848526001
Co-culture,GPATCH4,219,0.0650068932058047,1.8099226355552676,0.4611872146118721,0,-0.0642372891306877,-0.0571865551173687,-0.0832103341817855,-0.0734626799821853,0.9017186164855956,0.911042332649231
Co-culture,GPNMB,287,0.0643830728638993,1.806507766246796,0.4006968641114982,0,0.195876196026802,0.2065490037202835,0.1486822366714477,-0.0071591329760849,1.0050230026245115,0.9375797510147096
Co-culture,GRN,273,0.0654352655796348,1.894243240356445,0.4981684981684982,0,-0.043008841574192,0.0044606700539588,0.0356387272477149,0.1174738034605979,-0.9660558700561525,-0.9257187843322754
Co-culture,GSEC,164,0.0779299226186493,1.8168128728866575,0.3963414634146341,0,0.1548695415258407,0.1076847165822982,0.098029650747776,-0.1085390597581863,1.0760860443115234,1.0581374168395996
Co-culture,GSN,317,0.0741760690153582,1.909339725971222,0.4258675078864353,0,0.0403573252260685,-0.0443400368094444,-0.0873053893446922,-0.1478265523910522,1.0235810279846191,1.019673228263855
Co-culture,HASPIN,162,0.0671604269347082,1.7827284932136536,0.4629629629629629,0,-0.0239475332200527,-0.1614177823066711,-0.2473346889019012,-0.104452759027481,0.9551910161972046,0.9534696340560912
Co-culture,HLA-A,335,0.0686072408176666,1.8861237168312075,0.4567164179104477,0,0.0484766736626625,-0.0741273611783981,-0.095280222594738,-0.1384283602237701,1.0028479099273682,0.9596959352493286
Co-culture,HLA-B,190,0.0777946164786002,1.577323138713837,0.3842105263157894,0,0.245097815990448,0.219288945198059,0.1980277895927429,-0.1145590543746948,0.9929187893867492,1.0211694240570068
Co-culture,HLA-C,216,0.0682196967159299,1.504724383354187,0.4398148148148148,0,0.1026534438133239,0.0257121250033378,-0.0172893591225147,-0.1236717104911804,0.9790766835212708,0.9708970785140992
Co-culture,HLA-DRB5,360,0.0685682368552418,1.912733852863312,0.4,0,0.3548285365104675,0.3490088582038879,0.3253189623355865,-0.1385383605957031,0.9712949991226196,0.9654253721237184
Co-culture,HLA-E,258,0.0785498757319614,1.7913561463356018,0.4844961240310077,0,-0.2066744863986969,0.0157082304358482,0.0749441236257553,0.0276783183217048,-1.0117839574813845,-0.9757111072540284
Co-culture,HLA-F,305,0.0701651892712189,1.8699337244033811,0.4622950819672131,0,0.0729516744613647,0.0138546926900744,-0.020837252959609,-0.0911061465740203,1.0304169654846191,0.9822906851768494
Co-culture,HLA-H,294,0.0731676659148589,1.8833197355270384,0.4081632653061224,0,0.1087408810853958,0.0745349377393722,0.018652856349945,-0.0915384292602539,1.0448672771453855,1.0435757637023926
Co-culture,HNRNPA1,239,0.0669290439077445,1.7632949352264404,0.4895397489539749,0,0.2705367505550384,0.2390934228897094,0.1910308599472046,-0.2293927073478698,0.980541467666626,0.8939952254295349
Co-culture,HNRNPC,55,0.0982553141158381,1.599137246608734,0.4181818181818181,0,-0.3301108479499817,-0.2822112739086151,-0.2584781348705292,0.136108711361885,-0.4599305987358093,-0.6060734391212463
Co-culture,HSPA1A,229,0.0653383678434718,1.7433196902275083,0.4279475982532751,0,-0.0114204511046409,-0.1780445873737335,-0.2341671884059906,-0.1596069633960724,0.9946123361587524,0.931536078453064
Co-culture,IDH2,356,0.0699562174593481,1.8792687058448792,0.4831460674157303,0,0.0967438668012619,0.069654457271099,0.0173761807382106,-0.1959487199783325,1.0552170276641846,1.0036228895187378
Co-culture,IDI2-AS1,276,0.0711176669102581,1.812451183795929,0.4528985507246377,0,0.2455132901668548,0.2183559238910675,0.1454488337039947,-0.0615319013595581,0.972989559173584,0.9916931986808776
Co-culture,IFNGR1,400,0.0598415209710244,0.3664042353630066,0.4075,0,0.1110168471932411,0.1005134731531143,0.0997968986630439,-0.0715416446328163,0.9043979644775392,0.8681280016899109
Co-culture,IFNGR2,400,0.063978935051652,0.3956282138824463,0.455,0,0.0618445798754692,0.0158871430903673,0.0040003578178584,-0.0082970084622502,0.9700381755828856,0.9337700605392456
