dataset,task_id,information_condition_mode,structure_reliability_score,preference_conflict,mean_vs_DART_disagreement,subpop_variance_ratio,response_diversity,bootstrap_rank_stability,observed_best_method,observed_dart_minority_cov,observed_mean_minority_cov,seed,HIR_predicted_regime,prediction_correct
sciplex3_within_line,K562:ITSA-1 (ITSA1):s1,observed,0.37427053583962033,0.6983050847457627,0.3763440860215054,0.03078225919982134,0.702033281326294,0.2,mean_sufficient,0.9774466753005981,0.9720937311649323,1,mean_sufficient,True
sciplex3_within_line,K562:Sirtinol:s1,observed,0.3980735316317845,0.5548022598870056,0.482030935541372,0.025728606195815316,0.721768856048584,0.2,mean_sufficient,0.9814426898956299,0.9802550077438354,1,mean_sufficient,True
sciplex3_within_line,K562:AG-490 (Tyrphostin B42):s1,observed,0.41861025495899795,0.7062146892655368,0.4958886780518659,0.03169445544464321,0.6996585130691528,0.2,mean_sufficient,0.9899016320705414,0.987562507390976,1,DART_recommended,False
sciplex3_within_line,K562:UNC0379:s1,observed,0.4803798562396245,0.7220338983050847,0.4210223678914381,0.033393043830990496,0.7284289598464966,0.4,mean_sufficient,0.9907080233097076,0.9901425540447235,1,DART_recommended,False
sciplex3_within_line,K562:Lapatinib (GW-572016) Ditosylate:s1,observed,0.5054425066672841,0.6983050847457627,0.2623195905928354,0.03470518427284193,0.6951509714126587,0.6,mean_sufficient,0.9917744994163513,0.991580605506897,1,DART_recommended,False
sciplex3_within_line,K562:BMS-536924:s1,observed,0.4282818776549893,0.6779661016949152,0.33781841182220684,0.026928779441753772,0.6925909519195557,0.4,mean_sufficient,0.9856922030448914,0.9857906401157379,1,DART_recommended,False
sciplex3_within_line,K562:Resveratrol:s1,observed,0.3894362609691626,0.6830508474576271,0.40175953079178883,0.032321316771877585,0.7185647487640381,0.2,mean_sufficient,0.9898672997951508,0.9898672997951508,1,mean_sufficient,True
sciplex3_within_line,K562:Triamcinolone Acetonide:s1,observed,0.3899222344528378,0.6937853107344633,0.43252256914496,0.029666862329263022,0.6953874826431274,0.2,mean_sufficient,0.988036572933197,0.9867869317531586,1,mean_sufficient,True
sciplex3_within_line,K562:Clevudine:s1,observed,0.4887614585084123,0.6864406779661016,0.2682421942383992,0.027384098178200297,0.727243959903717,0.6,mean_sufficient,0.9774537682533264,0.9774537682533264,1,DART_recommended,False
sciplex3_within_line,K562:Nintedanib (BIBF 1120):s2,observed,0.5939459366672862,0.6248587570621469,0.3310810808017951,0.028789080573033716,0.7170031666755676,0.8,mean_sufficient,0.9871470034122467,0.9841899871826172,2,DART_recommended,False
sciplex3_within_line,K562:Dasatinib:s2,observed,0.6176435602464709,0.3615819209039548,0.14438502673796788,0.0313755521774694,0.7298214435577393,1.0,mean_sufficient,0.9781728684902191,0.9781728684902191,2,DART_recommended,False
sciplex3_within_line,K562:GSK J1:s2,observed,0.41906663960328944,0.7197740112994351,0.4982462193088379,0.03126199833817941,0.7089446783065796,0.2,mean_sufficient,0.9829501807689667,0.983400285243988,2,DART_recommended,False
sciplex3_within_line,K562:Amisulpride:s2,observed,0.4446435281888975,0.71842329213322,0.35472370766488415,0.029631417256436886,0.7159597873687744,0.4,mean_sufficient,0.9810293018817902,0.9810293018817902,2,DART_recommended,False
sciplex3_within_line,K562:SRT2104 (GSK2245840):s2,observed,0.4426463635881235,0.711864406779661,0.31844057271002246,0.03351264195642013,0.7065423727035522,0.4,mean_sufficient,0.985496312379837,0.9838545918464661,2,DART_recommended,False
sciplex3_within_line,K562:WP1066:s2,observed,0.3667194659086508,0.5378531073446328,0.36547639583692715,0.02938761628476582,0.7063987851142883,0.2,mean_sufficient,0.9656197428703308,0.9710637629032135,2,mean_sufficient,True
sciplex3_within_line,K562:Costunolide:s2,observed,0.3677077745881392,0.7384180790960452,0.3496636191133345,0.030966284996715634,0.724266529083252,0.2,mean_sufficient,0.9918826520442963,0.9918036758899689,2,mean_sufficient,True
sciplex3_within_line,K562:Alvespimycin (17-DMAG) HCl:s2,observed,0.4792198787853962,0.6711864406779661,0.1988384796733943,0.03210493991711059,0.7331159114837646,0.6,mean_sufficient,0.9873555898666382,0.9873555898666382,2,DART_recommended,False
sciplex3_within_line,K562:IOX2:s2,observed,0.4119538330098605,0.6395480225988701,0.4938761428324996,0.029295102844489926,0.7121187448501587,0.2,mean_sufficient,0.9877671003341675,0.9874365031719208,2,DART_recommended,False
sciplex3_within_line,K562:Ellagic acid:s2,observed,0.383467507815913,0.6435028248587571,0.3920418607325628,0.03161671330761944,0.7140271663665771,0.2,mean_sufficient,0.9908725917339325,0.9886307418346405,2,mean_sufficient,True
sciplex3_within_line,MCF7:Sirtinol:s0,observed,0.4857641855566751,0.6259887005649718,0.40106951871657753,0.04202748189101608,0.5930740833282471,0.4,mean_sufficient,0.9890740215778351,0.9896322786808014,0,DART_recommended,False
sciplex3_within_line,MCF7:Zileuton:s0,observed,0.525732486352973,0.6152542372881356,0.29601518026565465,0.04151581575974506,0.5757972598075867,0.6,mean_sufficient,0.9793694019317627,0.9781173467636108,0,DART_recommended,False
sciplex3_within_line,MCF7:Ofloxacin:s0,observed,0.5592795470377504,0.6610169491525424,0.3395675799342652,0.04619551703791715,0.6184434294700623,0.6,mean_sufficient,0.9869495332241058,0.9869495332241058,0,DART_recommended,False
sciplex3_within_line,MCF7:Lapatinib (GW-572016) Ditosylate:s0,observed,0.5051827641078183,0.6576271186440679,0.4274624805934104,0.0443435463076811,0.625402569770813,0.4,mean_sufficient,0.9878384470939636,0.9883769452571869,0,DART_recommended,False
sciplex3_within_line,MCF7:Curcumin:s0,observed,0.4473271585638394,0.6271186440677966,0.22827899488241044,0.052935087914152815,0.5742951035499573,0.4,mean_sufficient,0.9844641387462616,0.9805998206138611,0,DART_recommended,False
sciplex3_within_line,MCF7:AICAR (Acadesine):s0,observed,0.5343495666916565,0.6768361581920904,0.2601920533609338,0.04846811417024048,0.5787800550460815,0.6,mean_sufficient,0.9773684442043304,0.9756333529949188,0,DART_recommended,False
sciplex3_within_line,MCF7:ABT-737:s0,observed,0.5032450974224566,0.6519774011299435,0.4667931688804554,0.03975970949384452,0.6058835983276367,0.4,mean_sufficient,0.9781707227230072,0.9796401858329773,0,DART_recommended,False
sciplex3_within_line,MCF7:Disulfiram:s0,observed,0.5031268891983615,0.6587570621468927,0.4263699614743258,0.04495168142796997,0.590423583984375,0.4,mean_sufficient,0.9907531440258026,0.9903974235057831,0,DART_recommended,False
