split_type,cell_line,heldout_drug,observed_library_fraction,seed,recommendation_mode,regret_reduction
partial_library,A549,batch,0.6,1,DART_recommended,0.1880054473876954
leave_drug_out,A549,AICAR (Acadesine),1.0,2,mean_or_no_call,0.8967494964599609
leave_drug_out,A549,"Patupilone (EPO906, Epothilone B)",1.0,2,DART_recommended,-0.302236557006836
leave_drug_out,A549,Pelitinib (EKB-569),1.0,2,DART_recommended,-0.0803909301757813
leave_drug_out,A549,CYC116,1.0,2,DART_recommended,0.1967430114746093
leave_drug_out,A549,Dacinostat (LAQ824),1.0,2,mean_sufficient,-0.4100055694580078
leave_drug_out,A549,"Tozasertib (VX-680, MK-0457)",1.0,2,DART_recommended,-0.17087173461914068
leave_drug_out,A549,BMS-265246,1.0,2,DART_recommended,0.1951007843017579
leave_drug_out,A549,UNC1999,1.0,2,DART_recommended,0.027322769165039097
leave_drug_out,A549,Filgotinib (GLPG0634),1.0,2,DART_recommended,0.054182052612304715
leave_drug_out,A549,Entacapone,1.0,2,mean_or_no_call,0.1793479919433594
leave_drug_out,A549,Tofacitinib (CP-690550) Citrate,1.0,2,DART_recommended,-0.0005054473876952986
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,2,mean_or_no_call,0.0242519378662109
leave_drug_out,A549,PD173074,1.0,2,DART_recommended,-0.009105682373046903
leave_drug_out,A549,UNC0379,1.0,2,DART_recommended,0.1830806732177735
leave_drug_out,A549,Lomustine,1.0,2,DART_recommended,-0.00037574768066397923
leave_drug_out,A549,WP1066,1.0,2,DART_recommended,0.0853176116943359
leave_drug_out,A549,AR-42,1.0,2,mean_sufficient,-1.0864276885986328
leave_drug_out,A549,Danusertib (PHA-739358),1.0,2,DART_recommended,0.6932868957519531
leave_drug_out,A549,Cimetidine,1.0,2,mean_or_no_call,0.25431251525878906
leave_drug_out,A549,Navitoclax (ABT-263),1.0,2,DART_recommended,0.1236839294433593
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,2,DART_recommended,0.2682552337646484
leave_drug_out,A549,Quercetin,1.0,2,DART_recommended,-0.0790634155273437
leave_drug_out,A549,Altretamine,1.0,2,DART_recommended,0.14940452575683602
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,1.0,2,DART_recommended,0.0
leave_drug_out,A549,Thiotepa,1.0,2,DART_recommended,0.2181549072265625
leave_drug_out,A549,S3I-201,1.0,2,mean_or_no_call,0.0296077728271485
