split_type,cell_line,heldout_drug,observed_library_fraction,seed,structure_reliability_score,preference_conflict,true_divergence,recommendation_mode,minority_state_coverage_gap
leave_MoA_out,A549,ITSA-1 (ITSA1),0.7978723404255319,2,0.4415537728572836,0.580225988700565,1.5537336627583165,DART_recommended,0.001585927775514
leave_MoA_out,A549,JNJ-26854165 (Serdemetan),0.9680851063829788,2,0.4307185384992272,0.6305084745762712,1.5321369591467895,DART_recommended,0.0027192841123809
leave_MoA_out,A549,Ki16425,0.9893617021276596,2,0.4523210931195147,0.5949152542372882,1.6733728570848174,DART_recommended,0.0003273798640409
leave_MoA_out,A549,MK-0752,0.9893617021276596,2,0.4392620078416099,0.6082226660892927,1.677337473610372,DART_recommended,0.0060058969526358
leave_MoA_out,A549,PD173074,0.9414893617021276,3,0.351546824196324,0.5627118644067797,1.6796887627079808,mean_or_no_call,0.0021256380528441
leave_MoA_out,A549,PD98059,0.9787234042553192,2,0.4852843275420437,0.4824858757062147,1.6146584760608187,DART_recommended,-0.0028144559811476
leave_MoA_out,A549,PF-3845,0.973404255319149,1,0.4484972804885695,0.6299435028248588,1.6847498547942446,DART_recommended,0.0021792331373499
leave_MoA_out,A549,Prednisone,0.973404255319149,2,0.3994177064330363,0.6062146892655367,1.7052383553493606,mean_or_no_call,-0.0014785944803896
leave_MoA_out,A549,Ramelteon,0.9893617021276596,0,0.4660759599107275,0.5926553672316384,1.672783639006295,DART_recommended,2.2088451327451075e-05
leave_MoA_out,A549,SL-327,0.9787234042553192,3,0.4393958849268685,0.5220338983050847,1.415157030203935,DART_recommended,-0.0025673286783164
leave_MoA_out,A549,SNS-314,0.8882978723404256,4,0.537695764903654,0.4994350282485876,1.1416432291799512,DART_recommended,0.0
leave_MoA_out,A549,SRT3025 HCl,0.8723404255319149,0,0.4764287808433877,0.5977401129943503,1.7150594164189816,DART_recommended,0.00042508069002
leave_MoA_out,A549,Sorafenib Tosylate,0.9787234042553192,0,0.3712353795371252,0.6299435028248588,1.5785900399202537,mean_or_no_call,0.0011837271878339
leave_MoA_out,A549,Sorafenib Tosylate,0.9787234042553192,4,0.6311649884197188,0.611864406779661,1.5190612257180105,DART_recommended,-0.0019302276869211
leave_MoA_out,A549,TGX-221,0.9840425531914894,4,0.3910491495483672,0.6237288135593221,1.6611811929416007,mean_or_no_call,0.0031619031963163
leave_MoA_out,A549,Tanespimycin (17-AAG),0.9361702127659576,1,0.6524594831548505,0.5694915254237288,1.1415674453205986,DART_recommended,0.0
leave_MoA_out,A549,"Temsirolimus (CCI-779, NSC 683864)",0.9840425531914894,0,0.392784497097277,0.4706214689265536,1.2305806693860788,mean_or_no_call,4.267533014601366e-05
leave_MoA_out,A549,"Tozasertib (VX-680, MK-0457)",0.8882978723404256,3,0.4639803708536338,0.5429378531073447,1.5402632455863348,DART_recommended,0.0023829186266032
leave_MoA_out,A549,Trichostatin A (TSA),0.9787234042553192,1,0.553235921633487,0.6011299435028249,1.1551872928296318,DART_recommended,-0.1204886629390677
leave_MoA_out,A549,Trichostatin A (TSA),0.9787234042553192,4,0.7187638080571479,0.6502824858757063,1.107856632496052,DART_recommended,-0.1065042861564257
leave_MoA_out,A549,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,2,0.5923190396311068,0.6175141242937853,1.7117107859152505,DART_recommended,0.0007170711720592
leave_MoA_out,A549,Zileuton,0.973404255319149,0,0.4675478923446544,0.6785310734463277,1.7468589467665288,DART_recommended,-0.0023254210266847
leave_MoA_out,K562,Avagacestat (BMS-708163),0.9893617021276596,1,0.4274510640866729,0.5796610169491525,1.681525767846339,DART_recommended,-8.099449878429255e-05
leave_MoA_out,K562,BMS-911543,0.8936170212765957,1,0.4280416053472919,0.6706214689265537,1.698336936871017,DART_recommended,-0.0008462912537235
leave_MoA_out,K562,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.9840425531914894,1,0.4944846942217643,0.6898305084745763,1.5716741210097074,DART_recommended,0.0020262336814595
leave_MoA_out,K562,CEP-33779,0.8936170212765957,0,0.4678270217390562,0.6322033898305085,1.6786015280828908,DART_recommended,-0.0055839764848185
leave_MoA_out,K562,CEP-33779,0.8936170212765957,4,0.5474057666484371,0.676271186440678,1.689765718794085,DART_recommended,0.0077531744269437
leave_MoA_out,K562,Carmofur,0.8723404255319149,3,0.3614545160180171,0.6305084745762712,1.7321272002556407,mean_or_no_call,0.0010123479260267
leave_MoA_out,K562,Celecoxib,0.9787234042553192,0,0.4619709277224867,0.5259887005649717,1.4930449463867577,DART_recommended,0.0094251857546932
leave_MoA_out,K562,Celecoxib,0.9787234042553192,3,0.3678974241482332,0.6214689265536724,1.628276206216823,mean_or_no_call,-0.0001279611294984
leave_MoA_out,K562,Celecoxib,0.9787234042553192,4,0.443323894422607,0.6677966101694915,1.6339186008057034,DART_recommended,-0.0018757446323652
leave_MoA_out,K562,Clevudine,0.8723404255319149,2,0.4012771684955867,0.5299435028248588,1.6615375217839068,DART_recommended,-0.0017136237067462
leave_MoA_out,K562,Disulfiram,0.973404255319149,3,0.5207546029922877,0.5627118644067797,1.6526730077436484,DART_recommended,0.0030445693668568
leave_MoA_out,K562,Divalproex Sodium,0.9893617021276596,3,0.4360866373295553,0.6124293785310735,1.4550110790661832,DART_recommended,0.0004935466377259
leave_MoA_out,K562,Divalproex Sodium,0.9893617021276596,4,0.4639413262531853,0.6966101694915254,1.7614569545465797,DART_recommended,0.0164552598022184
leave_MoA_out,K562,Droxinostat,0.9361702127659576,0,0.4758102726845968,0.6276836158192091,1.7005226869552983,DART_recommended,-0.0018760764741643
leave_MoA_out,K562,Enzastaurin (LY317615),0.9840425531914894,3,0.3911433191147395,0.7242937853107344,1.6959388666592292,mean_or_no_call,0.0003019959560623
leave_MoA_out,K562,Fulvestrant,0.973404255319149,1,0.3735737581890493,0.6898305084745763,1.7167308634550076,mean_or_no_call,0.0012882525685928
leave_MoA_out,K562,Givinostat (ITF2357),0.9361702127659576,4,0.5999315476084257,0.6581920903954802,1.2036817829405329,DART_recommended,-0.0159076922615576
leave_MoA_out,K562,IOX2,0.9414893617021276,1,0.4557235263349412,0.6107344632768361,1.6669226890386,DART_recommended,0.0003706525708135
leave_MoA_out,K562,ITSA-1 (ITSA1),0.7978723404255319,2,0.4606886518890964,0.6971751412429379,1.6513546950183455,DART_recommended,0.0005784123291959
leave_MoA_out,K562,JNJ-26854165 (Serdemetan),0.9680851063829788,2,0.4379463163552361,0.6418079096045197,1.6783412428059803,DART_recommended,0.0019204352801179
leave_MoA_out,K562,Ki16425,0.9893617021276596,2,0.3482216809166368,0.607909604519774,1.692653326081638,mean_or_no_call,0.0012734953334185
leave_MoA_out,K562,MK-0752,0.9893617021276596,2,0.3723900910938749,0.728813559322034,1.7725795759443903,mean_or_no_call,0.0058374469758784
leave_MoA_out,K562,PD173074,0.9414893617021276,3,0.4362874318864926,0.6011299435028249,1.6235812577511028,DART_recommended,0.0051384242354418
leave_MoA_out,K562,PD98059,0.9787234042553192,2,0.4208714126684753,0.7033898305084746,1.738450604653889,DART_recommended,-0.0011845548059206
leave_MoA_out,K562,PF-3845,0.973404255319149,1,0.4160358165686894,0.652542372881356,1.7178192596602884,DART_recommended,0.0011901632867259
leave_MoA_out,K562,Prednisone,0.973404255319149,2,0.3528942687599086,0.6,1.7366914358424994,mean_or_no_call,0.0004584191665704
leave_MoA_out,K562,Ramelteon,0.9893617021276596,0,0.5084924090651083,0.676271186440678,1.691784649168085,DART_recommended,-0.0001544420714739
leave_MoA_out,K562,SL-327,0.9787234042553192,3,0.5326609576620756,0.6836158192090396,1.6555547336439205,DART_recommended,0.0021823848237864
leave_MoA_out,K562,SNS-314,0.8882978723404256,4,0.5725139889077686,0.6785310734463277,1.5821888174407035,DART_recommended,-0.001789056182939
leave_MoA_out,K562,SRT3025 HCl,0.8723404255319149,0,0.4635103971347907,0.6788640930405281,1.7100607436852615,DART_recommended,-0.0026715552447954
leave_MoA_out,K562,Sorafenib Tosylate,0.9787234042553192,0,0.5711253981218374,0.7203389830508474,1.5734787355607494,DART_recommended,0.0203375340703556
leave_MoA_out,K562,Sorafenib Tosylate,0.9787234042553192,4,0.5209141906799231,0.7146892655367232,1.6955961066225498,DART_recommended,0.0110250387234971
leave_MoA_out,K562,TGX-221,0.9840425531914894,4,0.3537114763324339,0.728813559322034,1.730871361386022,mean_or_no_call,0.0018023687560874
leave_MoA_out,K562,Tanespimycin (17-AAG),0.9361702127659576,1,0.5008702623457276,0.5932203389830508,1.2287124694848452,DART_recommended,0.0078820449788553
leave_MoA_out,K562,"Temsirolimus (CCI-779, NSC 683864)",0.9840425531914894,0,0.4478065425060489,0.7214689265536722,1.5705924879997497,DART_recommended,0.0013084081338458
leave_MoA_out,K562,"Tozasertib (VX-680, MK-0457)",0.8882978723404256,3,0.604953034849808,0.6943502824858757,1.3990932093756647,DART_recommended,0.0184167439398208
leave_MoA_out,K562,Trichostatin A (TSA),0.9787234042553192,1,0.4989108917127712,0.7310734463276836,1.6347380331921124,DART_recommended,0.0698470029001512
leave_MoA_out,K562,Trichostatin A (TSA),0.9787234042553192,4,0.5953346638884182,0.7706214689265536,1.565106985898029,DART_recommended,-0.0065993440033046
leave_MoA_out,K562,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,2,0.4205663535909809,0.7056497175141243,1.7416747652775326,DART_recommended,-0.0007553710500149
leave_MoA_out,K562,Zileuton,0.973404255319149,0,0.3784418336224301,0.5265536723163842,1.6291924850837027,mean_or_no_call,-0.0003543239259822
leave_MoA_out,MCF7,AT9283,0.8936170212765957,0,0.5502656286182606,0.6774011299435028,1.6437539682901396,DART_recommended,0.0099615101522734
leave_MoA_out,MCF7,AZD1480,0.8936170212765957,4,0.4531686239683793,0.6649717514124294,1.627070390043443,DART_recommended,0.0033092167183595
leave_MoA_out,MCF7,Danusertib (PHA-739358),0.8882978723404256,3,0.5551828780463599,0.6067796610169491,1.520086874922041,DART_recommended,0.0027134822733235
leave_MoA_out,MCF7,Divalproex Sodium,0.9893617021276596,3,0.419463346543036,0.6344632768361582,1.804083639267339,DART_recommended,0.0077431232684987
leave_MoA_out,MCF7,Enzastaurin (LY317615),0.9840425531914894,1,0.5499852841397885,0.6022598870056497,1.77890232797271,DART_recommended,0.0076454317637462
leave_MoA_out,MCF7,Filgotinib (GLPG0634),0.8936170212765957,1,0.4695745456327101,0.6096045197740113,1.7525848107653117,DART_recommended,0.0082280437248489
leave_MoA_out,MCF7,Fulvestrant,0.973404255319149,2,0.5711203447849659,0.5186440677966102,0.5853318364516927,DART_recommended,-0.0089970000267564
leave_MoA_out,MCF7,Givinostat (ITF2357),0.9361702127659576,0,0.4617663637592846,0.6067796610169491,0.9186265682909742,DART_recommended,0.0
leave_MoA_out,MCF7,IOX2,0.9414893617021276,1,0.5848482172345728,0.5954802259887005,1.756300107122861,DART_recommended,0.0022046489686826
leave_MoA_out,MCF7,Ivosidenib (AG-120),0.973404255319149,1,0.3953426181108988,0.6124293785310735,1.7866227790419298,mean_or_no_call,0.0
leave_MoA_out,MCF7,M344,0.9361702127659576,1,0.7421045550897082,0.6389830508474577,1.010329366589737,DART_recommended,0.0
leave_MoA_out,MCF7,MK-0752,0.9893617021276596,1,0.3665370770615099,0.5858757062146893,1.7278193574553715,mean_or_no_call,-0.0003508746095276
leave_MoA_out,MCF7,MK-0752,0.9893617021276596,2,0.3997132791398826,0.6457627118644067,1.777257231107711,mean_or_no_call,0.0071554192660221
leave_MoA_out,MCF7,Mesna,0.9787234042553192,1,0.4456058395690804,0.6655367231638418,1.7704962270851072,DART_recommended,0.0049790176518292
leave_MoA_out,MCF7,Mesna,0.9787234042553192,4,0.4872701846731334,0.6225988700564972,1.784790697847322,DART_recommended,0.0013693589486751
leave_MoA_out,MCF7,Navitoclax (ABT-263),0.9680851063829788,2,0.6715629364057338,0.6146892655367232,1.7194250264795592,DART_recommended,0.0017608940875455
leave_MoA_out,MCF7,PD173074,0.9414893617021276,3,0.4272060259188897,0.5903954802259888,1.803739096579972,DART_recommended,0.0031706715265276
leave_MoA_out,MCF7,PD98059,0.9787234042553192,0,0.4280000729318722,0.6474576271186441,1.8260272240053608,DART_recommended,0.0011725226300888
