split_type,cell_line,heldout_drug,observed_library_fraction,seed,classA_regret_reduction,classB_moa_ndcg_gain
leave_drug_out,A549,Tazemetostat (EPZ-6438),1.0,3,0.1844024658203125,0.03713633797503452
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,3,0.21669197082519528,-0.2200917662980801
leave_drug_out,A549,RG108,1.0,3,0.09885597229003909,-0.0865770190078472
leave_drug_out,A549,MK-5108 (VX-689),1.0,3,0.2233619689941406,-0.43780685607566455
leave_drug_out,A549,Ofloxacin,1.0,3,0.44578933715820324,0.2032389337527008
leave_drug_out,A549,Amisulpride,1.0,3,0.05484580993652341,0.0
leave_drug_out,A549,AZD1480,1.0,3,0.0914192199707031,0.1584091525685025
leave_drug_out,A549,Droxinostat,1.0,3,0.24080085754394528,0.0
leave_drug_out,A549,Sirtinol,1.0,3,0.3236713409423828,-0.22953357544364839
leave_drug_out,A549,Danusertib (PHA-739358),1.0,3,0.29058837890625,-0.3098064936645125
leave_drug_out,A549,XAV-939,1.0,3,0.1401691436767578,0.0
leave_drug_out,A549,BMS-754807,1.0,3,0.9580936431884766,0.0
leave_drug_out,A549,PFI-1 (PF-6405761),1.0,3,0.219045639038086,-0.03873692763702008
leave_drug_out,A549,Quercetin,1.0,3,0.020967483520507806,-0.23946069848507778
leave_drug_out,A549,SRT3025 HCl,1.0,4,0.7526473999023438,0.1584091525685025
leave_drug_out,A549,Divalproex Sodium,1.0,4,0.2857723236083985,0.0
leave_drug_out,A549,Ruxolitinib (INCB018424),1.0,4,0.14118576049804693,-0.028816560724514412
leave_drug_out,A549,Ofloxacin,1.0,4,0.05012321472167969,0.09796536285193899
leave_drug_out,A549,Sorafenib Tosylate,1.0,4,0.042245864868164,0.0
leave_drug_out,A549,Epothilone A,1.0,4,0.0,0.0
leave_drug_out,A549,Ki8751,1.0,4,0.2223167419433594,0.11004588314904
leave_drug_out,A549,ENMD-2076,1.0,4,0.3843421936035156,-0.11004588314904
leave_drug_out,A549,AT9283,1.0,4,0.2674674987792969,0.2172607128522298
leave_drug_out,A549,CEP-33779,1.0,4,0.1825618743896485,-0.5513310624619329
leave_drug_out,A549,Ramelteon,1.0,4,0.1306991577148437,0.0
leave_drug_out,A549,Motesanib Diphosphate (AMG-706),1.0,4,0.5402297973632814,0.031167576170598996
leave_drug_out,A549,Azacitidine,1.0,4,2.544719696044922,0.0
leave_drug_out,A549,WP1066,1.0,4,0.2327423095703125,0.0147774807797236
leave_drug_out,A549,Trametinib (GSK1120212),1.0,4,-0.0600357055664062,-0.4692787260227564
leave_drug_out,A549,SB431542,1.0,4,0.2165241241455079,-0.2184074368181641
leave_drug_out,A549,Cimetidine,1.0,4,0.7257213592529297,0.2021073465005475
leave_drug_out,A549,G007-LK,1.0,4,2.2228450775146484,0.1605823915066368
leave_drug_out,A549,UNC0379,1.0,4,0.0,0.164219586306328
leave_drug_out,A549,Raltitrexed,1.0,4,0.0,0.08514311764162102
leave_drug_out,A549,Flavopiridol HCl,1.0,4,0.2773189544677734,0.0783982689786754
leave_drug_out,A549,Sodium Phenylbutyrate,1.0,4,0.083108901977539,0.11004588314904
leave_drug_out,A549,Ivosidenib (AG-120),1.0,4,0.09215354919433591,0.0
leave_drug_out,A549,Quercetin,1.0,4,2.823383331298828,0.16733305956153105
leave_drug_out,A549,NVP-BSK805 2HCl,1.0,4,0.0,-0.056973826708484596
leave_drug_out,A549,Tucidinostat (Chidamide),1.0,4,0.3066558837890625,-0.6203974344166848
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,4,2.4719581604003906,0.0
leave_drug_out,A549,S3I-201,1.0,4,-0.070638656616211,0.0883201161240093
leave_drug_out,A549,GSK1070916,1.0,4,0.00714111328125,-0.14169349731940495
leave_drug_out,A549,INO-1001 (3-Aminobenzamide),1.0,4,0.5388660430908203,0.16515400123144808
leave_drug_out,A549,AZD1480,1.0,4,0.2070960998535156,0.0851431176416209
leave_drug_out,A549,Mercaptopurine (6-MP),1.0,4,0.0496711730957031,0.0
leave_drug_out,A549,BMS-911543,1.0,4,0.170501708984375,-0.2200917662980802
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,4,0.2974452972412109,-0.2863459897524692
leave_drug_out,A549,MK-5108 (VX-689),1.0,4,0.284353256225586,-0.23177307466786246
