cell_line,seed,query_drug,query_moa,dart_pick,mean_pick,picks_differ,dart_tanimoto,dart_ntargets,dart_target_jaccard,dart_moa_match,mean_tanimoto,mean_ntargets,mean_target_jaccard,mean_moa_match,dart_welfare,mean_welfare,dart_regret,mean_regret,regret_advantage
MCF7,42,Selisistat (EX 527),Epigenetics,Ki16425,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1,0.08695652335882187,1,0.0,0,0.1139240488409996,1,0.0,0,-0.3209524154663086,-0.5636261701583862,0.3756778985261917,0.6183516532182693,0.24267375469207764
MCF7,42,Sirtinol,Epigenetics,AG-490 (Tyrphostin B42),XAV-939,1,0.2083333283662796,1,0.0,0,0.07407407462596893,1,0.0,0,-0.13925686478614807,-0.11545923352241516,0.20054660737514496,0.17674897611141205,-0.02379763126373291
MCF7,42,Sodium Phenylbutyrate,DNA Damage,Droxinostat,INO-1001 (3-Aminobenzamide),1,0.18000000715255737,1,0.0,0,0.21621622145175934,1,0.0,1,-0.15108516812324524,-0.3734908998012543,0.2049339860677719,0.42733971774578094,0.22240573167800903
MCF7,42,Sorafenib Tosylate,MAPK,Regorafenib (BAY 73-4506),Regorafenib (BAY 73-4506),0,0.6901408433914185,10,0.5833333333333334,0,0.6901408433914185,10,0.5833333333333334,0,0.3820917010307312,0.3820917010307312,0.12722009420394897,0.12722009420394897,0.0
MCF7,42,Streptozotocin (STZ),DNA Damage,BRD4770,ENMD-2076,1,0.07594936341047287,1,0.0,0,0.024390242993831635,2,0.0,0,-0.18256895244121552,-0.1992427408695221,0.24744001030921936,0.26411379873752594,0.01667378842830658
MCF7,42,TAK-901,Cell Cycle,Hesperadin,Hesperadin,0,0.17924527823925018,1,0.0,1,0.17924527823925018,1,0.0,1,0.32945412397384644,0.32945412397384644,0.12186667323112488,0.12186667323112488,0.0
MCF7,42,TG101209,JAK/STAT,"Fedratinib (SAR302503, TG101348)","Fedratinib (SAR302503, TG101348)",0,0.6805555820465088,241,0.008298755186721992,1,0.6805555820465088,241,0.008298755186721992,1,0.8491339683532715,0.8491339683532715,0.0,0.0,0.0
MCF7,42,TGX-221,PI3K/Akt/mTOR,ZM 447439,BMS-754807,1,0.23655913770198822,1,0.0,0,0.13636364042758942,2,0.0,0,0.052286289632320404,0.05429872125387192,0.19026824086904526,0.18825580924749374,-0.0020124316215515137
MCF7,42,TMP195,Epigenetics,PD98059,SGI-1776 free base,1,0.1190476194024086,1,0.0,0,0.1649484485387802,3,0.0,0,-0.10733847320079803,-0.09985774755477905,0.160294059664011,0.15281333401799202,-0.007480725646018982
MCF7,42,Tacedinaline (CI994),Epigenetics,Tucidinostat (Chidamide),Tucidinostat (Chidamide),0,0.2985074520111084,1,0.0,1,0.2985074520111084,1,0.0,1,0.7008362412452698,0.7008362412452698,0.0,0.0,0.0
