sp_drug,gdsc_drug,cell_line,gdsc_cell_line,gdsc_source,match_method,AUC,LN_IC50,DRUG_ID
Panobinostat (LBH589),Panobinostat,MCF7,MCF7,GDSC1,normalized_name_exact,0.360481,-3.64655,438
Pelitinib (EKB-569),Pelitinib,A549,A549,GDSC1,normalized_name_exact,0.985549,4.286288,282
Pelitinib (EKB-569),Pelitinib,K562,K-562,GDSC1,normalized_name_exact,0.869369,0.912742,282
Pelitinib (EKB-569),Pelitinib,MCF7,MCF7,GDSC1,normalized_name_exact,0.991682,4.060673,282
"Rucaparib (AG-014699,PF-01367338) phosphate",Rucaparib,A549,A549,GDSC2,normalized_name_exact,0.981276,5.257695,1175
"Rucaparib (AG-014699,PF-01367338) phosphate",Rucaparib,K562,K-562,GDSC2,normalized_name_exact,0.965869,3.347427,1175
"Rucaparib (AG-014699,PF-01367338) phosphate",Rucaparib,MCF7,MCF7,GDSC2,normalized_name_exact,0.972229,4.950938,1175
Ruxolitinib (INCB018424),Ruxolitinib,A549,A549,GDSC2,normalized_name_exact,0.942,4.093999,1507
Ruxolitinib (INCB018424),Ruxolitinib,K562,K-562,GDSC2,normalized_name_exact,0.960993,3.867414,1507
Ruxolitinib (INCB018424),Ruxolitinib,MCF7,MCF7,GDSC2,normalized_name_exact,0.970127,5.518054,1507
S-Ruxolitinib (INCB018424),Ruxolitinib,A549,A549,GDSC2,normalized_name_substr,0.942,4.093999,1507
S-Ruxolitinib (INCB018424),Ruxolitinib,K562,K-562,GDSC2,normalized_name_substr,0.960993,3.867414,1507
S-Ruxolitinib (INCB018424),Ruxolitinib,MCF7,MCF7,GDSC2,normalized_name_substr,0.970127,5.518054,1507
Selisistat (EX 527),Selisistat,A549,A549,GDSC1,normalized_name_exact,0.980356,5.967618,341
Selisistat (EX 527),Selisistat,K562,K-562,GDSC1,normalized_name_exact,0.975166,5.0536,341
Selisistat (EX 527),Selisistat,MCF7,MCF7,GDSC1,normalized_name_exact,0.980926,5.260233,341
Sorafenib Tosylate,Sorafenib,A549,A549,GDSC2,normalized_name_exact,0.855526,2.378921,1085
Sorafenib Tosylate,Sorafenib,K562,K-562,GDSC2,normalized_name_exact,0.811684,1.454525,1085
Sorafenib Tosylate,Sorafenib,MCF7,MCF7,GDSC2,normalized_name_exact,0.805326,1.82766,1085
TGX-221,TGX221,K562,K-562,GDSC1,normalized_name_exact,0.976129,4.404769,94
Tanespimycin (17-AAG),Tanespimycin,A549,A549,GDSC2,normalized_name_exact,0.527859,-3.217094,1026
Tanespimycin (17-AAG),Tanespimycin,K562,K-562,GDSC2,normalized_name_exact,0.789399,-1.071512,1026
Tanespimycin (17-AAG),Tanespimycin,MCF7,MCF7,GDSC2,normalized_name_exact,0.822561,-0.24566,1026
"Temsirolimus (CCI-779, NSC 683864)",Temsirolimus,A549,A549,GDSC2,normalized_name_exact,0.774519,-0.931052,1016
"Temsirolimus (CCI-779, NSC 683864)",Temsirolimus,K562,K-562,GDSC2,normalized_name_exact,0.955521,1.392067,1016
"Temsirolimus (CCI-779, NSC 683864)",Temsirolimus,MCF7,MCF7,GDSC2,normalized_name_exact,0.835436,-0.070936,1016
"Tozasertib (VX-680, MK-0457)",Tozasertib,K562,K-562,GDSC1,normalized_name_exact,0.70345,-0.73107,32
"Tozasertib (VX-680, MK-0457)",Tozasertib,MCF7,MCF7,GDSC2,normalized_name_exact,0.933808,3.393763,1096
Trametinib (GSK1120212),Trametinib,A549,A549,GDSC2,normalized_name_exact,0.534255,-3.162699,1372
Trametinib (GSK1120212),Trametinib,K562,K-562,GDSC2,normalized_name_exact,0.892222,0.124035,1372
Trametinib (GSK1120212),Trametinib,MCF7,MCF7,GDSC2,normalized_name_exact,0.979691,3.870711,1372
Trichostatin A (TSA),Trichostatin A,A549,A549,GDSC1,normalized_name_exact,0.7418,-0.978506,437
Trichostatin A (TSA),Trichostatin A,K562,K-562,GDSC1,normalized_name_exact,0.770205,-0.898294,437
Trichostatin A (TSA),Trichostatin A,MCF7,MCF7,GDSC1,normalized_name_exact,0.328131,-3.86416,437
Tubastatin A HCl,Tubastatin A,A549,A549,GDSC1,normalized_name_exact,0.978638,5.858043,265
Tubastatin A HCl,Tubastatin A,K562,K-562,GDSC1,normalized_name_exact,0.921961,3.694951,265
Tubastatin A HCl,Tubastatin A,MCF7,MCF7,GDSC1,normalized_name_exact,0.98566,5.565671,265
UNC0379,UNC0379,A549,A549,GDSC2,normalized_name_exact,0.899843,3.107152,2159
UNC0379,UNC0379,K562,K-562,GDSC2,normalized_name_exact,0.969889,4.200997,2159
UNC0379,UNC0379,MCF7,MCF7,GDSC2,normalized_name_exact,0.934314,4.107352,2159
Veliparib (ABT-888),Veliparib,A549,A549,GDSC2,normalized_name_exact,0.977367,5.649375,1018
Veliparib (ABT-888),Veliparib,K562,K-562,GDSC2,normalized_name_exact,0.986578,5.201598,1018
Veliparib (ABT-888),Veliparib,MCF7,MCF7,GDSC2,normalized_name_exact,0.973617,5.732295,1018
XAV-939,XAV939,A549,A549,GDSC2,normalized_name_exact,0.942597,4.111877,1268
XAV-939,XAV939,K562,K-562,GDSC2,normalized_name_exact,0.9691,4.168018,1268
XAV-939,XAV939,MCF7,MCF7,GDSC2,normalized_name_exact,0.972697,5.673365,1268
ZM 447439,ZM447439,A549,A549,GDSC2,normalized_name_exact,0.828413,2.009312,1050
ZM 447439,ZM447439,K562,K-562,GDSC2,normalized_name_exact,0.941913,3.333952,1050
ZM 447439,ZM447439,MCF7,MCF7,GDSC2,normalized_name_exact,0.931153,4.013101,1050
