cell_line,query_drug,gdsc_drug,n_cand,query_magnitude,query_auc,energy_rho,energy_rho_uncentered,mean_cosine_ctrl_rho,mean_cosine_ctrl_rho_uncentered,mean_cosine_raw_rho,mean_cosine_raw_rho_uncentered,magnitude_only_rho,magnitude_only_rho_uncentered,magnitude_match_rho,magnitude_match_rho_uncentered,potency_match_rho,potency_match_rho_uncentered,energy_rho_partial_magmatch,oracle_vs_potencymatch_rho
A549,Nilotinib (AMN-107),Nilotinib,33,1.547290008053679,0.960452,0.6544117647058825,-0.3108288770053476,0.058155080213903754,-0.05147058823529412,0.5939171122994653,-0.2142379679144385,-0.6373663101604278,0.3145053475935829,0.6390374331550803,-0.24866310160427807,0.8265374331550803,-0.016042780748663103,0.1557486631016043,0.8265374331550803
A549,Obatoclax Mesylate (GX15-070),Obatoclax Mesylate,33,2.6997215168085873,0.671246,-0.7065508021390374,-0.5872326203208557,0.09191176470588236,0.11497326203208558,-0.616644385026738,-0.47393048128342247,0.7118983957219251,0.6052807486631016,0.14772727272727273,0.15474598930481284,0.8432486631016043,0.6634358288770054,-0.7409759358288771,0.8432486631016043
A549,PCI-34051,PCI-34051,33,1.8448017103994923,0.943246,0.6637700534759359,-0.14939839572192515,-0.18683155080213906,0.30280748663101603,0.5240641711229946,-0.04712566844919786,-0.6868315508021391,0.19552139037433156,0.5561497326203209,-0.09525401069518717,0.8241978609625669,-0.02573529411764706,0.31417112299465244,0.8241978609625669
A549,PD173074,PD173074,33,1.6763838700309885,0.959716,0.68048128342246,-0.11564171122994654,-0.10695187165775402,0.10260695187165776,0.6380347593582888,-0.13201871657754014,-0.6467245989304814,0.16510695187165778,0.6036096256684492,-0.11463903743315508,0.7523395721925135,-0.1266711229946524,0.4488636363636364,0.7523395721925135
A549,PFI-1 (PF-6405761),PFI-1,33,2.8577445227737366,0.881062,0.5320855614973262,0.17479946524064172,-0.0912433155080214,0.10160427807486631,0.47961229946524064,0.06550802139037433,-0.6781417112299466,-0.0645053475935829,-0.3532754010695187,0.03843582887700535,0.11898395721925133,-0.24732620320855614,0.5250668449197862,0.11898395721925133
A549,"Rucaparib (AG-014699,PF-01367338) phosphate",Rucaparib,33,2.1068480871090975,0.981276,0.34959893048128343,0.5267379679144385,-0.3161764705882353,-0.0945855614973262,0.3699866310160428,0.5030080213903744,-0.6868315508021391,-0.5745320855614974,0.3572860962566845,0.3482620320855615,0.8602941176470589,0.6306818181818182,0.20220588235294118,0.8602941176470589
A549,Ruxolitinib (INCB018424),Ruxolitinib,33,1.733212321357964,0.942,0.6427139037433155,0.3813502673796792,0.29913101604278075,-0.22794117647058826,0.5902406417112299,0.3626336898395722,-0.6637700534759359,-0.4615641711229947,0.5795454545454546,0.4157754010695187,0.74298128342246,0.38736631016042783,0.21189839572192515,0.74298128342246
A549,Sorafenib Tosylate,Sorafenib,33,3.9232503523610225,0.855526,0.5909090909090909,-0.1911764705882353,0.05080213903743316,0.18482620320855617,0.5494652406417113,-0.07720588235294118,-0.661764705882353,0.4585561497326203,-0.6554144385026738,0.40641711229946526,-0.03643048128342246,0.20320855614973263,0.25133689839572193,-0.03643048128342246
A549,Tanespimycin (17-AAG),Tanespimycin,33,3.8944840369176887,0.527859,0.33990641711229946,0.0016711229946524066,0.23663101604278075,0.34024064171123,0.26537433155080214,-0.002005347593582888,-0.2563502673796792,0.22225935828877005,-0.22794117647058826,0.26336898395721925,0.06350267379679145,0.5461229946524064,0.11330213903743316,0.06350267379679145
A549,"Temsirolimus (CCI-779, NSC 683864)",Temsirolimus,33,2.2183899317558473,0.774519,0.43114973262032086,0.056149732620320865,-0.36397058823529416,-0.4204545454545455,0.33890374331550804,-0.002005347593582888,-0.5725267379679145,-0.17780748663101606,0.39371657754010697,0.2894385026737968,-0.5665106951871658,-0.2362967914438503,0.18181818181818182,-0.5665106951871658
