cell_line,query_drug,query_auc,query_ic50,n_candidates,dart_top1_drug,dart_top1_auc,mean_top1_drug,mean_top1_auc,most_potent_drug,most_potent_auc,dart_spearman_rho,dart_spearman_p,mean_spearman_rho,mean_spearman_p,dart_hit1,mean_hit1,dart_hit3,mean_hit3
MCF7,Tanespimycin (17-AAG),0.822561,-0.24566,50,Panobinostat (LBH589),0.360481,"Luminespib (AUY-922, NVP-AUY922)",0.717916,Trichostatin A (TSA),0.328131,0.36585834333733486,0.008979088540080529,-0.38746698679471786,0.0054356443877178135,0,0,0,0
MCF7,"Temsirolimus (CCI-779, NSC 683864)",0.835436,-0.070936,50,Panobinostat (LBH589),0.360481,BMS-754807,0.827285,Trichostatin A (TSA),0.328131,0.2675150060024009,0.06035887431993925,-0.27942376950780307,0.04939239054387867,0,0,0,0
MCF7,"Tozasertib (VX-680, MK-0457)",0.933808,3.393763,50,Panobinostat (LBH589),0.360481,Alisertib (MLN8237),0.945417,Trichostatin A (TSA),0.328131,0.36153661464585835,0.009888661027207738,-0.3618247298919568,0.009825642138603213,0,0,0,0
MCF7,Trametinib (GSK1120212),0.979691,3.870711,50,Panobinostat (LBH589),0.360481,Pelitinib (EKB-569),0.991682,Trichostatin A (TSA),0.328131,0.4193517406962785,0.002434692302287245,-0.43231692677070827,0.0017168730635946546,0,0,0,0
MCF7,Trichostatin A (TSA),0.328131,-3.86416,50,Panobinostat (LBH589),0.360481,AR-42,0.924158,Dacinostat (LAQ824),0.348357,0.2041296518607443,0.1550470197052711,-0.1996158463385354,0.1645807209976927,0,0,0,0
MCF7,Tubastatin A HCl,0.98566,5.565671,50,Panobinostat (LBH589),0.360481,"Rucaparib (AG-014699,PF-01367338) phosphate",0.972229,Trichostatin A (TSA),0.328131,0.4389435774309724,0.0014284976898741887,-0.46477791116446576,0.0006727091055582143,0,0,0,0
MCF7,UNC0379,0.934314,4.107352,50,Panobinostat (LBH589),0.360481,PCI-34051,0.97438,Trichostatin A (TSA),0.328131,0.39860744297719086,0.004141653616637194,-0.3807442977190876,0.006376817365185929,0,0,0,0
MCF7,Veliparib (ABT-888),0.973617,5.732295,50,Panobinostat (LBH589),0.360481,PD173074,0.983312,Trichostatin A (TSA),0.328131,0.5293157262905162,7.739604950564266e-05,-0.5240336134453781,9.393320237918266e-05,0,0,0,0
MCF7,XAV-939,0.972697,5.673365,50,Panobinostat (LBH589),0.360481,"Fluorouracil (5-Fluoracil, 5-FU)",0.860799,Trichostatin A (TSA),0.328131,0.4666026410564225,0.0006364223108965655,-0.46967587034813923,0.0005792734681065039,0,0,0,0
MCF7,ZM 447439,0.931153,4.013101,50,Panobinostat (LBH589),0.360481,BMS-536924,0.927373,Trichostatin A (TSA),0.328131,0.3855462184873949,0.005691285306550983,-0.37690276110444176,0.00697597342878712,0,0,0,0
