cell_line,query_drug,n_cand,query_magnitude,query_auc,energy_rho,delta_cosine_rho,magsim_rho,magonly_rho,energy_vs_candmag_rho
A549,Ruxolitinib (INCB018424),48,0.8359175653774791,0.942,0.7501085540599217,-0.21504559270516715,-0.7849544072948327,0.7661745549283543,-0.9770950933564915
A549,Selisistat (EX 527),48,0.8162695785221968,0.980356,0.726118106817195,0.05579678679982631,-0.7731220147633522,0.7629179331306991,-0.978072079895788
A549,Sorafenib Tosylate,48,1.1561433226755937,0.855526,0.7059270516717325,-0.04939209726443768,-0.42412071211463304,0.7647633521493703,-0.9096830221450282
A549,Tanespimycin (17-AAG),48,2.368080686752237,0.527859,0.5261615284411637,0.09780720798957883,0.33586626139817627,0.7593356491532784,-0.7016934433347808
A549,"Temsirolimus (CCI-779, NSC 683864)",48,1.7296462325558397,0.774519,0.5399478940512376,-0.12776812852800695,0.10529743812418584,0.7648719062092922,-0.7631350412505428
A549,Trametinib (GSK1120212),48,4.344142497833402,0.534255,0.05308293530178028,0.4545158488927486,0.6149587494572296,0.756079027355623,-0.0882544507164568
A549,Trichostatin A (TSA),48,2.999146137722268,0.7418,0.4165219279201042,0.2230785931393834,0.516391663048198,0.7608554059921842,-0.35052105948762485
A549,Tubastatin A HCl,48,0.8738007490358148,0.978638,0.7612896222318714,-0.4545158488927486,-0.770516717325228,0.7651975683890576,-0.978072079895788
A549,UNC0379,48,2.071595071233373,0.899843,0.5437472861485019,0.03354320451584889,0.27594442032132,0.7756187581415545,-0.5919452887537994
A549,Veliparib (ABT-888),48,0.7558357061277755,0.977367,0.748588797221016,-0.3926400347372992,-0.7668258792878853,0.7633521493703865,-0.9754667824576638
A549,XAV-939,48,1.1939919355982505,0.942597,0.6936604429005645,0.011615284411636995,-0.36712983065566657,0.766283108988276,-0.9305254016500217
A549,ZM 447439,48,1.4954642993094616,0.828413,0.48393399913156754,-0.039296569691706466,-0.06578376031263569,0.7631350412505428,-0.625054277029961
K562,(+)-JQ1,51,3.6309406018278247,0.892312,0.12669683257918551,0.4367420814479637,0.5657013574660633,0.7709502262443437,-0.27647058823529413
K562,A-366,51,0.9570953981534717,0.967305,0.7541176470588234,-0.05013574660633484,-0.7561085972850679,0.7542986425339366,-0.9901357466063347
K562,ABT-737,51,1.022053454856976,0.853671,0.7229864253393664,-0.2671493212669683,-0.7919457013574661,0.7746606334841629,-0.9660633484162896
K562,AR-42,51,3.8525296547007075,0.433041,-0.011131221719457011,0.4105882352941176,0.5369230769230768,0.747420814479638,-0.017375565610859726
K562,AZ 960,51,1.1912450618002253,0.881096,0.7190950226244344,0.5638914027149322,-0.5623529411764705,0.761628959276018,-0.9115837104072397
K562,AZD1480,51,1.1705555791461266,0.839407,0.6506787330316742,0.18760180995475112,-0.6019909502262443,0.7618099547511312,-0.9156561085972851
K562,Alisertib (MLN8237),51,2.0673503412175185,0.889695,0.4224434389140271,0.2681447963800905,0.0551131221719457,0.7628054298642535,-0.6665158371040725
K562,Avagacestat (BMS-708163),51,0.9574580523108567,0.980039,0.7486877828054299,-0.6069683257918552,-0.7503167420814479,0.7512217194570135,-0.9871493212669682
K562,BMS-536924,51,1.1106690935254768,0.890638,0.7436199095022624,0.049592760180995475,-0.6904072398190045,0.7617194570135746,-0.9598190045248869
K562,BMS-754807,51,1.091948894211018,0.933815,0.6928506787330316,-0.13447963800904975,-0.7144796380090498,0.7552941176470588,-0.9179185520361991
K562,Belinostat (PXD101),51,2.936090803779197,0.354895,0.2253393665158371,0.4204524886877828,0.3966515837104072,0.751945701357466,-0.3012669683257918
K562,Bosutinib (SKI-606),51,4.15093750435414,0.612954,-0.2195475113122172,0.7116742081447963,0.6990045248868778,0.7486877828054299,0.040452488687782805
K562,CUDC-101,51,2.1650178767084634,0.460299,0.46009049773755656,0.40660633484162895,0.04760180995475113,0.7589140271493212,-0.5828959276018099
K562,Cediranib (AZD2171),51,1.4388436919031478,0.839265,0.6120361990950225,0.4538461538461538,-0.3735746606334841,0.7587330316742081,-0.8294117647058823
K562,Crizotinib (PF-02341066),51,2.2138706180675745,0.768596,0.3010859728506788,0.48099547511312213,0.06552036199095022,0.7562895927601809,-0.5620814479638009
K562,Dacinostat (LAQ824),51,6.784978661463739,0.469534,-0.13954751131221718,0.41104072398190045,0.7466968325791855,0.7466968325791855,0.1371945701357466
K562,Dasatinib,51,5.2360903472952245,0.204693,-0.2784615384615384,0.7191855203619908,0.7352036199095022,0.7438914027149321,0.15167420814479637
K562,Entinostat (MS-275),51,3.1044012380917403,0.905502,0.3198190045248869,0.4893212669683258,0.4733031674208145,0.7709502262443437,-0.5914027149321266
K562,Enzastaurin (LY317615),51,1.2565262938051815,0.692338,0.7067873303167421,0.5734841628959275,-0.5357466063348416,0.7667873303167421,-0.9431674208144795
K562,"Fedratinib (SAR302503, TG101348)",51,1.6269382988835162,0.762607,0.6153846153846153,0.3075113122171946,-0.2647963800904977,0.7586425339366515,-0.7527601809954751
K562,Flavopiridol HCl,51,2.6518656056232492,0.610383,0.3980090497737556,0.46316742081447965,0.3114932126696833,0.751764705882353,-0.6035294117647058
K562,"Fluorouracil (5-Fluoracil, 5-FU)",51,0.9223231120883258,0.967441,0.7457634790026115,-0.34117647058823525,-0.7550226244343892,0.7550226244343892,-0.9715604427926141
K562,Fulvestrant,51,0.9973891403198711,0.9906,0.7320361990950226,-0.37438914027149317,-0.747601809954751,0.7506787330316742,-0.9747511312217195
K562,GSK-LSD1 2HCl,51,2.382040269057342,0.959105,0.7334841628959275,-0.13266968325791853,0.123710407239819,0.7716742081447963,-0.8589140271493212
K562,GSK1070916,51,1.7546099306955092,0.922582,0.6139366515837104,-0.20633484162895926,-0.1758371040723982,0.762081447963801,-0.8233484162895928
K562,IOX2,51,1.0144582307780248,0.971812,0.7613574660633483,0.02823529411764706,-0.7495022624434389,0.7529411764705882,-0.9644343891402716
K562,Lenalidomide (CC-5013),51,0.9405239034005107,0.984845,0.7681447963800905,-0.3595475113122172,-0.7495927601809954,0.7489592760180995,-0.9873303167420815
K562,Linifanib (ABT-869),51,1.0167013305256527,0.984369,0.7514027149321266,-0.4071493212669683,-0.7435294117647058,0.7521266968325792,-0.9866063348416289
K562,"Luminespib (AUY-922, NVP-AUY922)",51,4.294592408371558,0.657193,-0.29131221719457007,0.7086877828054299,0.7122171945701357,0.7486877828054299,0.13773755656108597
K562,Navitoclax (ABT-263),51,1.291643117275665,0.879968,0.6580090497737556,-0.32443438914027145,-0.49647058823529405,0.7624434389140271,-0.8850678733031673
K562,Nilotinib (AMN-107),51,4.000320967952316,0.411218,-0.2369230769230769,0.6794570135746605,0.6699547511312217,0.747420814479638,0.09149321266968324
K562,Obatoclax Mesylate (GX15-070),51,1.653539088311386,0.836853,0.5881447963800904,0.2724886877828054,-0.23248868778280543,0.7577375565610859,-0.7950226244343891
K562,PCI-34051,51,1.061429051219942,0.985863,0.6690497737556561,-0.05266968325791855,-0.7295927601809955,0.7561990950226244,-0.9494117647058822
K562,PD173074,51,1.1101366532674573,0.980083,0.7285067873303167,0.14316742081447964,-0.6507692307692307,0.7561990950226244,-0.9459728506787329
K562,PFI-1 (PF-6405761),51,2.3375524150999967,0.951003,0.3324886877828054,0.3754751131221719,0.11321266968325791,0.7709502262443437,-0.5063348416289593
K562,Panobinostat (LBH589),51,6.867352658509765,0.342774,-0.15954751131221717,0.428868778280543,0.7434389140271493,0.7434389140271493,0.15737556561085972
