dataset,cell_line,perturbation,moa,n_cells,sil_raw_k2,var_ratio_k2,gap_best_k,gap_k2,gap_k3,gap_k4,gap_k5,sil_raw_kmeans_k2,sil_pca10_kmeans_k2,sil_pca50_kmeans_k2,sil_gmm2_raw,sil_gmm2_pca50,sil_raw_kmeans_bestk3,sil_response_kmeans_k2,sil_raw_kmeans_bestk4,sil_raw_kmeans_bestk5
SciPlex3,MCF7,UNC1999,Histone Methyltransferase,120,0.03924630582332611,0.048131278228711195,2,0.9200221452544888,0.8872581032953164,0.8800201678814137,0.8748261535102344,0.03924630582332611,0.14407530426979065,0.05484190955758095,0.03649717941880226,0.05484190955758095,,0.03924630954861641,0.034051720052957535,
SciPlex3,MCF7,G007-LK,PARP,120,0.04806846007704735,0.05765679323242004,2,0.8818213823480416,0.8774229658063337,0.8378258498128073,0.8713464836469225,0.04806846007704735,0.1591649353504181,0.07161594182252884,0.04081416875123978,0.06123422831296921,0.04288533702492714,0.04806845635175705,,
SciPlex3,MCF7,Barasertib (AZD1152-HQPA),Aurora Kinase,120,0.047255389392375946,0.05034235548388842,2,0.895337881793635,0.8836718500593452,0.9097041833003239,0.9109299008248453,0.047255389392375946,0.136717289686203,0.058814868330955505,0.03769669681787491,0.055465467274188995,,0.047255389392375946,,0.023817140609025955
SciPlex3,MCF7,Carmofur,DNA/RNA Synthesis,120,0.03771936148405075,0.043576930141658816,3,0.8014916518057547,0.8320702793651122,0.8222981775682214,0.8350906347539944,0.03771936148405075,0.13194675743579865,0.05312898010015488,0.03665709123015404,0.05312898010015488,,0.03771936520934105,,0.024420423433184624
SciPlex3,MCF7,EED226,Epigenetic Reader Domain,120,0.048061616718769073,0.05689494542251637,3,0.8562177003701699,0.8978623655952198,0.8735119659152772,0.8998013177816411,0.048061616718769073,0.15319561958312988,0.06506124883890152,0.04712599888443947,0.06542910635471344,0.02505388669669628,0.048061616718769073,,
SciPlex3,MCF7,Tacedinaline (CI994),HDAC,120,0.035450782626867294,0.043767027301564704,3,0.9149818870484214,0.9327301325826287,0.9004186830034708,0.8855148055806303,0.035450782626867294,0.1370256394147873,0.04953223466873169,0.0631924420595169,0.08617468178272247,0.03077561780810356,0.03545079007744789,,
SciPlex3,MCF7,Droxinostat,HDAC,120,0.047079604119062424,0.049122490758813565,2,1.0125679766535995,0.9911361324227528,0.9451603109467897,0.9810646276082782,0.047079604119062424,0.14399318397045135,0.0642312541604042,0.027781151235103607,0.0642312541604042,0.027430802583694458,0.04707960784435272,,
SciPlex3,MCF7,Glesatinib?(MGCD265),"c-Met,Tie-2,VEGFR",120,0.041318558156490326,0.04737311151080341,2,0.9240651260056296,0.9136828326461508,0.8989720359278106,0.9080559115029967,0.041318558156490326,0.13580641150474548,0.057406265288591385,0.032777510583400726,0.05502225458621979,,0.04131855070590973,0.030896786600351334,
SciPlex3,MCF7,Lomustine ,DNA/RNA Synthesis,120,0.044324811547994614,0.0480561676066597,2,0.9132077226002959,0.9210613959111065,0.9011929525397715,0.9111341856028883,0.044324811547994614,0.15481312572956085,0.06829247623682022,0.038147617131471634,0.06829247623682022,0.018988152965903282,0.044324811547994614,,
SciPlex3,MCF7,Alisertib (MLN8237),Aurora Kinase,120,0.034208718687295914,0.04074625779447893,2,1.0079494539047928,0.9743305842304135,0.9674161456336172,0.9523379610806355,0.034208718687295914,0.11874989420175552,0.044720184057950974,0.026608483865857124,0.06652966141700745,0.019093500450253487,0.034208718687295914,,
SciPlex3,MCF7,Altretamine,DNA alkylator,120,0.04221474006772041,0.046758334178584014,2,1.0026786207069165,0.9787068677608524,0.9136283089693187,0.9040584971284797,0.04221474006772041,0.14551058411598206,0.060982901602983475,0.009011662565171719,0.028537249192595482,0.029579566791653633,0.04221474006772041,,
SciPlex3,MCF7,Tanespimycin (17-AAG),HSP (e.g. HSP90),120,0.07967357337474823,0.04629599664250163,2,1.0633336550622694,1.03730985454329,1.0204507599021486,1.0509625635542648,0.07967357337474823,0.1479572355747223,0.07096624374389648,0.042940378189086914,0.09369929134845734,0.044430509209632874,0.07967358082532883,,
SciPlex3,MCF7,"Temsirolimus (CCI-779, NSC 683864)",mTOR,120,0.041451744735240936,0.049951676772868644,2,0.869640430846669,0.8587762376556114,0.8369942820923573,0.8641871143335571,0.041451744735240936,0.1391354501247406,0.05464528128504753,0.029026752337813377,0.05464528128504753,,0.04145174100995064,0.028531933203339577,
SciPlex3,MCF7,Trametinib (GSK1120212),MEK,120,0.05460217967629433,0.05360838358307687,2,1.0020914025131589,0.9953770311691308,0.9945055534196996,1.0064074497958302,0.05460217967629433,0.15944726765155792,0.07289168983697891,0.03931461647152901,0.049176111817359924,0.03214119374752045,0.05460217967629433,,
SciPlex3,MCF7,Linifanib (ABT-869),"CSF-1R,PDGFR,VEGFR",120,0.04991142824292183,0.05565046806600305,2,0.9798383270965108,0.9546702902178872,0.9352548821200131,0.9136336303680377,0.04991142824292183,0.17216438055038452,0.06951016932725906,0.01690988801419735,0.07552098482847214,,0.04991142824292183,0.024698136374354362,
SciPlex3,MCF7,Fulvestrant,Estrogen/progestogen Receptor,120,0.02695515751838684,0.03594212295554337,3,0.8845333260519261,0.9084683096823749,0.8861945709886125,0.8842786354046588,0.02695515751838684,0.13064956665039062,0.03795475885272026,0.1396692544221878,0.19508475065231323,,0.02695515565574169,,0.02443734183907509
SciPlex3,MCF7,GSK-LSD1 2HCl,Histone Demethylase,120,0.04116230458021164,0.049152198307478835,2,0.7937683622092226,0.7817421633289214,0.7588802713143874,0.756809341707875,0.04116230458021164,0.14025679230690002,0.055251576006412506,0.03793267533183098,0.055251576006412506,,0.04116230830550194,0.04114226624369621,
SciPlex3,MCF7,Mercaptopurine (6-MP),DNA/RNA Synthesis,120,0.046071168035268784,0.052096187057045946,2,0.8776326212104717,0.8514904954382683,0.841660176234944,0.8290341558627858,0.046071168035268784,0.15760871767997742,0.061753351241350174,0.033205967396497726,0.054695796221494675,0.043793316930532455,0.04607117176055908,,
SciPlex3,MCF7,Selisistat (EX 527),Sirtuin,120,0.039351508021354675,0.048039875124562086,2,0.8891178362603878,0.8811499221363057,0.8624350356083745,0.8633638295857473,0.039351508021354675,0.13929349184036255,0.05394010245800018,0.0929090827703476,0.05184789001941681,0.03320295736193657,0.03935150429606438,,
SciPlex3,MCF7,Abexinostat (PCI-24781),HDAC,120,0.02556585893034935,0.03420484824381722,2,0.9363259919991247,0.9124611200212271,0.8971038469602242,0.9192924554407575,0.02556585893034935,0.11852576583623886,0.03705160319805145,0.02441730536520481,0.0332825742661953,0.015559311956167221,0.0255658570677042,,
SciPlex3,MCF7,Amisulpride,Dopamine Receptor,120,0.03809947520494461,0.0387177509931039,2,0.9902551363375238,1.0016119231759468,0.976831034402613,0.9907960325265073,0.03809947520494461,0.16613095998764038,0.05509412661194801,0.11392145603895187,-1.0,,0.03809947520494461,0.014856014400720596,
SciPlex3,MCF7,XAV-939,Wnt/beta-catenin,120,0.034123290330171585,0.043501906454278684,2,0.9939613824450984,0.9642162857056835,0.908508128033084,0.9253864670278027,0.034123290330171585,0.12364663928747177,0.045380886644124985,0.013456904329359531,0.028028281405568123,0.018484611064195633,0.034123294055461884,,
SciPlex3,MCF7,WP1066,JAK,120,0.0456666573882103,0.0564443504175024,2,0.8822082592081326,0.884625243150321,0.9111014454364632,0.9111236822560134,0.0456666573882103,0.15372340381145477,0.0640905573964119,0.04805804789066315,0.06462821364402771,0.02796473167836666,0.04566665366292,,
SciPlex3,MCF7,A-366,Histone Methyltransferase,120,0.03813861310482025,0.045497626214001656,2,0.8840820565787695,0.8654009411616297,0.8396174569727464,0.8445323323959624,0.03813861310482025,0.13086560368537903,0.051468122750520706,0.04365959390997887,0.053250424563884735,,0.03813862055540085,0.02314620465040207,
SciPlex3,MCF7,TG101209,"c-RET,FLT3,JAK",120,0.03682006895542145,0.03787368556167568,2,1.1160665160039027,1.0852240886871414,1.0572010968181846,1.0587384301287912,0.03682006895542145,0.15636204183101654,0.059072040021419525,-0.0042564887553453445,0.059072040021419525,,0.03682006895542145,,0.0031368848867714405
SciPlex3,MCF7,Belinostat (PXD101),HDAC,120,0.043037813156843185,0.046426979416973664,2,0.8719106698887824,0.8595748329973176,0.8706172187615184,0.8642721333957404,0.043037813156843185,0.1558275818824768,0.05971875414252281,0.028994571417570114,0.060479480773210526,0.018539590761065483,0.043037813156843185,,
SciPlex3,MCF7,Danusertib (PHA-739358),"Aurora Kinase,Bcr-Abl,c-RET,FGFR",120,0.054622821509838104,0.06561499445965568,2,1.0983081484835555,1.0970103372555382,1.055862189621683,1.0555079037398212,0.054622821509838104,0.1761082261800766,0.07229612022638321,0.04707067087292671,0.07130653411149979,0.03489933907985687,0.054622821509838104,,
SciPlex3,MCF7,PHA-680632,Aurora Kinase,120,0.04588776081800461,0.04111141355735385,2,0.9730693591349411,0.943412531973669,0.9392615209118205,0.9335118929265995,0.04588776081800461,0.11239422857761383,0.05117311701178551,0.017202263697981834,0.05117311701178551,0.023640410974621773,0.04588775709271431,,
SciPlex3,MCF7,Sorafenib Tosylate,"PDGFR,Raf,VEGFR",120,0.032727282494306564,0.041363501338875217,2,0.9289472013256308,0.8910842297353732,0.8758497169282151,0.89405368270039,0.032727282494306564,0.13190723955631256,0.043769918382167816,0.01683981344103813,0.0432174988090992,0.015243186615407467,0.032727282494306564,,
SciPlex3,MCF7,Entinostat (MS-275),HDAC,120,0.03389338031411171,0.035373412589755064,2,0.9800596465827365,0.9298593282998677,0.9379933324598575,0.9404778477089373,0.03389338031411171,0.1377389281988144,0.041080258786678314,0.016371915116906166,0.03905455395579338,,0.03389338031411171,0.01792818307876587,
SciPlex3,MCF7,AZD1480,JAK,120,0.06940538436174393,0.05137940360383456,3,0.9380969662187155,0.9803687411329509,0.9853462999506544,0.9657633553972982,0.06940538436174393,0.19543243944644928,0.09115369617938995,0.0362333208322525,0.07240099459886551,,0.06940538436174393,0.019806047901511192,
SciPlex3,MCF7,AT9283,"Aurora Kinase,Bcr-Abl,JAK",120,0.0402909517288208,0.051201999430482245,3,0.8511197285306302,0.8956013124998599,0.8829894911775256,0.877712252471925,0.0402909517288208,0.1458938866853714,0.055711779743433,0.03209014609456062,0.055711779743433,0.0357448011636734,0.0402909517288208,,
SciPlex3,MCF7,Navitoclax (ABT-263),Bcl-2,120,0.05016426369547844,0.046186347884636686,2,1.121690519425238,1.0879538171665981,1.070063355161249,1.1042436907949185,0.05016426369547844,0.16504798829555511,0.07069280743598938,0.04540550336241722,0.2586755156517029,0.008575927466154099,0.05016426369547844,,
SciPlex3,MCF7,"Patupilone (EPO906, Epothilone B)",Microtubule Associated,120,0.05626240745186806,0.06177716580989511,2,0.9563746562790545,0.965474007452757,0.9377219110090653,0.9829270198379803,0.05626240745186806,0.18200702965259552,0.07588646560907364,0.04918705299496651,0.07462643086910248,,0.05626240745186806,0.04146449640393257,
SciPlex3,MCF7,Nilotinib (AMN-107),Bcr-Abl,120,0.034875351935625076,0.04150605843003054,2,0.9480677800460082,0.951468313585984,0.8885380444157427,0.9216966396976201,0.034875351935625076,0.13365627825260162,0.04683757573366165,0.0438627190887928,0.05972065031528473,0.030560782179236412,0.034875351935625076,,
