condition,query,n_cand,query_magnitude,energy_rho,mean_cosine_ctrl_rho,magnitude_match_rho,magnitude_only_rho,energy_rho_partial_magmatch
Co-culture,NGFR,218,0.8302053213119507,0.23686473782757433,0.3333870012144771,0.17034938369774402,-0.1502609938557998,0.20431420266420489
Co-culture,NME1,218,0.8679532408714294,0.2524959908355336,0.2630191426382242,0.12261122427054634,-0.18050419622985064,0.24468441838012955
Co-culture,NMRK1,218,0.7371892929077148,0.43631350305125066,0.6559375305863486,0.011316007874120631,0.10957108745219842,0.5314423320277366
Co-culture,NOLC1,218,1.1741857528686523,0.3584456546101192,0.4748176981228017,0.3079380008559834,0.12524519754509983,0.42036950915317295
Co-culture,NONO,218,1.037050485610962,0.2699145001155403,0.43423667188094534,0.281507920742192,0.0900097239250835,0.3118866441686276
Co-culture,NPC1,218,1.1929510831832886,0.027010975181398143,0.3087430190731402,0.1363996226259926,0.24334658235017828,0.12338960159706347
Co-culture,NPC2,218,0.6285674571990967,0.08833021509340466,0.3284109461628141,-0.18178759217892945,0.1984416237275355,0.3797989076076538
Co-culture,NSG1,218,0.6744803786277771,0.01981792688697139,0.10917842389016075,-0.0529927855309848,0.07086303165227383,0.081775372118223
Co-culture,NT5E,218,0.5972871780395508,0.03606715361610364,0.17206482539502357,-0.2147273160055575,0.21823696377244275,0.30662564741707876
Co-culture,NUP50-AS1,218,0.7785726189613342,0.4965427652896994,0.635946437910219,0.12853013519093698,-0.051660740998998644,0.5164863676825147
Co-culture,P2RX4,218,1.2053885459899902,0.4005719685046834,0.534109895990488,0.22930567468345117,0.08045722718135322,0.466684118380535
Co-culture,PABPC1,218,1.946298360824585,-0.0070743147644395064,0.028837605817907192,0.24785468436625663,0.36639853961587304,0.02683490582155584
Co-culture,PAICS,218,1.623076319694519,0.09155608039412697,0.2248995030315596,-0.1864300569477995,-0.0892510376916479,0.019937231745053626
Co-culture,PET100,218,1.4075425863265991,0.20502424031473315,0.18256712780503961,-0.08560239397359887,-0.21503426539771084,0.17701771445482603
Co-culture,PFDN4,218,0.908927321434021,0.2737241474770208,0.37115104284608114,0.1757563261980148,0.136378773233318,0.2553778402229958
Co-culture,PFN1,218,1.382274866104126,0.3089758372913395,0.3916459958451793,0.2595963673408163,0.19563969701199244,0.4115513743514246
Co-culture,PIK3IP1,218,0.8476047515869141,0.2653971317027178,0.44656329614998586,0.1219764760935651,0.06970241546005632,0.25339598961931903
Co-culture,PPIA,218,0.8686525225639343,0.12025762914470808,0.12594249390010476,0.15013358090056633,-0.17574474320208447,0.1039776587174496
Co-culture,PROS1,218,0.75316321849823,0.2512994673559321,0.38859040151876234,0.059496637745856326,-0.17916172700152722,0.24873846695573962
Co-culture,PSAP,218,0.8150068521499634,0.23944028630858638,0.3793355877704412,-0.029814052374832693,0.15748762501672295,0.2778778098176315
Co-culture,PSMB8-AS1,218,0.9117978811264038,-0.22343425404637485,-0.17283046142601735,-0.0712568535139045,0.34778119025707876,-0.22673309128732838
Co-culture,PTMA,218,1.1174649000167847,0.06478892734766674,0.1717636675008354,0.3057001660422466,0.20988330710750003,0.1248421092867249
Co-culture,PUF60,218,1.285268783569336,0.06251169158651715,0.1418123566242285,-0.18303971403899646,-0.09276300205771922,0.0064870568707725675
Co-culture,PYGB,218,0.8337705731391907,0.2586947060191454,0.41606410956587503,0.035029875442253264,0.25843111795022666,0.27217550092113774
Co-culture,RAB27A,218,0.6768018007278442,0.1187923105123217,0.22411185930829822,-0.02774648760127158,0.04523101995808113,0.18530418974337293
Co-culture,RB1,218,0.9105384945869446,0.4270830135943831,0.48773737178347437,0.23489678681901394,-0.004842271448667926,0.3888290112349269
Co-culture,RBP7,218,0.7884911298751831,0.34231643190341676,0.48607289526828823,0.10746298219288121,-0.028851505413023573,0.3668027861738411
