separation_scale,cells_per_source,seed,n_total,ari_kmeans_k2,acc_kmeans_k2,k_kmeans_k2,ari_gmm_k2,acc_gmm_k2,k_gmm_k2,ari_leiden,acc_leiden,k_leiden,ari_hdbscan,acc_hdbscan,k_hdbscan,probe_linear_acc,probe_linear_auc,probe_linear_ari,probe_forest_acc,probe_forest_auc,probe_forest_ari,probe_knn_acc,probe_knn_auc,probe_knn_ari,probe_acc,probe_auc,probe_ari
1.5,100,3,200,0.12538073116542112,0.68,2,0.11122131344573971,0.67,2,0.08805346200739848,0.69,5,-0.0007698931470944343,0.525,2,0.8,0.8924000000000001,0.35681445389830235,0.715,0.80505,0.18083339351484076,0.69,0.7607000000000002,0.14021947923673095,0.8,0.8924000000000001,0.35681445389830235
1.5,100,4,200,0.14041914716597065,0.69,2,0.181289858547111,0.715,2,0.0990013694781048,0.695,4,0.0,0.5,0,0.8,0.8815,0.35683134396797084,0.715,0.78945,0.1809028884167917,0.74,0.7914999999999999,0.2265131313131313,0.8,0.8815,0.35683134396797084
1.5,100,5,200,0.19861833271812562,0.725,2,0.21729760238201853,0.735,2,0.08565154104298835,0.7,5,0.0,0.5,0,0.8,0.8676,0.3568001616079996,0.745,0.8050999999999999,0.23640134298746543,0.67,0.73,0.1115371800696653,0.8,0.8676,0.3568001616079996
1.5,100,6,200,0.19865070456529632,0.725,2,-0.0007644794674394616,0.505,2,0.13707610721955896,0.73,4,0.0,0.5,0,0.78,0.8908,0.3101458761355854,0.765,0.84275,0.27726854683406726,0.69,0.7808,0.14012221604969446,0.78,0.8908,0.3101458761355854
1.5,100,7,200,0.15584113895796173,0.7,2,0.14794204280284343,0.695,2,0.13689718081993735,0.73,4,0.005724104228120935,0.555,2,0.81,0.8857999999999999,0.3814158755806908,0.78,0.84075,0.31027267218743687,0.615,0.73075,0.04908918908691868,0.81,0.8857999999999999,0.3814158755806908
1.5,100,8,200,0.29913337483924035,0.775,2,0.2774291180600684,0.765,2,0.14765129889425543,0.73,4,0.0,0.5,0,0.845,0.9235,0.47347558003940243,0.79,0.8631,0.333242450681014,0.61,0.7241000000000001,0.04378711371440113,0.845,0.9235,0.47347558003940243
1.5,100,9,200,0.11171475640187029,0.67,2,0.14817948538019962,0.695,2,0.0700958100856822,0.655,3,-0.0006156180588686029,0.525,2,0.79,0.8791999999999999,0.3330700421804548,0.725,0.8118000000000001,0.19865070456529632,0.675,0.75375,0.11861348408181807,0.79,0.8791999999999999,0.3330700421804548
1.5,200,0,400,0.2687321962370318,0.76,2,0.200728381404798,0.725,2,0.07979020478777468,0.695,6,0.0,0.5,0,0.8725,0.9409749999999999,0.5539170876841297,0.8025,0.8928375000000001,0.36448099942058476,0.7375,0.8257,0.22374608615628466,0.8725,0.9409749999999999,0.5539170876841297
1.5,200,1,400,0.22859735381628649,0.74,2,0.23843868931121925,0.745,2,0.09959306159610264,0.725,5,0.0,0.5,0,0.87,0.936225,0.5464771045905388,0.79,0.8717749999999999,0.33479951763641846,0.6375,0.7760875,0.07349153429680086,0.87,0.936225,0.5464771045905388
1.5,200,2,400,0.14236424354652358,0.69,2,0.13885658047776683,0.6875,2,0.09439007073641753,0.69,5,0.0,0.5,0,0.8225,0.903675,0.41456394087273823,0.7425,0.82115,0.23340982397605758,0.7175,0.7793249999999999,0.18719405461805222,0.8225,0.903675,0.41456394087273823
1.5,200,3,400,0.15392789684657604,0.6975,2,0.20068923056518262,0.725,2,0.13267723093770947,0.73,6,0.0,0.5,0,0.8375,0.9211499999999999,0.45427234082271967,0.7775,0.8646624999999999,0.3063745974522713,0.7125,0.8009124999999999,0.17857044822824708,0.8375,0.9211499999999999,0.45427234082271967
1.5,200,4,400,0.11696730143531836,0.6725,2,0.1387540565096018,0.6875,2,0.08327629919571801,0.685,5,0.0,0.5,0,0.82,0.9169249999999999,0.40812610048481635,0.78,0.8512875000000001,0.3119445281881218,0.6675,0.7639875,0.11007943273761345,0.82,0.9169249999999999,0.40812610048481635
