separation_scale,cells_per_source,seed,n_total,ari_kmeans_k2,acc_kmeans_k2,k_kmeans_k2,ari_gmm_k2,acc_gmm_k2,k_gmm_k2,ari_leiden,acc_leiden,k_leiden,ari_hdbscan,acc_hdbscan,k_hdbscan,probe_linear_acc,probe_linear_auc,probe_linear_ari,probe_forest_acc,probe_forest_auc,probe_forest_ari,probe_knn_acc,probe_knn_auc,probe_knn_ari,probe_acc,probe_auc,probe_ari
2.0,200,3,400,0.34659077206901956,0.795,2,0.24335435866196045,0.7475,2,0.1763894584658733,0.77,5,0.0,0.5,0,0.9475,0.9875,0.8005271803333244,0.88,0.9607749999999999,0.5765540141261221,0.795,0.8794,0.3464646875791454,0.9475,0.9875,0.8005271803333244
2.0,200,4,400,0.22879206043879458,0.74,2,0.1961857460689657,0.7225,2,0.11380733933988492,0.7325,5,0.0,0.5,0,0.9325,0.9875,0.7475927958655844,0.865,0.9516,0.5317321470162805,0.735,0.8402,0.21899917317561615,0.9325,0.9875,0.7475927958655844
2.0,200,5,400,0.2534031165070436,0.7525,2,0.1747140587199565,0.71,2,0.08849000615148354,0.685,6,0.0,0.5,0,0.9225,0.97555,0.7133073522575213,0.8475,0.9319375000000001,0.48174042415031093,0.765,0.8675750000000001,0.2790939406091049,0.9225,0.97555,0.7133073522575213
2.0,200,6,400,0.258397660192909,0.755,2,0.1703653396005143,0.7075,2,0.15965647376389508,0.75,5,0.0,0.5,0,0.9475,0.9849249999999999,0.8005256767739848,0.885,0.9555375,0.5918854415274463,0.7975,0.8716125,0.3524361558538271,0.9475,0.9849249999999999,0.8005256767739848
2.0,200,7,400,0.27395313607166477,0.7625,2,0.27399763567771745,0.7625,2,0.18895564474036697,0.7575,5,0.0,0.5,0,0.94,0.98925,0.7738352115408001,0.8775,0.956825,0.5689524857243483,0.7,0.87365,0.1583766583364806,0.94,0.98925,0.7738352115408001
2.0,200,8,400,0.300840415934666,0.775,2,0.2143943320553553,0.7325,2,0.18572396483842749,0.765,4,0.0,0.5,0,0.94,0.9828499999999999,0.7738340750388943,0.855,0.9600374999999999,0.5028821234980434,0.8,0.8808375,0.3584630446726883,0.94,0.9828499999999999,0.7738340750388943
2.0,200,9,400,0.1787111809229138,0.7125,2,0.11034317514095134,0.6675,2,0.0706796144357106,0.6875,6,0.0012604949475725589,0.53,2,0.9225,0.981475,0.7133069200582286,0.8525,0.9458625,0.49577267751654625,0.7575,0.8418,0.263417742818988,0.9225,0.981475,0.7133069200582286
2.0,400,0,800,0.36832876574240475,0.80375,2,0.3017212312755816,0.775,2,0.14589269988995981,0.7725,6,0.0,0.5,0,0.96875,0.99579375,0.8787545499767156,0.9,0.9729531249999999,0.639553389055275,0.7775,0.8743000000000001,0.3071736864154951,0.96875,0.99579375,0.8787545499767156
2.0,400,1,800,0.3241180621197396,0.785,2,0.20165279274464104,0.725,2,0.12357709943194138,0.7325,5,0.0,0.5,0,0.95,0.98918125,0.8097621967936202,0.8875,0.9619093750000001,0.6001295409831957,0.765,0.876471875,0.28004253877333757,0.95,0.98918125,0.8097621967936202
2.0,400,2,800,0.274765338237603,0.7625,2,0.1454186793268744,0.69125,2,0.17988386637142872,0.77625,6,0.0,0.5,0,0.95625,0.99021875,0.8324466103549193,0.90125,0.9710875000000001,0.6435631826417144,0.80125,0.877609375,0.3622361091939676,0.95625,0.99021875,0.8324466103549193
