drug,n_a,n_b,eff_a,eff_b,cross_cos,rel_a,rel_b,reliable,clears_gate,pair
Toremifene Citrate,480,433,1.0992145538330078,1.0712432861328125,0.011732339859008789,0.24723761677742004,0.40973821878433225,False,False,K562+A549
GSK J1,480,480,0.8908946514129639,0.7586839199066162,0.012178766541182995,0.006903580948710441,0.17619953900575638,False,False,K562+A549
Divalproex Sodium,480,480,1.011587381362915,0.7412060499191284,0.012373407371342182,0.1506195455789566,0.13083158880472184,False,False,K562+A549
SL-327,480,480,1.3122981786727905,1.4144097566604614,0.012765753082931042,0.36807624697685243,0.6401535391807556,False,False,K562+A549
SGI-1776 free base,434,480,1.1202865839004517,0.9529132843017578,0.013321349397301674,0.21690761148929597,0.34809028506278994,False,False,K562+A549
Lenalidomide (CC-5013),480,480,0.9405238628387451,0.7555060386657715,0.01495571993291378,0.05313450768589974,0.14334078431129454,False,False,K562+A549
BMS-536924,480,480,1.1106690168380737,1.3000702857971191,0.015278040431439877,0.24790974855422973,0.5701608300209046,False,False,K562+A549
Altretamine,480,480,0.988086998462677,0.8286339044570923,0.015575548633933067,0.15834785848855973,0.21828361004590988,False,False,K562+A549
BMS-911543,480,480,0.950913667678833,0.7737191319465637,0.016641918569803238,0.11910956650972367,0.2005035936832428,False,False,K562+A549
Aminoglutethimide,480,480,1.0002743005752563,0.8496909737586975,0.017270417883992195,0.1522411197423935,0.2264203757047653,False,False,K562+A549
TMP195,480,480,0.9556001424789429,0.7799137234687805,0.017403043806552887,0.10436040461063385,0.22123191356658936,False,False,K562+A549
Tie2 kinase inhibitor,480,480,1.0343692302703857,0.9145786762237549,0.018477976322174072,0.17492131292819976,0.3309848427772522,False,False,K562+A549
SRT3025 HCl,480,480,0.9388241767883301,0.7571491003036499,0.01872849091887474,0.10512861050665379,0.16551661640405654,False,False,K562+A549
Fulvestrant,480,480,0.9973893165588379,0.8120648860931396,0.01881231740117073,0.1196046806871891,0.1978050947189331,False,False,K562+A549
"Rucaparib (AG-014699,PF-01367338) phosphate",480,473,1.0237904787063599,0.9879685640335083,0.01914150081574917,0.1551351934671402,0.4179150998592377,False,False,K562+A549
Capecitabine,480,480,1.0146664381027222,0.8342441916465759,0.019398175179958344,0.16571557223796846,0.21231911778450013,False,False,K562+A549
Iniparib (BSI-201),480,480,1.0163689851760864,0.6711267232894897,0.02034146897494793,0.18454331904649734,0.028032876551151276,False,False,K562+A549
AICAR (Acadesine),480,480,0.9307191371917725,0.7961195111274719,0.020428460091352463,0.07425801567733288,0.16168733984231948,False,False,K562+A549
Cimetidine,480,480,0.9546492099761963,0.9787811636924744,0.020693307742476463,0.11574885994195938,0.3644846737384796,False,False,K562+A549
AZ 960,480,480,1.191245436668396,1.438547134399414,0.021072810515761375,0.2910945236682892,0.6740311741828918,False,False,K562+A549
Clevudine,480,480,0.9883911609649658,0.7657020092010498,0.021382251754403114,0.10092877373099327,0.1758553683757782,False,False,K562+A549
Entacapone,480,480,1.0409650802612305,0.794434130191803,0.021602021530270576,0.2103554740548134,0.21319193840026857,False,False,K562+A549
RG108,480,480,0.9805118441581726,0.7204201817512512,0.02217061072587967,0.11896958351135253,0.11326618269085884,False,False,K562+A549
IOX2,480,480,1.0144586563110352,0.7163761854171753,0.022263038903474808,0.15818799883127213,0.08816511109471321,False,False,K562+A549
Obatoclax Mesylate (GX15-070),473,480,1.6535394191741943,1.012320637702942,0.022783439606428146,0.5896672487258912,0.42148255109786986,False,False,K562+A549
SRT1720 HCl,480,480,1.0187325477600098,0.9252141714096069,0.02299557812511921,0.1475878804922104,0.29490363895893096,False,False,K562+A549
"Cerdulatinib (PRT062070, PRT2070)",480,480,1.3736534118652344,1.349849820137024,0.023081351071596146,0.4410507380962372,0.6378868460655213,False,False,K562+A549
Ruxolitinib (INCB018424),480,480,0.9346650838851929,0.8359178304672241,0.023562079295516014,0.063707953132689,0.23693351745605468,False,False,K562+A549
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),392,384,1.1416616439819336,1.1510347127914429,0.02454528771340847,0.18180021345615388,0.41819922924041747,False,False,K562+A549
Pelitinib (EKB-569),472,480,1.3532774448394775,1.3740001916885376,0.025357503443956375,0.46333023309707644,0.6510793805122376,False,False,K562+A549
Meprednisone,480,480,0.9226574301719666,0.938647985458374,0.027230458334088326,0.06608116552233696,0.3463881313800812,False,False,K562+A549
Flavopiridol HCl,304,480,2.6518659591674805,1.9387770891189575,0.027889857068657875,0.7587158560752869,0.8119552969932556,True,True,K562+A549
Maraviroc,480,480,1.00251042842865,0.7921971678733826,0.028800468891859055,0.15023973137140273,0.15818222090601922,False,False,K562+A549
Decitabine,480,480,1.6325868368148804,1.2845265865325928,0.029764343053102493,0.5393793165683747,0.5935938239097596,True,True,K562+A549
PCI-34051,480,480,1.0614289045333862,1.2140557765960693,0.030281413346529007,0.16587453782558442,0.5492733597755433,False,False,K562+A549
TG101209,460,480,1.8362785577774048,1.2442870140075684,0.030934512615203857,0.646243441104889,0.5529656052589417,True,True,K562+A549
ABT-737,480,480,1.0220530033111572,0.8760555982589722,0.031090090051293373,0.1892948180437088,0.2688393980264664,False,False,K562+A549
ITSA-1 (ITSA1),480,480,1.0061924457550049,1.023416519165039,0.03132973238825798,0.14808263182640075,0.4279873788356781,False,False,K562+A549
Ramelteon,480,480,0.964909553527832,0.7558712363243103,0.03133091703057289,0.14494631588459014,0.10264536977629177,False,False,K562+A549
Ki8751,480,480,1.3364626169204712,0.9369381666183472,0.03216361626982689,0.36973302364349364,0.36100536584854126,False,False,K562+A549
PF-3845,480,480,0.9368581175804138,0.840208113193512,0.033491138368844986,0.06680801436305046,0.21715299189090728,False,False,K562+A549
ZM 447439,480,480,1.2033659219741821,1.4954643249511719,0.03375843167304993,0.2889835774898529,0.6964834690093994,False,False,K562+A549
WP1066,480,480,1.0023629665374756,0.9041250348091125,0.03411008045077324,0.13199214339256288,0.333677077293396,False,False,K562+A549
FLLL32,465,480,1.2987748384475708,0.7258769869804382,0.03433242440223694,0.41656047105789185,0.1017618641257286,False,False,K562+A549
