fpr,tpr
0.255,0.19409722222222223
0.255,0.1943287037037037
0.255,0.19467592592592592
0.255,0.19490740740740742
0.255,0.1980324074074074
0.255,0.19826388888888888
0.255,0.2
0.264375,0.2
0.26479166666666665,0.2
0.2683333333333333,0.2
0.26875,0.2
0.27395833333333336,0.2
0.274375,0.2
0.27541666666666664,0.2
0.2758333333333333,0.2
0.2775,0.2
0.2775,0.20081018518518517
0.2775,0.20127314814814815
0.2775,0.20162037037037037
0.2775,0.20185185185185187
0.2775,0.20208333333333334
0.2775,0.20706018518518518
0.2775,0.20729166666666668
0.2775,0.20844907407407406
0.2775,0.20868055555555556
0.2775,0.2101851851851852
0.2775,0.21041666666666667
0.2775,0.21087962962962964
0.2775,0.2111111111111111
0.2775,0.21377314814814816
0.2775,0.21400462962962963
0.2775,0.21886574074074075
0.2775,0.21909722222222222
0.2775,0.2193287037037037
0.2775,0.2195601851851852
0.2775,0.22361111111111112
0.2775,0.2238425925925926
0.2775,0.22395833333333334
0.2775,0.22418981481481481
0.2775,0.225
0.2925,0.225
0.2925,0.22534722222222223
0.2925,0.2255787037037037
0.2925,0.22615740740740742
0.2925,0.2263888888888889
0.2925,0.228125
0.2925,0.2283564814814815
0.2925,0.2318287037037037
0.2925,0.23206018518518517
0.2925,0.23229166666666667
0.2925,0.23252314814814815
0.2925,0.23460648148148147
0.2925,0.23483796296296297
0.2925,0.2349537037037037
0.2925,0.2351851851851852
0.2925,0.23587962962962963
0.2925,0.23622685185185185
0.2925,0.23680555555555555
0.2925,0.23703703703703705
0.2925,0.23715277777777777
0.2925,0.23738425925925927
0.2925,0.2375
0.3,0.2375
0.3,0.2377314814814815
0.3,0.23796296296296296
0.3,0.23923611111111112
0.3,0.2394675925925926
0.3,0.2449074074074074
0.3,0.24513888888888888
0.3,0.24675925925925926
0.3,0.24699074074074073
0.3,0.2505787037037037
0.3,0.25104166666666666
0.3,0.25127314814814816
0.3,0.2515046296296296
0.3,0.25300925925925927
0.3,0.25324074074074077
0.3,0.25428240740740743
0.3,0.2545138888888889
0.3,0.25636574074074076
0.3,0.2565972222222222
0.3,0.2568287037037037
0.3,0.2570601851851852
0.3,0.25763888888888886
0.3,0.25787037037037036
0.3,0.25972222222222224
0.3,0.2599537037037037
0.3,0.2611111111111111
0.3,0.26157407407407407
0.3,0.2616898148148148
0.3,0.2619212962962963
0.3,0.2677083333333333
0.3,0.2679398148148148
0.3,0.2701388888888889
0.3,0.27037037037037037
0.3,0.2712962962962963
0.3,0.27152777777777776
0.3,0.27361111111111114
0.3,0.2740740740740741
0.3,0.2743055555555556
0.3,0.274537037037037
0.3,0.2755787037037037
0.3,0.2758101851851852
0.3,0.27685185185185185
0.3,0.27708333333333335
0.3,0.28032407407407406
0.3,0.28055555555555556
0.3,0.28206018518518516
0.3,0.28229166666666666
0.3,0.2826388888888889
0.3,0.2828703703703704
0.3,0.28379629629629627
0.3,0.28402777777777777
0.3,0.284837962962963
0.3,0.28506944444444443
0.3,0.29305555555555557
0.3,0.293287037037037
0.3,0.29444444444444445
0.3,0.29467592592592595
0.3,0.2986111111111111
0.3,0.2988425925925926
0.3,0.3013888888888889
0.3,0.30162037037037037
0.3,0.3070601851851852
0.3,0.3072916666666667
0.3,0.3076388888888889
0.3,0.30787037037037035
0.3,0.308912037037037
0.3,0.3091435185185185
0.3,0.3101851851851852
0.3,0.3104166666666667
0.3,0.3107638888888889
0.3,0.3109953703703704
0.3,0.31377314814814816
0.3,0.3140046296296296
0.3,0.31631944444444443
0.3,0.31655092592592593
0.3,0.3190972222222222
0.3,0.3194444444444444
0.3,0.32002314814814814
0.3,0.32025462962962964
0.3,0.32233796296296297
0.3,0.32256944444444446
0.3,0.32384259259259257
0.3,0.32407407407407407
0.3,0.32534722222222223
0.3,0.32557870370370373
0.3,0.32569444444444445
0.3,0.32592592592592595
0.3,0.328125
0.3,0.3283564814814815
0.3,0.3314814814814815
0.3,0.331712962962963
0.3,0.33194444444444443
0.3,0.33217592592592593
0.3,0.33240740740740743
0.3,0.33287037037037037
0.3,0.33425925925925926
0.3,0.33449074074074076
0.3,0.3349537037037037
0.3,0.3351851851851852
0.3,0.33611111111111114
0.3,0.3363425925925926
0.3,0.33645833333333336
0.3,0.3369212962962963
0.3,0.3371527777777778
0.3,0.33738425925925924
0.3,0.34270833333333334
0.3,0.34293981481481484
0.3,0.34479166666666666
0.3,0.34502314814814816
0.3,0.34791666666666665
0.3,0.34814814814814815
0.3,0.3488425925925926
0.3,0.3490740740740741
0.3,0.3491898148148148
0.3,0.3494212962962963
0.3,0.3574074074074074
0.3,0.3577546296296296
0.3,0.3592592592592593
0.3,0.3594907407407407
0.3,0.3628472222222222
0.3,0.3630787037037037
0.3,0.3638888888888889
0.3,0.36412037037037037
0.3,0.36527777777777776
0.3,0.36550925925925926
0.3,0.3974537037037037
0.3,0.3978009259259259
0.3,0.40046296296296297
0.3,0.40069444444444446
