seed,n_per_source,acc_kmeans_k2,acc_gmm_k2,acc_leiden,acc_hdbscan,best_unsup,ceiling_infold,ceiling_infold_auc,ceiling_matched,ceiling_matched_auc,sup_linear,sup_forest,sup_knn,gap_infold,gap_matched,arm,unit,patient,compartment,drug_a,drug_b
0,80,0.875,0.875,0.8125,0.5,0.875,0.8875,0.915,0.875,0.9236718749999999,0.85625,0.875,0.68125,0.012499999999999956,0.0,constructed_drug,K562 M344 vs CEP-33779,-,K562,M344,CEP-33779
1,80,0.86875,0.89375,0.89375,0.5,0.89375,0.91875,0.91328125,0.9,0.930703125,0.88125,0.9,0.625,0.02499999999999991,0.006249999999999978,constructed_drug,K562 M344 vs CEP-33779,-,K562,M344,CEP-33779
2,80,0.86875,0.8625,0.85625,0.5,0.86875,0.86875,0.919765625,0.89375,0.908046875,0.79375,0.89375,0.6375,0.0,0.025000000000000022,constructed_drug,K562 M344 vs CEP-33779,-,K562,M344,CEP-33779
3,80,0.89375,0.875,0.8875,0.5,0.89375,0.9,0.936953125,0.89375,0.94515625,0.83125,0.89375,0.575,0.006249999999999978,0.0,constructed_drug,K562 M344 vs CEP-33779,-,K562,M344,CEP-33779
4,80,0.8875,0.88125,0.8875,0.5,0.8875,0.8875,0.9295312499999999,0.9,0.940234375,0.8375,0.9,0.6625,0.0,0.012500000000000067,constructed_drug,K562 M344 vs CEP-33779,-,K562,M344,CEP-33779
0,80,0.875,0.86875,0.84375,0.6375,0.875,0.86875,0.940234375,0.8875,0.931484375,0.825,0.8875,0.775,-0.006249999999999978,0.012499999999999956,constructed_drug,K562 M344 vs Gandotinib (LY2784544),-,K562,M344,Gandotinib (LY2784544)
1,80,0.875,0.875,0.8375,0.6875,0.875,0.88125,0.9346874999999999,0.8625,0.92515625,0.83125,0.8625,0.76875,0.006249999999999978,-0.012499999999999956,constructed_drug,K562 M344 vs Gandotinib (LY2784544),-,K562,M344,Gandotinib (LY2784544)
2,80,0.875,0.875,0.875,0.64375,0.875,0.875,0.92515625,0.8625,0.90640625,0.8375,0.8625,0.7375,0.0,-0.012499999999999956,constructed_drug,K562 M344 vs Gandotinib (LY2784544),-,K562,M344,Gandotinib (LY2784544)
3,80,0.875,0.89375,0.875,0.63125,0.89375,0.875,0.93046875,0.86875,0.920625,0.8375,0.86875,0.7875,-0.018750000000000044,-0.025000000000000022,constructed_drug,K562 M344 vs Gandotinib (LY2784544),-,K562,M344,Gandotinib (LY2784544)
4,80,0.86875,0.875,0.84375,0.63125,0.875,0.85625,0.92953125,0.85625,0.93125,0.84375,0.85625,0.78125,-0.018750000000000044,-0.018750000000000044,constructed_drug,K562 M344 vs Gandotinib (LY2784544),-,K562,M344,Gandotinib (LY2784544)
0,120,0.5333333333333333,0.5208333333333334,0.5875,0.5,0.5875,0.5833333333333334,0.6334027777777779,0.5791666666666667,0.5925,0.5791666666666667,0.525,0.55,-0.004166666666666652,-0.008333333333333304,constructed_drug,K562 MC1568 vs BMS-911543,-,K562,MC1568,BMS-911543
1,120,0.5291666666666667,0.5625,0.5875,0.5,0.5875,0.5541666666666667,0.5932638888888889,0.6,0.6359374999999999,0.6,0.5833333333333334,0.5458333333333333,-0.033333333333333326,0.012499999999999956,constructed_drug,K562 MC1568 vs BMS-911543,-,K562,MC1568,BMS-911543
2,120,0.5333333333333333,0.5083333333333333,0.5958333333333333,0.5,0.5958333333333333,0.5666666666666667,0.5755208333333333,0.5541666666666667,0.5835416666666665,0.5541666666666667,0.5125,0.55,-0.029166666666666674,-0.04166666666666663,constructed_drug,K562 MC1568 vs BMS-911543,-,K562,MC1568,BMS-911543
3,120,0.5291666666666667,0.5625,0.5458333333333333,0.5,0.5625,0.5791666666666667,0.5881944444444445,0.6041666666666666,0.6115277777777777,0.5375,0.6041666666666666,0.5625,0.01666666666666672,0.04166666666666663,constructed_drug,K562 MC1568 vs BMS-911543,-,K562,MC1568,BMS-911543
4,120,0.5333333333333333,0.5625,0.5583333333333333,0.5,0.5625,0.5625,0.572326388888889,0.5541666666666667,0.5600694444444445,0.5375,0.5541666666666667,0.5166666666666667,0.0,-0.008333333333333304,constructed_drug,K562 MC1568 vs BMS-911543,-,K562,MC1568,BMS-911543
0,86,0.9011627906976745,0.9069767441860465,0.8604651162790697,0.5,0.9069767441860465,0.8953488372093024,0.9365873445105463,0.8895348837209303,0.9227285018929151,0.872093023255814,0.8895348837209303,0.7209302325581395,-0.011627906976744096,-0.0174418604651162,constructed_drug,K562 Mocetinostat (MGCD0103) vs CEP-33779,-,K562,Mocetinostat (MGCD0103),CEP-33779
1,86,0.9069767441860465,0.8953488372093024,0.7965116279069767,0.5,0.9069767441860465,0.8953488372093024,0.9308409951325041,0.9069767441860465,0.940440778799351,0.8372093023255814,0.9069767441860465,0.6162790697674418,-0.011627906976744096,0.0,constructed_drug,K562 Mocetinostat (MGCD0103) vs CEP-33779,-,K562,Mocetinostat (MGCD0103),CEP-33779
2,86,0.9127906976744186,0.9069767441860465,0.8546511627906976,0.5,0.9127906976744186,0.9186046511627907,0.9326663061114115,0.9186046511627907,0.9002163331530557,0.8546511627906976,0.9186046511627907,0.7732558139534884,0.005813953488372103,0.005813953488372103,constructed_drug,K562 Mocetinostat (MGCD0103) vs CEP-33779,-,K562,Mocetinostat (MGCD0103),CEP-33779
3,86,0.9127906976744186,0.9069767441860465,0.8372093023255814,0.5,0.9127906976744186,0.9011627906976745,0.9384802595997837,0.9011627906976745,0.9203623580313683,0.872093023255814,0.9011627906976745,0.75,-0.011627906976744096,-0.011627906976744096,constructed_drug,K562 Mocetinostat (MGCD0103) vs CEP-33779,-,K562,Mocetinostat (MGCD0103),CEP-33779
4,86,0.9244186046511628,0.9186046511627907,0.8372093023255814,0.5,0.9244186046511628,0.9069767441860465,0.9322606814494321,0.9244186046511628,0.946254732287723,0.8837209302325582,0.9244186046511628,0.7325581395348837,-0.01744186046511631,0.0,constructed_drug,K562 Mocetinostat (MGCD0103) vs CEP-33779,-,K562,Mocetinostat (MGCD0103),CEP-33779
