heldout_drug,scorer,reference_scorer,response_regret_difference,moa_ndcg_difference,minority_coverage_difference
Amisulpride,DART_sliced_wasserstein,mean_l2,0.040443420410156194,0.0,-0.0031845038941977766
Andarine,DART_coverage_mean,mean_cosine,0.0454492568969727,0.1951900249960508,0.0003201285412913757
Andarine,DART_coverage_mean,mean_l2,-0.046465873718261705,0.1951900249960508,-0.00027886515380337595
Andarine,DART_coverage_worst,mean_cosine,0.0670042037963867,0.1681275362711174,-0.001180629111124376
Andarine,DART_coverage_worst,mean_l2,-0.024910926818847698,0.1681275362711174,-0.0011223188314863908
Andarine,DART_energy,mean_cosine,0.0919151306152344,0.0,0.002327698706475867
Andarine,DART_energy,mean_l2,0.0,0.0,0.0
Andarine,DART_mmd,mean_cosine,0.0919151306152344,0.0,0.002327698706475867
Andarine,DART_mmd,mean_l2,0.0,0.0,0.0
Andarine,DART_sliced_wasserstein,mean_cosine,0.030513763427734403,0.0,0.002327698706475867
Andarine,DART_sliced_wasserstein,mean_l2,-0.0318870544433594,0.0,0.00018128235389380798
Aurora A Inhibitor I,DART_coverage_mean,mean_cosine,0.24571228027343758,-0.0807560405536838,0.001457349981128453
Aurora A Inhibitor I,DART_coverage_mean,mean_l2,-0.06246376037597656,0.1681522864689108,0.00012134963352417039
Aurora A Inhibitor I,DART_coverage_worst,mean_cosine,0.018831253051757868,-0.0689768450114229,-0.001230524756567486
Aurora A Inhibitor I,DART_coverage_worst,mean_l2,-0.2278900146484375,0.1799314820111717,-0.0012003635007132862
Aurora A Inhibitor I,DART_energy,mean_cosine,0.24672126770019537,-0.28980540804421023,0.004937785683086449
Aurora A Inhibitor I,DART_energy,mean_l2,0.0,0.0,0.0
Aurora A Inhibitor I,DART_mmd,mean_cosine,0.24672126770019537,-0.2745478892647209,0.004937785683086449
Aurora A Inhibitor I,DART_mmd,mean_l2,0.0,0.0,0.0
Aurora A Inhibitor I,DART_sliced_wasserstein,mean_cosine,0.24758529663085938,-0.3845937724137609,0.005878276309703279
Aurora A Inhibitor I,DART_sliced_wasserstein,mean_l2,0.0,0.0,0.0013910700397576914
Avagacestat (BMS-708163),DART_coverage_mean,mean_cosine,0.018575668334960938,,0.0004184467475678577
Avagacestat (BMS-708163),DART_coverage_mean,mean_l2,0.018575668334960938,,0.0004184467475678577
Avagacestat (BMS-708163),DART_coverage_worst,mean_cosine,0.07608890533447264,,-0.0008530913380802585
Avagacestat (BMS-708163),DART_coverage_worst,mean_l2,0.07608890533447264,,-0.0008530913380802585
Avagacestat (BMS-708163),DART_energy,mean_cosine,-0.2007646560668946,,-0.001146577584791808
Avagacestat (BMS-708163),DART_energy,mean_l2,-0.2007646560668946,,-0.001146577584791808
Avagacestat (BMS-708163),DART_mmd,mean_cosine,-0.14003086090087893,,-0.0009825607250910084
Avagacestat (BMS-708163),DART_mmd,mean_l2,-0.14003086090087893,,-0.0009825607250910084
Avagacestat (BMS-708163),DART_sliced_wasserstein,mean_cosine,-0.07402038574218751,,-0.0003421560086833142
Avagacestat (BMS-708163),DART_sliced_wasserstein,mean_l2,-0.07402038574218751,,-0.0003421560086833142
Azacitidine,DART_coverage_mean,mean_cosine,0.5204415321350098,0.0,0.011379728820862078
Azacitidine,DART_coverage_mean,mean_l2,-0.14593791961669925,0.0,0.0003298136143379815
Azacitidine,DART_coverage_worst,mean_cosine,0.5381741523742676,0.0,0.011387398384337888
Azacitidine,DART_coverage_worst,mean_l2,-0.16410446166992188,0.0,0.0017953388976483797
Azacitidine,DART_energy,mean_cosine,0.7443356513977051,0.0,0.01063648237043624
Azacitidine,DART_energy,mean_l2,0.0059356689453125,0.0,-0.0003106599173848257
Azacitidine,DART_mmd,mean_cosine,0.7443356513977051,0.0,0.01063648237043624
Azacitidine,DART_mmd,mean_l2,0.0436263084411621,0.0,-0.0003106599173848257
Azacitidine,DART_sliced_wasserstein,mean_cosine,0.7036066055297852,0.0,0.01130060311950648
Azacitidine,DART_sliced_wasserstein,mean_l2,0.0105180740356445,0.0,0.0
BMS-265246,DART_coverage_mean,mean_cosine,0.1093292236328125,0.0,-0.0012542183782967564
BMS-265246,DART_coverage_mean,mean_l2,0.04767894744873051,0.0636207881989517,-0.0020158081432155583
BMS-265246,DART_coverage_worst,mean_cosine,0.10672187805175778,0.0,-0.0012542183782967564
BMS-265246,DART_coverage_worst,mean_l2,0.04767894744873051,0.1635413866202963,-0.003205131733104327
BMS-265246,DART_energy,mean_cosine,0.0974655151367188,-0.14361437094351712,0.0
BMS-265246,DART_energy,mean_l2,0.0,0.0,-0.0018799915298275405
BMS-265246,DART_mmd,mean_cosine,0.0974655151367188,-0.12218992867332631,0.0
BMS-265246,DART_mmd,mean_l2,0.0,0.0,-0.0018799915298275405
BMS-265246,DART_sliced_wasserstein,mean_cosine,0.1435375213623047,-0.2832325164972661,0.0011869432576994132
BMS-265246,DART_sliced_wasserstein,mean_l2,0.007425308227538979,0.0,-3.4679789412739304e-05
BMS-536924,DART_coverage_mean,mean_cosine,0.13129615783691406,-0.0947883643695507,0.0022259095405203766
BMS-536924,DART_coverage_mean,mean_l2,0.036306381225585896,0.0,-0.001113051574147983
BMS-536924,DART_coverage_worst,mean_cosine,0.1571903228759766,-0.016390095390875395,0.003384177390039933
BMS-536924,DART_coverage_worst,mean_l2,0.036306381225585896,0.0744655688160926,4.521627537157347e-05
BMS-536924,DART_energy,mean_cosine,0.1717777252197266,-0.2041560478325592,0.0025019869719311583
BMS-536924,DART_energy,mean_l2,0.0364971160888672,-0.0406146612122628,-0.0008369741427372013
BMS-536924,DART_mmd,mean_cosine,0.1717777252197266,-0.1289347773362721,0.0025019869719311583
BMS-536924,DART_mmd,mean_l2,0.0364971160888672,0.0346066092840243,-0.0008369741427372013
BMS-536924,DART_sliced_wasserstein,mean_cosine,0.22434806823730477,-0.1437122581159957,0.0025139724934840624
