split_type,cell_line,heldout_drug,observed_library_fraction,seed,heldout_MoA,recommendation_mode,true_divergence,true_div_min_cos,true_div_minority_frac,structure_reliability_score,preference_conflict,minority_state_coverage_gap,moa_ndcg_gap,minority_state_coverage_dart,minority_state_coverage_mean,moa_ndcg_dart,moa_ndcg_mean,decision_regret__DART_coverage_mean,decision_regret__DART_coverage_worst,decision_regret__DART_energy,decision_regret__DART_mmd,decision_regret__DART_sliced_wasserstein,decision_regret__cmap_match,decision_regret__cmap_reverse,decision_regret__mean_cosine,decision_regret__mean_l2,moa_ndcg__DART_coverage_mean,moa_ndcg__DART_coverage_worst,moa_ndcg__DART_energy,moa_ndcg__DART_mmd,moa_ndcg__DART_sliced_wasserstein,moa_ndcg__cmap_match,moa_ndcg__cmap_reverse,moa_ndcg__mean_cosine,moa_ndcg__mean_l2,minority_state_coverage__DART_coverage_mean,minority_state_coverage__DART_coverage_worst,minority_state_coverage__DART_energy,minority_state_coverage__DART_mmd,minority_state_coverage__DART_sliced_wasserstein,minority_state_coverage__cmap_match,minority_state_coverage__cmap_reverse,minority_state_coverage__mean_cosine,minority_state_coverage__mean_l2,formal_drug_cluster,moa_evaluable
leave_drug_out,A549,MC1568,1.0,0,Cytoskeletal Signaling,mean_or_no_call,1.691724684019758,-0.691724684019758,0.44,0.3536602047035648,0.5740112994350283,-0.0001598319317118,0.0,0.9945270890597842,0.994686920991496,0.0,0.0,0.0354804992675781,0.10260009765625,0.087808609008789,0.087808609008789,0.0,0.0,0.1905460357666015,0.0,0.087808609008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0851431176416209,0.0,0.0,0.9942491273467448,0.9945270890597842,0.9933692605170508,0.9933692605170508,0.994686920991496,0.994686920991496,0.9906248782076656,0.994686920991496,0.9933692605170508,True,True
leave_drug_out,A549,SRT2104 (GSK2245840),1.0,0,DNA Damage,DART_recommended,1.5741274362378517,-0.5741274362378517,0.48,0.5182914139890413,0.5745762711864406,0.0010904717660488,0.3746661058764785,0.9900186332767752,0.9889281615107264,0.5224955967919311,0.1478294909154526,0.2072257995605468,0.0849857330322265,0.0732479095458984,0.0732479095458984,0.0908584594726562,0.3335533142089844,0.3203563690185547,0.3335533142089844,0.0732479095458984,0.4666234168001789,0.5224955967919311,0.2895229882348574,0.2895229882348574,0.3052348839397011,0.1478294909154526,0.0851431176416209,0.1478294909154526,0.4448530294934502,0.989023664977098,0.9900186332767752,0.9903524532158254,0.9903524532158254,0.9895474688717982,0.9889281615107264,0.9779711462194948,0.9889281615107264,0.9903524532158254,True,True
leave_drug_out,A549,PF-573228,1.0,0,Angiogenesis,DART_recommended,1.6376672794783065,-0.6376672794783065,0.4,0.44003321511032,0.6028248587570622,-7.337838062482227e-05,0.0,0.992851865279434,0.9929252436600589,0.0,0.0,0.228921890258789,0.0634441375732421,0.0633869171142578,0.0633869171142578,0.1959095001220703,0.2350196838378906,4.208215713500977,0.2350196838378906,0.249603271484375,0.0,0.0,0.1517621910780353,0.1517621910780353,0.11004588314904,0.0,0.0,0.0,0.0851431176416209,0.9914003592707424,0.992851865279434,0.9930840680255164,0.9930840680255164,0.9910564287005442,0.9929252436600589,0.9341645740312872,0.9929252436600589,0.9917425150592027,True,True
leave_drug_out,A549,Prednisone,1.0,0,Endocrinology & Hormones,DART_recommended,1.6835323846370471,-0.683532384637047,0.375,0.4102046222719494,0.5514124293785311,-0.0025896533974834,-0.1951900249960508,0.991245823939407,0.9938354773368904,0.0,0.1951900249960508,0.1694087982177734,0.1554927825927734,0.1316394805908203,0.1316394805908203,0.1316394805908203,0.1122875213623046,0.5992679595947266,0.1122875213623046,0.1122875213623046,0.0,0.0,0.0,0.0,0.0,0.1951900249960508,0.0,0.1951900249960508,0.0,0.9928328398133348,0.991245823939407,0.9931702158538348,0.9931702158538348,0.9931702158538348,0.9938354773368904,0.9873697901330716,0.9938354773368904,0.9938354773368904,True,True
leave_drug_out,A549,Fasudil (HA-1077) HCl,1.0,0,Cell Cycle,DART_recommended,1.7170374623838678,-0.7170374623838678,0.335,0.4466004133883877,0.6203389830508474,0.010279350115102,-0.6804503724350792,0.9850770125721728,0.9747976624570708,0.0,0.6804503724350792,0.0174198150634765,0.2630386352539062,0.2194843292236328,0.2194843292236328,0.2194843292236328,1.2167301177978516,0.1598033905029297,1.2167301177978516,0.2418136596679687,0.11004588314904,0.0,0.0,0.0,0.0,0.6804503724350792,0.0,0.6804503724350792,0.0,0.9861406523864448,0.9850770125721728,0.983149616664968,0.983149616664968,0.983149616664968,0.9747976624570708,0.9829072599094542,0.9747976624570708,0.9841938861385274,True,True
leave_drug_out,A549,Clevudine,1.0,0,DNA Damage,mean_or_no_call,1.6536059941469226,-0.6536059941469226,0.43,0.3235426881685024,0.5231638418079096,0.0006083444237576,0.0026334352554372,0.9937748912307665,0.9931665468070088,0.1446524924330643,0.142019057177627,0.0918750762939453,0.0659656524658203,0.049346923828125,0.049346923828125,0.0918750762939453,0.049346923828125,0.2238216400146484,0.049346923828125,0.1649971008300781,0.230473809760717,0.1446524924330643,0.139618145553749,0.1369847102983117,0.066254223454389,0.142019057177627,0.0,0.142019057177627,0.1763001066034291,0.9932639980723496,0.9937748912307665,0.9931665468070088,0.9931665468070088,0.9932639980723496,0.9931665468070088,0.9902089191965048,0.9931665468070088,0.9930753752522784,True,True
leave_drug_out,A549,M344,1.0,0,Cytoskeletal Signaling,DART_recommended,1.0242854202870313,-0.0242854202870311,0.275,0.5481758962284506,0.6005649717514124,-0.0264291511180988,-0.25903361175029,0.8817887340105925,0.9082178851286914,0.2583297509898471,0.5173633627401372,1.7780494689941406,0.7289333343505859,0.6930904388427734,1.7780494689941406,0.7289333343505859,0.2370738983154297,3.4921112060546875,0.2370738983154297,0.7289333343505859,0.2465505554475861,0.2583297509898471,0.1681522864689108,0.1681522864689108,0.1799314820111717,0.5173633627401372,0.11004588314904,0.5173633627401372,0.1799314820111717,0.8668911891620235,0.8817887340105925,0.8998610845504068,0.8668911891620235,0.8817887340105925,0.9082178851286914,0.816013821431939,0.9082178851286914,0.8817887340105925,True,True
leave_drug_out,A549,Hesperadin,1.0,0,Cell Cycle,DART_recommended,1.2856975238503132,-0.2856975238503133,0.485,0.5572662936929992,0.6480225988700565,-0.0042273240810759,-0.0595093747914434,0.9812607325108804,0.9854880565919564,0.6871952210980248,0.7467045958894682,0.1530952453613281,0.1530952453613281,0.1862869262695312,0.1862869262695312,0.1862869262695312,0.1703968048095703,0.3437061309814453,0.1703968048095703,0.1862869262695312,0.7909506325094737,0.6871952210980248,0.576323354912681,0.6431211415940209,0.7564477297898766,0.7467045958894682,0.0,0.7467045958894682,0.5727555047321237,0.9812607325108804,0.9812607325108804,0.983324813348212,0.983324813348212,0.983324813348212,0.9854880565919564,0.975885411879326,0.9854880565919564,0.983324813348212,True,True
leave_drug_out,A549,SL-327,1.0,0,MAPK,DART_recommended,1.3637216234140586,-0.3637216234140586,0.49,0.6750955938191141,0.5440677966101695,-0.0019318185817168,-0.2346393630113782,0.9868590842604438,0.9887909028421606,0.0,0.2346393630113782,0.1291103363037109,0.1291103363037109,0.0,0.0,0.0621280670166015,0.0,0.14569091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2346393630113782,0.0,0.2346393630113782,0.0,0.9868590842604438,0.9868590842604438,0.9887909028421606,0.9887909028421606,0.9884408410714784,0.9887909028421606,0.9846916471823493,0.9887909028421606,0.9887909028421606,True,True
leave_drug_out,A549,Ofloxacin,1.0,0,DNA Damage,mean_or_no_call,1.6144705920930005,-0.6144705920930004,0.44,0.3853980257121551,0.6310734463276836,-8.080466133764119e-05,0.43735247915031,0.9930464325790768,0.9931272372404144,0.43735247915031,0.0,0.0851707458496093,0.0,0.0851707458496093,0.0851707458496093,0.1234188079833984,0.2279014587402343,0.2306880950927734,0.2279014587402343,0.0851707458496093,0.2489083270225946,0.43735247915031,0.0694312219367772,0.0,0.1545743395783982,0.0,0.2895229882348574,0.0,0.1388624438735545,0.9941315773261974,0.9930464325790768,0.9941315773261974,0.9941315773261974,0.993252416452212,0.9931272372404144,0.9896530868744317,0.9931272372404144,0.9941315773261974,True,True
leave_drug_out,A549,TG101209,1.0,0,JAK/STAT,DART_recommended,1.4438192347949586,-0.4438192347949586,0.395,0.4704380069312039,0.631638418079096,-0.0018155342298156,-0.0052319650697282,0.9867661575967336,0.9885816918265492,0.2784805894273036,0.2837125544970318,0.2906703948974609,0.24359130859375,0.0801124572753906,0.0801124572753906,0.0801124572753906,0.035623550415039,0.2235946655273437,0.035623550415039,0.0801124572753906,0.2200917662980801,0.2784805894273036,0.1388624438735545,0.1388624438735545,0.1330520101357289,0.2837125544970318,0.1763001066034291,0.2837125544970318,0.1388624438735545,0.9860686731864584,0.9867661575967336,0.9867898540010924,0.9867898540010924,0.9867898540010924,0.9885816918265492,0.984601862395072,0.9885816918265492,0.9867898540010924,True,True
leave_drug_out,A549,BMS-754807,1.0,0,Protein Tyrosine Kinase,DART_recommended,1.2649627614646752,-0.2649627614646753,0.405,0.4141711449500191,0.6101694915254238,-0.0009012890337187,0.0,0.9924686924832584,0.9933699815169772,0.0,0.0,0.1475067138671875,0.1475067138671875,0.1874618530273437,0.1874618530273437,0.2934074401855469,0.2445697784423828,0.6514511108398438,0.2445697784423828,0.3124866485595703,0.0,0.0,0.0783982689786753,0.0851431176416209,0.1584091525685025,0.0,0.2200917662980801,0.0,0.0636207881989517,0.9924686924832584,0.9924686924832584,0.98894640082166,0.98894640082166,0.9891917038215484,0.9933699815169772,0.9826928982475038,0.9933699815169772,0.990199932440654,True,True
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,0,Cell Cycle,DART_recommended,1.6539967161784976,-0.6539967161784976,0.42,0.4553890187666252,0.5937853107344633,0.0003094565659802,-0.3597099118518292,0.986745721938389,0.9864362653724088,0.0,0.3597099118518292,0.08709716796875,0.2566719055175781,0.0991744995117187,0.0991744995117187,0.0469245910644531,0.1665287017822265,0.2216014862060547,0.1665287017822265,0.0469245910644531,0.0,0.0,0.0,0.0,0.0,0.3597099118518292,0.0,0.3597099118518292,0.0,0.988677282696403,0.986745721938389,0.9881361068520624,0.9881361068520624,0.9875756112295606,0.9864362653724088,0.977984858362402,0.9864362653724088,0.9875756112295606,True,True
leave_drug_out,A549,Ki16425,1.0,0,GPCR & G Protein,mean_or_no_call,1.6300704612356365,-0.6300704612356361,0.49,0.3316678847367962,0.5423728813559322,-0.0008489595470712,-0.5,0.9921907459185756,0.9930397054656468,0.0,0.5,0.0459308624267578,0.1042213439941406,0.0652446746826171,0.0652446746826171,0.0435638427734375,0.0853862762451171,3.01885986328125,0.0853862762451171,0.0221271514892578,0.0,0.0,0.0,0.3010299956639812,0.6309297535714575,0.5,0.0,0.5,0.3333333333333333,0.9941186143564312,0.9921907459185756,0.9939315040657208,0.9939315040657208,0.9927386576865008,0.9930397054656468,0.9392230707966976,0.9930397054656468,0.9950409169016154,True,True
