setting,alpha,method,reference,hit@1,mrr,population_minus_mean_hit@1,population_minus_mean_mrr
crossline:K562+A549,0.9,sliced_wasserstein,matched_control_referenced,0.6666666666666666,0.7403309461848273,0.31333333333333335,0.10037856523244641
crossline:K562+A549,0.9,sliced_wasserstein,raw_normalized_expression,0.6933333333333334,0.755843046874701,0.34,0.11589066592232015
crossline:K562+MCF7,0.5,coverage_mean,matched_control_referenced,0.9133333333333333,0.9492962962962963,0.5133333333333333,0.28840740740740745
crossline:K562+MCF7,0.5,coverage_mean,raw_normalized_expression,0.9133333333333333,0.9492962962962963,0.5133333333333333,0.28840740740740745
crossline:K562+MCF7,0.5,coverage_worst,matched_control_referenced,0.86,0.9115555555555555,0.46,0.25066666666666665
crossline:K562+MCF7,0.5,coverage_worst,raw_normalized_expression,0.86,0.9115555555555555,0.46,0.25066666666666665
crossline:K562+MCF7,0.5,global_energy,matched_control_referenced,0.8666666666666667,0.9230617095322977,0.4666666666666667,0.26217282064340885
crossline:K562+MCF7,0.5,global_energy,raw_normalized_expression,0.8666666666666667,0.9230617095322977,0.4666666666666667,0.26217282064340885
crossline:K562+MCF7,0.5,mmd_rbf,matched_control_referenced,0.88,0.9273679653679653,0.48,0.2664790764790765
crossline:K562+MCF7,0.5,mmd_rbf,raw_normalized_expression,0.88,0.9273679653679653,0.48,0.2664790764790765
crossline:K562+MCF7,0.5,sliced_wasserstein,matched_control_referenced,0.8,0.8757222222222222,0.4,0.21483333333333335
crossline:K562+MCF7,0.5,sliced_wasserstein,raw_normalized_expression,0.8,0.8757222222222222,0.4,0.21483333333333335
crossline:K562+MCF7,0.6,coverage_mean,matched_control_referenced,0.9,0.939563492063492,0.54,0.32145238095238093
crossline:K562+MCF7,0.6,coverage_mean,raw_normalized_expression,0.9,0.939563492063492,0.54,0.32145238095238093
crossline:K562+MCF7,0.6,coverage_worst,matched_control_referenced,0.92,0.9515873015873016,0.56,0.3334761904761905
crossline:K562+MCF7,0.6,coverage_worst,raw_normalized_expression,0.92,0.9515873015873016,0.56,0.3334761904761905
crossline:K562+MCF7,0.6,global_energy,matched_control_referenced,0.9,0.9383333333333334,0.54,0.32022222222222224
crossline:K562+MCF7,0.6,global_energy,raw_normalized_expression,0.9,0.9383333333333334,0.54,0.32022222222222224
crossline:K562+MCF7,0.6,mmd_rbf,matched_control_referenced,0.9,0.9387777777777777,0.54,0.32066666666666666
crossline:K562+MCF7,0.6,mmd_rbf,raw_normalized_expression,0.9,0.9387777777777777,0.54,0.32066666666666666
crossline:K562+MCF7,0.6,sliced_wasserstein,matched_control_referenced,0.84,0.9012010582010581,0.48,0.2830899470899471
crossline:K562+MCF7,0.6,sliced_wasserstein,raw_normalized_expression,0.84,0.9012010582010581,0.48,0.2830899470899471
crossline:K562+MCF7,0.7,coverage_mean,matched_control_referenced,0.9066666666666666,0.9434259259259259,0.6866666666666666,0.38342592592592595
crossline:K562+MCF7,0.7,coverage_mean,raw_normalized_expression,0.9066666666666666,0.9434259259259259,0.6866666666666666,0.38342592592592595
