panel,metric,scope,statistic,old_point_estimate,old_ci_low,old_ci_high,old_query_level_p,corrected_point_estimate,corrected_cluster_ci_low,corrected_cluster_ci_high,corrected_drug_level_p,one_row_per_drug_point,n_queries,n_drugs,n_biological_drugs_excluding_pooled,n_pooled_rows,cluster_inference_status,conclusion_changed,scorer,reference_scorer,point_sign_changed_vs_drug,cluster_ci_excludes_zero,direction_of_conclusion,manuscript_consequence,divergence_value_median,effect_median,frac_positive,frac_negative,frac_tied,corrected_bh_q,n_recommended_queries,n_no_call_queries
Fig2e,response_regret_difference,recommended_all_descriptive,median,0.03192329406738288,0.017479896545410212,0.053060531616210896,,0.03192329406738288,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_coverage_worst,mean_cosine,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_individual_formal,median,0.03041934967041015,0.0160198211669922,0.054847240447998054,,0.03041934967041015,0.01637649536132815,0.05393345355987516,1.0525141212478216e-05,0.048383712768554694,584,141,,,,False,DART_coverage_worst,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_all_descriptive,median,0.0,0.0,0.0,,0.0,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_energy,mean_l2,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_individual_formal,median,0.0,0.0,0.0,,0.0,0.0,0.0,0.0532369442960696,0.0,584,141,,,,False,DART_energy,mean_l2,False,False,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_all_descriptive,median,0.0,0.0,0.0,,0.0,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_mmd,mean_l2,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_individual_formal,median,0.0,0.0,0.0,,0.0,0.0,0.0,0.046560691547290714,0.0,584,141,,,,False,DART_mmd,mean_l2,False,False,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_all_descriptive,median,0.0,-4.243850708006365e-06,0.0,,0.0,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_sliced_wasserstein,mean_l2,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_individual_formal,median,0.0,-0.0010066032409667969,0.0,,0.0,-0.0013437271118163993,0.0,1.2168478467509927e-05,-0.0008249282836913924,584,141,,,,False,DART_sliced_wasserstein,mean_l2,True,False,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_all_descriptive,median,-0.030425071716308594,-0.045719218254089346,-0.0148754119873046,,-0.030425071716308594,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_coverage_mean,mean_l2,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_individual_formal,median,-0.032441616058349595,-0.052000999450683594,-0.016823768615722642,,-0.032441616058349595,-0.052000999450683594,-0.017169952392578097,4.35594362050444e-11,-0.033324718475341804,584,141,,,,False,DART_coverage_mean,mean_l2,False,True,negative,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_all_descriptive,median,-0.03837585449218749,-0.052000999450683594,-0.02773094177246091,,-0.03837585449218749,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_coverage_worst,mean_l2,False,True,includes_zero,UNCHANGED,,,,,,,,
