split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,seed,method,reference,n_candidates,top1,top1_is_mean_top1,decision_regret,population_minus_mean_regret_reduction,minority_state_coverage,population_minus_mean_minority_coverage,moa_ndcg,population_minus_mean_moa_ndcg,target_mrr,batch_coverage,candidate_assignment_changed_fraction,raw_vs_referenced_top1_changed,batch_coverage_minus_mean
leave_drug_out,A549,AG-490 (Tyrphostin B42),Protein Tyrosine Kinase,1.0,0,DART_coverage_worst,matched_control_referenced,187,INO-1001 (3-Aminobenzamide),1,0.027292251586914062,5.7220458984375e-06,0.9914766550064087,-3.6928816671277787e-08,0.06362078819895171,0.06362078819895171,0.03125,,1.0,1,
leave_drug_out,A549,Meprednisone,Endocrinology & Hormones,1.0,0,DART_coverage_mean,raw_normalized_expression,187,IOX2,0,0.1309642791748047,0.013969421386718722,0.986384487049538,-0.0011497366677200027,0.0,-0.3071837157818931,-1.0,,1.0,1,
leave_drug_out,A549,Meprednisone,Endocrinology & Hormones,1.0,0,DART_coverage_mean,matched_control_referenced,187,Amisulpride,0,0.10602760314941406,0.03890609741210935,0.9892991185188293,0.0017648948015713817,0.3973220069685352,0.09013829118664213,,,1.0,1,
leave_drug_out,A549,Meprednisone,Endocrinology & Hormones,1.0,0,DART_coverage_worst,raw_normalized_expression,187,IOX2,0,0.1309642791748047,0.013969421386718722,0.986384487049538,-0.0011497366677200027,0.0,-0.3071837157818931,-1.0,,1.0,1,
leave_drug_out,A549,Meprednisone,Endocrinology & Hormones,1.0,0,DART_coverage_worst,matched_control_referenced,187,Amisulpride,0,0.10602760314941406,0.03890609741210935,0.9892991185188293,0.0017648948015713817,0.2811463015585058,-0.02603741422338729,,,1.0,1,
leave_drug_out,A549,AC480 (BMS-599626),Protein Tyrosine Kinase,1.0,0,DART_coverage_mean,raw_normalized_expression,187,IOX2,0,0.2093391418457031,-0.0864086151123047,0.9865019743746412,0.004131678489835533,0.11004588314904,-0.12042792661167699,-1.0,,1.0,1,
leave_drug_out,A549,AC480 (BMS-599626),Protein Tyrosine Kinase,1.0,0,DART_coverage_mean,matched_control_referenced,187,UNC1999,0,0.024732589721679688,0.09819793701171871,0.9864282310009003,0.004057935116094646,0.15139734109601002,-0.07907646866470697,,,1.0,1,
leave_drug_out,A549,AC480 (BMS-599626),Protein Tyrosine Kinase,1.0,0,DART_coverage_worst,raw_normalized_expression,187,IOX2,0,0.2093391418457031,-0.0864086151123047,0.9865019743746412,0.004131678489835533,0.1388624438735545,-0.09161136588716248,-1.0,,1.0,1,
leave_drug_out,A549,AC480 (BMS-599626),Protein Tyrosine Kinase,1.0,0,DART_coverage_worst,matched_control_referenced,187,UNC1999,0,0.024732589721679688,0.09819793701171871,0.9864282310009003,0.004057935116094646,0.21726071285222986,-0.013213096908487126,,,1.0,1,
leave_drug_out,A549,"Baricitinib (LY3009104, INCB028050)",Epigenetics,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Tubastatin A HCl,0,0.0561237335205078,0.006601333618164007,0.98617734556934,-0.0033405036933128462,0.3570764765963919,0.2837125544970319,-1.0,,1.0,1,
