separation_scale,cells_per_source,seed,ari_kmeans_k2,sil_true_labels,n_total
3.0,400,0,0.7918426299551097,0.09912756749197194,800
3.0,400,1,0.7479140414007567,0.08785335712521576,800
3.0,400,2,0.6276040411744985,0.07215403639797709,800
3.0,400,3,0.7010402230496833,0.08685237522533676,800
3.0,400,4,0.5470699896916295,0.07335016738965457,800
3.0,400,5,0.5657361422596803,0.06986518249156522,800
3.0,400,6,0.6926799873195812,0.08051751788659389,800
3.0,400,7,0.5695099744487805,0.06683348027946977,800
3.0,400,8,0.643570530028648,0.07409027753654576,800
3.0,400,9,0.5250634127481592,0.062198455107162154,800
3.0,400,10,0.7136731745694154,0.07943985162938487,800
3.0,400,11,0.47550664638005374,0.07070469287238602,800
3.0,400,12,0.5619759609775951,0.07192951240988515,800
3.0,400,13,0.6802305509775263,0.07611395122669955,800
3.0,400,14,0.6355661727778675,0.08826575827197215,800
3.0,400,15,0.709448517578366,0.08821878964308119,800
3.0,400,16,0.7697216894860495,0.07862024190200026,800
3.0,400,17,0.7349795372347361,0.07692986083587497,800
3.0,400,18,0.5214517906584836,0.07188592214075765,800
3.0,400,19,0.6475974527919903,0.07365590296726637,800
5.0,25,0,1.0,0.3387888861072281,50
5.0,25,1,1.0,0.3558850201223619,50
5.0,25,2,1.0,0.3508017904011361,50
5.0,25,3,1.0,0.39611041908786726,50
5.0,25,4,1.0,0.35334187921195404,50
5.0,25,5,1.0,0.29342641695468674,50
5.0,25,6,1.0,0.35342088053551984,50
5.0,25,7,1.0,0.3576874412983438,50
5.0,25,8,1.0,0.3740080944542949,50
5.0,25,9,1.0,0.3365362636363306,50
5.0,25,10,1.0,0.35833645233736783,50
5.0,25,11,1.0,0.3599017081026403,50
5.0,25,12,1.0,0.3428835265614723,50
5.0,25,13,1.0,0.38372765783698726,50
5.0,25,14,1.0,0.3324090950386453,50
5.0,25,15,1.0,0.4329923408881764,50
5.0,25,16,1.0,0.3368220559418332,50
5.0,25,17,1.0,0.3469522396745417,50
5.0,25,18,1.0,0.33143718538549066,50
5.0,25,19,1.0,0.3266048598728306,50
5.0,50,0,1.0,0.2469773801187323,100
5.0,50,1,1.0,0.29613818716559465,100
5.0,50,2,1.0,0.2787932471597626,100
5.0,50,3,1.0,0.3034500571816302,100
5.0,50,4,1.0,0.25887227891848097,100
5.0,50,5,1.0,0.24881158551208904,100
5.0,50,6,1.0,0.310859760608908,100
5.0,50,7,1.0,0.3144981752232519,100
5.0,50,8,1.0,0.3194155259725512,100
5.0,50,9,1.0,0.279338507238378,100
5.0,50,10,1.0,0.25799726395269995,100
5.0,50,11,1.0,0.3073242399459679,100
5.0,50,12,1.0,0.26980216459257905,100
5.0,50,13,1.0,0.3170604251312674,100
5.0,50,14,1.0,0.30688229043863535,100
5.0,50,15,1.0,0.30861688549547706,100
5.0,50,16,1.0,0.2504219531506088,100
