split_type,cell_line,heldout_drug,observed_library_fraction,seed,reg_red,true_div
leave_drug_out,A549,Filgotinib (GLPG0634),1.0,2,0.054182052612304715,1.6777357490480211
leave_drug_out,A549,Tofacitinib (CP-690550) Citrate,1.0,2,-0.0005054473876952986,1.614915103385395
leave_drug_out,A549,PD173074,1.0,2,-0.009105682373046903,1.6443654321714265
leave_drug_out,A549,UNC0379,1.0,2,0.1830806732177735,1.2405454633586532
leave_drug_out,A549,Lomustine,1.0,2,-0.00037574768066397923,1.5889401309810869
leave_drug_out,A549,WP1066,1.0,2,0.0853176116943359,1.6013528536024395
leave_drug_out,A549,Danusertib (PHA-739358),1.0,2,0.6932868957519531,1.5204712221529255
leave_drug_out,A549,Navitoclax (ABT-263),1.0,2,0.1236839294433593,1.502354770272818
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,2,0.2682552337646484,1.3421949859757762
leave_drug_out,A549,Quercetin,1.0,2,-0.0790634155273437,1.663841066651115
leave_drug_out,A549,Altretamine,1.0,2,0.14940452575683602,1.6546263812647306
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,1.0,2,0.0,1.4424316667482344
leave_drug_out,A549,Thiotepa,1.0,2,0.2181549072265625,1.5793327011767893
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,2,0.279754638671875,1.4807374309173953
leave_drug_out,A549,PF-3845,1.0,2,-0.19489669799804688,1.6602060193133514
leave_drug_out,A549,PD98059,1.0,2,-0.056713104248046896,1.651178173466814
leave_drug_out,A549,Linifanib (ABT-869),1.0,2,0.3871612548828125,1.6306869172439713
leave_drug_out,A549,GSK J1,1.0,2,0.2649593353271484,1.7329539619364551
leave_drug_out,A549,UNC0631,1.0,2,0.3923664093017579,1.5549409695675065
leave_drug_out,A549,Obatoclax Mesylate (GX15-070),1.0,2,-0.0594768524169922,1.6526921912335009
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,2,1.8043670654296875,1.703882957304973
leave_drug_out,A549,"Cerdulatinib (PRT062070, PRT2070)",1.0,2,0.047920227050781194,1.482592294079237
leave_drug_out,A549,Busulfan,1.0,2,0.5075244903564453,1.723224900216607
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,2,0.3347530364990234,1.1177664467790225
leave_MoA_out,A549,MK-0752,0.9893617021276596,2,0.4569530487060547,1.677337473610372
leave_MoA_out,A549,JNJ-26854165 (Serdemetan),0.9680851063829788,2,0.17509651184082037,1.5321369591467895
leave_MoA_out,A549,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,2,-0.1626224517822266,1.7117107859152505
leave_MoA_out,A549,Ki16425,0.9893617021276596,2,0.42888641357421875,1.6733728570848174
leave_MoA_out,A549,PD98059,0.9787234042553192,2,0.08720397949218751,1.6146584760608187
leave_MoA_out,A549,Clevudine,0.8723404255319149,2,0.026048660278320312,1.6164446959321106
leave_MoA_out,A549,ITSA-1 (ITSA1),0.7978723404255319,2,0.36550331115722656,1.5537336627583165
partial_library,A549,batch,0.2,2,-0.0417003631591796,1.7108620747503471
partial_library,A549,batch,0.4,2,0.08002281188964849,1.6826955509106294
partial_library,A549,batch,0.6,2,0.3716106414794922,1.6776657788313567
leave_drug_out,A549,Selisistat (EX 527),1.0,3,2.4979705810546875,1.6612055609573328
leave_drug_out,A549,PHA-680632,1.0,3,0.014251708984375,1.4820676222676057
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,3,0.159200668334961,1.684000458830448
leave_drug_out,A549,GSK1070916,1.0,3,0.44684028625488287,1.020092191790203
leave_drug_out,A549,Busulfan,1.0,3,0.7574386596679688,1.715506623902332
leave_drug_out,A549,GSK-LSD1 2HCl,1.0,3,-0.01422119140625,1.6289610246228283
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,3,-0.024305343627929688,1.397463480586013
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,3,0.3992500305175781,1.4397214118157633
leave_drug_out,A549,Epothilone A,1.0,3,-0.4292831420898437,1.1056020881462536
leave_drug_out,A549,Resminostat,1.0,3,0.0,1.052043663945418
leave_drug_out,A549,Decitabine,1.0,3,2.4357624053955083,1.5701872853234995
leave_drug_out,A549,PD173074,1.0,3,0.06983947753906251,1.647345581346071
leave_drug_out,A549,BMS-536924,1.0,3,0.1294689178466797,1.4924040152079787
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,3,0.0835609436035156,1.4624960109430525
leave_drug_out,A549,Triamcinolone Acetonide,1.0,3,0.3805961608886719,0.4800580886001966
leave_drug_out,A549,G007-LK,1.0,3,0.1576900482177735,1.7236665333945127
leave_drug_out,A549,Celecoxib,1.0,3,0.006641387939453097,1.6978755051664374
leave_drug_out,A549,Tazemetostat (EPZ-6438),1.0,3,0.1844024658203125,1.623009248361929
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,3,0.21669197082519528,1.4073651432820775
leave_drug_out,A549,RG108,1.0,3,0.09885597229003909,1.7129126647822623
leave_drug_out,A549,MK-5108 (VX-689),1.0,3,0.2233619689941406,1.5072590795296308
leave_drug_out,A549,Ofloxacin,1.0,3,0.44578933715820324,1.553203008045976
leave_drug_out,A549,Amisulpride,1.0,3,0.05484580993652341,1.7127083341422915
leave_drug_out,A549,AZD1480,1.0,3,0.0914192199707031,1.452243455401406
leave_drug_out,A549,Droxinostat,1.0,3,0.24080085754394528,1.6452950087100495
leave_drug_out,A549,Sirtinol,1.0,3,0.3236713409423828,1.57553688214949
leave_drug_out,A549,Danusertib (PHA-739358),1.0,3,0.29058837890625,1.3370535537911543
leave_drug_out,A549,XAV-939,1.0,3,0.1401691436767578,1.5515883316394063
leave_drug_out,A549,BMS-754807,1.0,3,0.9580936431884766,1.4987934435482235
leave_drug_out,A549,PFI-1 (PF-6405761),1.0,3,0.219045639038086,1.5099983128475514
leave_drug_out,A549,Quercetin,1.0,3,0.020967483520507806,1.684991590302674
leave_MoA_out,A549,Carmofur,0.8723404255319149,3,0.2856426239013672,1.396340672012681
leave_MoA_out,A549,"Tozasertib (VX-680, MK-0457)",0.8882978723404256,3,0.0722541809082031,1.5402632455863348
leave_MoA_out,A549,Celecoxib,0.9787234042553192,3,-0.0008316040039061945,1.6943889544411974
leave_MoA_out,A549,SL-327,0.9787234042553192,3,-0.0963859558105469,1.415157030203935
leave_MoA_out,A549,Divalproex Sodium,0.9893617021276596,3,0.011104583740234306,1.6711660909453474
leave_MoA_out,A549,Enzastaurin (LY317615),0.9840425531914894,3,-0.031276702880859396,1.6085426963349374
partial_library,A549,batch,0.2,3,0.2492942810058593,1.6354065258993646
partial_library,A549,batch,0.4,3,0.2901134490966797,1.6514949185172385
leave_drug_out,A549,SRT3025 HCl,1.0,4,0.7526473999023438,1.6793261704509428
leave_drug_out,A549,Divalproex Sodium,1.0,4,0.2857723236083985,1.6646549989088886
leave_drug_out,A549,Ruxolitinib (INCB018424),1.0,4,0.14118576049804693,1.665308006385961
leave_drug_out,A549,Ofloxacin,1.0,4,0.05012321472167969,1.621046010145295
leave_drug_out,A549,Sorafenib Tosylate,1.0,4,0.042245864868164,1.543459970182647
leave_drug_out,A549,Epothilone A,1.0,4,0.0,1.142441326982138
leave_drug_out,A549,Ki8751,1.0,4,0.2223167419433594,1.68677741861988
