seed,query_drug,query_moa,n_query_cells,n_candidates,n_same_moa_candidates,query_silhouette,hit_at_1,moa_ndcg,sil_tertile
0,SNS-314,Aurora Kinase,120,180,11,0.031850721687078476,0.0,0.652815586341129,high
0,Disulfiram ,Dehydrogenase,120,180,0,0.011656518094241619,0.0,0.0,low
0,Streptozotocin (STZ),DNA alkylator,120,180,2,0.027699261903762817,0.0,0.22603978201605127,mid
0,SL-327,MEK,120,180,2,0.023047668859362602,0.0,0.21093941537319394,low
0,PHA-680632,Aurora Kinase,120,180,11,0.03145525977015495,0.0,0.6459510535998134,mid
0,Bosutinib (SKI-606),Src,120,180,0,0.0208908598870039,0.0,0.0,low
0,BMS-265246,CDK,120,180,2,0.031571533530950546,0.0,0.20607895246948102,high
0,Abexinostat (PCI-24781),HDAC,120,180,22,0.032562967389822006,1.0,0.9120514597882367,high
0,UNC0631,Histone Methyltransferase,120,180,6,0.04451452195644379,0.0,0.41767709086249977,high
0,NVP-BSK805 2HCl,JAK,120,180,15,0.028128892183303833,0.0,0.45605785657357106,mid
0,Tazemetostat (EPZ-6438),Histone Methyltransferase,120,180,6,0.019999338313937187,0.0,0.41791331743061005,low
0,Resveratrol,"Autophagy,Sirtuin",120,180,0,0.022456936538219452,0.0,0.0,low
0,UNC1999,Histone Methyltransferase,120,180,6,0.0230330228805542,0.0,0.3648153991672013,low
0,"Roscovitine (Seliciclib,CYC202)",CDK,120,180,2,0.019619952887296677,0.0,0.1787342966145932,low
0,Tucidinostat (Chidamide),HDAC,120,180,22,0.029744472354650497,1.0,0.5743913200519923,mid
0,Pirarubicin,Topoisomerase,120,180,2,0.035744037479162216,0.0,0.2245349154425406,high
0,Trichostatin A (TSA),HDAC,120,180,22,0.035328906029462814,1.0,0.9002183895896937,high
0,SRT3025 HCl,Sirtuin,120,180,4,0.03223705664277077,0.0,0.2851860443815378,high
0,Linifanib (ABT-869),"CSF-1R,PDGFR,VEGFR",120,180,0,0.023923642933368683,0.0,0.0,low
0,Selisistat (EX 527),Sirtuin,120,180,4,0.032131172716617584,0.0,0.3050435074768386,high
0,Cediranib (AZD2171),VEGFR,120,180,1,0.02281724102795124,0.0,0.3333333333333333,low
0,Trametinib (GSK1120212),MEK,120,180,2,0.021693101152777672,1.0,0.7066919148891846,low
0,Fulvestrant,Estrogen/progestogen Receptor,120,180,0,0.021677859127521515,0.0,0.0,low
0,Andarine,Androgen Receptor,120,180,0,0.02691231481730938,0.0,0.0,mid
0,AG-490 (Tyrphostin B42),EGFR,120,180,1,0.025636401027441025,0.0,0.14308844150498737,mid
0,Givinostat (ITF2357),HDAC,120,180,22,0.03309500217437744,1.0,0.9039261071061118,high
0,PJ34,PARP,120,180,6,0.024838466197252274,0.0,0.3255958380026754,mid
0,G007-LK,PARP,120,180,6,0.02909187041223049,0.0,0.3036803213790745,mid
0,AZD1480,JAK,120,180,15,0.0418708398938179,0.0,0.4661570539046724,high
0,PF-573228,FAK,120,180,0,0.04373230040073395,0.0,0.0,high
0,Capecitabine ,DNA/RNA Synthesis,120,180,7,0.026045894250273705,0.0,0.29128371641675566,mid
