seed,n_cells,alpha,ari_raw_kmeans_k2,sil_raw_kmeans_k2,ari_pca10_kmeans_k2,sil_pca10_kmeans_k2,ari_pca50_kmeans_k2,sil_pca50_kmeans_k2,ari_gmm2_raw,sil_gmm2_raw,ari_gmm2_pca50,sil_gmm2_pca50,ari_raw_kmeans_bestk3,sil_raw_kmeans_bestk3,ari_response_kmeans_k2,sil_response_kmeans_k2,ari_raw_kmeans_bestk4,sil_raw_kmeans_bestk4,ari_raw_kmeans_bestk5,sil_raw_kmeans_bestk5
10,400,0.7,0.057599517490952955,0.0466642901301384,0.057599517490952955,0.22889037430286407,0.06468575772934618,0.10183883458375931,-0.04680069891402915,0.018682239577174187,0.07767769989049991,0.09753748029470444,0.10081009456122388,0.033989317715168,0.057599517490952955,0.0466642901301384,,,,
11,400,0.7,0.11367808089119565,0.04501862823963165,0.10992603263429093,0.23011547327041626,0.11360795049927996,0.09661871194839478,0.01336669669369099,0.027579357847571373,0.11350974930362116,0.09530456364154816,0.07663582606250714,0.01979583315551281,0.11367808089119565,0.04501863569021225,,,,
12,400,0.7,0.07645569620253165,0.0479954332113266,0.07700472555434387,0.23090103268623352,0.06805388017691999,0.09946435689926147,0.07169667281633692,0.03205239772796631,0.06805388017691999,0.09699603170156479,0.08812397343426409,0.03174174949526787,0.07645569620253165,0.0479954332113266,,,,
13,400,0.7,0.08482201931983592,0.04332461953163147,0.0753032909434497,0.2326529324054718,0.0748034052138196,0.09521333873271942,0.10496698888486503,0.040080949664115906,0.07743813219670463,0.0935700312256813,,,0.08482201931983592,0.04332462325692177,0.11554737810487581,0.024995818734169006,,
14,400,0.7,0.1165758227084826,0.04294453561306,0.12201050857539407,0.22325268387794495,0.1123296354992076,0.09189052879810333,0.04090546621732632,0.0320151187479496,0.12664438072001563,0.09076207131147385,,,0.1165758227084826,0.04294453561306,0.14903620122237893,0.026431569829583168,,
15,400,0.7,0.06781727013325207,0.04670505225658417,0.059316529095834854,0.2296913117170334,0.06490791911450333,0.09973644465208054,0.03842740539400427,0.041843365877866745,0.05512500198921052,0.09575154632329941,-0.0004574774692346402,0.021055927500128746,0.06781727013325207,0.04670505225658417,,,,
16,400,0.7,0.07846646210696492,0.04368797317147255,0.08379053949667048,0.22438500821590424,0.08379053949667048,0.09387792646884918,0.08920565582250833,0.04043214023113251,0.08204509463841339,0.08912456780672073,0.1018427676974989,0.025035491213202477,0.07846646210696492,0.04368796944618225,,,,
17,400,0.7,0.06443384717755352,0.04749714955687523,0.06663522997000305,0.23592282831668854,0.06415213946117274,0.10230889171361923,0.046256042016170486,0.03936409950256348,0.058376681045419945,0.10131821036338806,0.09404523277517371,0.04382128641009331,0.06443384717755352,0.04749714955687523,,,,
18,400,0.7,0.09396366168650291,0.03837282583117485,0.10373458755770394,0.2037944793701172,0.10037821841717966,0.08461496233940125,0.01593261497649779,0.025792503729462624,0.06667620394949479,0.07771262526512146,0.0941211893112533,0.024153871461749077,0.09396366168650291,0.03837282583117485,,,,
19,400,0.7,0.08802244867818639,0.050627317279577255,0.08806573943680543,0.2344437837600708,0.09107919190161042,0.10590492188930511,0.004284949116229245,0.027918260544538498,0.0878492445344813,0.10143794864416122,0.08359653316568853,0.02890188992023468,0.08802244867818639,0.050627317279577255,,,,
